Date,Open,High,Low,Close,Adj Close,Volume
2012-03-29,20.059999,20.059999,20.010000,20.010000,17.460966,2600
2012-03-30,20.030001,20.030001,19.940001,19.940001,17.399881,3100
2012-04-02,20.030001,20.040001,20.000000,20.000000,17.452238,10400
2012-04-03,20.000000,20.000000,19.920000,19.920000,17.382425,10100
2012-04-04,19.969999,19.980000,19.950001,19.980000,17.434790,33800
2012-04-05,20.010000,20.010000,20.010000,20.010000,17.460966,1700
2012-04-09,20.049999,20.070000,20.049999,20.059999,17.504601,4600
2012-04-10,20.100000,20.100000,20.100000,20.100000,17.539497,100
2012-04-11,19.980000,20.090000,19.980000,20.070000,17.513315,2900
2012-04-12,20.100000,20.100000,20.059999,20.090000,17.530762,4000
2012-04-13,20.090000,20.090000,20.090000,20.090000,17.530762,0
2012-04-16,20.049999,20.049999,20.049999,20.049999,17.495859,1200
2012-04-17,20.120001,20.120001,20.120001,20.120001,17.556955,400
2012-04-18,20.120001,20.120001,20.120001,20.120001,17.556955,0
2012-04-19,20.120001,20.120001,20.120001,20.120001,17.556955,0
2012-04-20,20.150000,20.160000,20.150000,20.160000,17.591862,1200
2012-04-23,20.170000,20.170000,20.170000,20.170000,17.600584,1600
2012-04-24,20.180000,20.180000,20.150000,20.150000,17.583132,1900
2012-04-25,20.010000,20.020000,19.980000,19.980000,17.434790,4700
2012-04-26,20.180000,20.180000,20.180000,20.180000,17.609308,2100
2012-04-27,20.120001,20.120001,20.120001,20.120001,17.556955,400
2012-04-30,20.139999,20.200001,20.139999,20.190001,17.618034,2800
2012-05-01,20.190001,20.190001,20.190001,20.190001,17.654764,3700
2012-05-02,20.170000,20.170000,20.170000,20.170000,17.637278,4500
2012-05-03,20.230000,20.230000,20.180000,20.180000,17.646013,7400
2012-05-04,20.299999,20.299999,20.299999,20.299999,17.750946,2800
2012-05-07,20.309999,20.320000,20.309999,20.309999,17.759691,11000
2012-05-08,20.209999,20.240000,20.209999,20.219999,17.680998,15600
2012-05-09,20.309999,20.309999,20.270000,20.270000,17.724722,5300
2012-05-10,20.219999,20.219999,20.209999,20.209999,17.672253,3700
2012-05-11,20.180000,20.200001,20.180000,20.200001,17.663498,6300
2012-05-14,20.290001,20.290001,20.290001,20.290001,17.742208,700
