Date,Open,High,Low,Close,Adj Close,Volume
2014-07-02,35.360001,35.360001,34.820000,34.830002,30.523359,2800
2014-07-03,34.880001,34.900002,34.880001,34.900002,30.584700,600
2014-07-07,34.900002,34.939999,34.900002,34.939999,30.619747,21100
2014-07-08,34.910000,34.930000,34.910000,34.918999,30.601345,4000
2014-07-09,34.900002,34.980000,34.900002,34.939999,30.619747,53400
2014-07-10,34.939999,34.939999,34.900002,34.900002,30.584700,900
2014-07-11,34.889999,34.889999,34.799999,34.876999,30.564541,2400
2014-07-14,35.490002,35.490002,34.877998,34.877998,30.565422,5500
2014-07-15,34.880001,34.889999,34.720001,34.799999,30.497059,4700
2014-07-16,34.830002,34.930000,34.810001,34.910000,30.593456,72800
2014-07-17,35.259998,35.259998,34.611000,34.611000,30.331427,3500
2014-07-18,34.709999,34.910000,34.709999,34.889999,30.575933,16000
2014-07-21,34.750000,34.750000,34.750000,34.750000,30.453251,1200
2014-07-22,34.889999,34.910000,34.889999,34.900002,30.584700,2000
2014-07-23,34.869999,34.869999,34.830002,34.830002,30.523359,57900
2014-07-24,34.950001,34.950001,34.919998,34.919998,30.602236,300
2014-07-25,34.820000,34.820000,34.730000,34.740002,30.444489,3700
2014-07-28,34.660000,34.874001,34.660000,34.868000,30.556660,3100
2014-07-29,34.880001,34.880001,34.740002,34.750000,30.453251,25500
2014-07-30,34.750000,34.750000,34.540001,34.570000,30.295494,5400
2014-07-31,34.369999,34.389999,34.090000,34.090000,29.874846,3200
2014-08-01,33.980000,34.029999,33.860001,34.029999,29.822268,32300
2014-08-04,34.500000,34.500000,33.820000,33.970001,29.769691,4000
2014-08-05,34.020000,34.020000,33.680000,33.738998,29.567259,9200
2014-08-06,33.799999,33.799999,33.768002,33.770000,29.594421,3400
2014-08-07,33.726002,33.730000,33.650002,33.650002,29.489250,1600
2014-08-08,33.779999,33.799999,33.779999,33.799999,29.620707,2800
2014-08-11,34.299999,34.400002,34.209999,34.259998,30.023825,159400
2014-08-12,34.500000,34.500000,34.099998,34.150002,29.927437,6200
2014-08-13,34.490002,34.490002,34.220001,34.369999,30.120224,11500
2014-08-14,34.480000,34.529999,34.450001,34.520000,30.251684,6400
2014-08-15,34.650002,34.689999,34.400002,34.560001,30.286739,65600
2014-08-18,35.200001,35.200001,34.666000,34.720001,30.426950,14800
2014-08-19,34.689999,34.784000,34.689999,34.730000,30.523634,1300
2014-08-20,34.779999,34.900002,34.779999,34.900002,30.673040,47000
2014-08-21,34.970001,35.000000,34.950001,34.959999,30.725767,5600
2014-08-22,34.950001,34.950001,34.834000,34.849998,30.629101,5700
2014-08-25,34.950001,35.060001,34.950001,35.009998,30.769718,15600
2014-08-26,35.060001,35.060001,34.950001,34.950001,30.716978,27400
2014-08-27,34.959999,35.000000,34.957001,34.980999,30.744234,26100
2014-08-28,34.869999,35.070000,34.869999,35.060001,30.813669,12300
2014-08-29,35.070000,35.150002,35.070000,35.150002,30.892759,7400
2014-09-02,35.189999,35.189999,34.957001,35.060001,30.813669,11200
2014-09-03,35.660000,35.660000,35.119999,35.139999,30.883972,35100
2014-09-04,35.240002,35.240002,35.090000,35.090000,30.840029,2500
2014-09-05,35.080002,35.330002,35.080002,35.330002,31.050961,26900
2014-09-08,35.264000,35.270000,35.117001,35.200001,30.936714,7000
2014-09-09,35.009998,35.049999,34.910000,34.939999,30.708195,11100
2014-09-10,34.869999,34.930000,34.792000,34.930000,30.699409,5200
2014-09-11,35.080002,35.080002,34.880001,35.080002,30.831244,8100
2014-09-12,34.869999,34.869999,34.770000,34.784000,30.571089,3100
2014-09-15,34.849998,34.860001,34.779999,34.840000,30.620316,3100
2014-09-16,34.610001,35.080002,34.610001,35.016998,30.851145,5500
2014-09-17,35.110001,35.110001,34.965000,35.070000,30.897833,1700
2014-09-18,35.070000,35.109001,35.029999,35.090000,30.915459,7900
2014-09-19,35.200001,35.200001,35.099998,35.139999,30.959507,6300
2014-09-22,35.900002,35.900002,34.912998,34.926998,30.771843,15000
2014-09-23,34.840000,34.840000,34.759998,34.759998,30.624712,3100
2014-09-24,34.770000,34.987000,34.720001,34.950001,30.792105,3900
2014-09-25,34.720001,34.720001,34.580002,34.580002,30.466124,5700
2014-09-26,34.599998,34.770000,34.599998,34.740002,30.607098,4000
2014-09-29,34.625000,34.740002,34.609001,34.700001,30.571854,6800
2014-09-30,34.617001,34.639999,34.590000,34.637001,30.516350,2700
2014-10-01,34.580002,34.580002,34.369999,34.369999,30.281113,2100
2014-10-02,34.259998,34.400002,34.259998,34.400002,30.307543,2300
2014-10-03,34.500000,34.660000,34.500000,34.639999,30.518995,11100
2014-10-06,34.560001,34.599998,34.560001,34.599998,30.483740,1200
2014-10-07,34.540001,34.549999,34.250000,34.250000,30.175390,7800
2014-10-08,34.270000,34.660000,34.230000,34.660000,30.536610,7400
2014-10-09,34.310001,34.310001,34.209999,34.259998,30.184195,2600
2014-10-10,34.270000,34.279999,34.000000,34.000000,29.955128,3800
2014-10-13,33.970001,34.110001,33.660000,33.660000,29.655573,25400
2014-10-14,33.770000,34.009998,33.750000,33.750000,29.734871,8700
2014-10-15,34.040001,34.040001,32.950001,33.689999,29.682005,38700
2014-10-16,33.240002,33.639999,33.099998,33.639999,29.637966,22500
2014-10-17,33.759998,33.930000,33.740002,33.889999,29.858217,1500
2014-10-20,34.080002,34.196999,34.049999,34.169998,30.104908,4900
2014-10-21,34.369999,34.709999,34.369999,34.703999,30.598658,5500
2014-10-22,34.910000,34.939999,34.619999,34.619999,30.524599,42200
2014-10-23,34.919998,35.009998,34.785000,34.799999,30.683294,31600
2014-10-24,34.680000,35.080002,34.680000,35.070000,30.921362,31800
2014-10-27,35.439999,35.439999,34.918999,35.029999,30.886095,33900
2014-10-28,35.099998,35.180000,34.959999,35.180000,31.018345,8200
2014-10-29,35.759998,35.759998,34.970001,35.164001,31.004246,48500
2014-10-30,35.150002,35.534000,35.119999,35.450001,31.256414,14800
2014-10-31,35.900002,35.900002,35.650002,35.750000,31.520924,5400
2014-11-03,35.750000,35.869999,35.689999,35.759998,31.529743,15000
2014-11-04,36.160000,36.160000,35.634998,35.720001,31.494480,164900
2014-11-05,36.040001,36.040001,35.840000,36.020000,31.758982,8100
2014-11-06,35.910000,36.070000,35.840000,36.020000,31.758982,26100
2014-11-07,35.830002,36.250000,35.830002,36.150002,31.873602,12800
2014-11-10,36.160000,36.290001,36.160000,36.270000,31.979397,19200
2014-11-11,36.250000,36.287998,36.189999,36.230000,31.944138,7800
2014-11-12,36.040001,36.150002,36.040001,36.150002,31.873602,7700
2014-11-13,36.223999,36.228001,35.980000,36.048000,31.783657,16600
2014-11-14,36.060001,36.099998,35.970001,36.000000,31.741339,142800
2014-11-17,36.299999,36.299999,35.959999,36.195999,31.914156,20100
2014-11-18,36.330002,36.330002,36.212002,36.230000,32.006031,5800
2014-11-19,37.790001,37.790001,36.099998,36.151001,31.936243,24500
2014-11-20,36.169998,36.270000,36.169998,36.237000,32.012222,10300
2014-11-21,36.490002,36.490002,36.320000,36.430000,32.182720,20200
2014-11-24,36.299999,36.889999,36.299999,36.389999,32.147369,11800
2014-11-25,36.299999,36.430000,36.293999,36.369999,32.129696,6400
2014-11-26,36.410000,36.459999,36.410000,36.459999,32.209229,400
2014-11-28,36.560001,36.660000,36.560001,36.570000,32.306400,3100
2014-12-01,36.380001,36.520000,36.330002,36.459999,32.209229,7000
2014-12-02,36.589001,36.660000,36.569000,36.639999,32.368237,6600
2014-12-03,36.740002,36.820000,36.740002,36.820000,32.527248,900
2014-12-04,37.099998,37.099998,36.599998,36.709999,32.430065,14100
2014-12-05,36.700001,36.758999,36.680000,36.702999,32.423893,16500
2014-12-08,36.778999,36.799000,36.490002,36.590000,32.324074,12900
2014-12-09,36.310001,36.540001,36.279999,36.499001,32.243675,15500
2014-12-10,36.340000,36.360001,36.070000,36.070000,31.864700,6200
2014-12-11,36.299999,36.514999,36.220001,36.270000,32.041378,18500
2014-12-12,35.950001,35.971001,35.750000,35.750000,31.582003,10200
2014-12-15,35.900002,36.000000,35.490002,35.570000,31.422976,21100
2014-12-16,35.480000,35.849998,35.270000,35.290001,31.308537,17300
2014-12-17,35.220001,35.959999,35.220001,35.860001,31.814228,13700
2014-12-18,36.099998,36.590000,36.099998,36.590000,32.461876,27800
2014-12-19,36.700001,37.070000,36.598999,36.799999,32.648170,17300
2014-12-22,36.730000,36.889999,36.680000,36.889999,32.728008,10400
2014-12-23,37.099998,37.119999,37.009998,37.066002,32.884171,14400
2014-12-24,37.279999,37.279999,37.145000,37.189999,32.994171,14900
2014-12-26,37.369999,37.380001,37.310001,37.310001,33.100655,4700
2014-12-29,37.880001,37.880001,37.389999,37.480000,33.259495,5400
2014-12-30,37.320000,37.320000,37.139000,37.148998,32.965752,5000
2014-12-31,37.150002,37.150002,36.860001,36.880001,32.727051,8500
2015-01-02,36.720001,36.820000,36.584999,36.759998,32.620564,13700
2015-01-05,36.889999,36.889999,36.119999,36.181999,32.107639,7400
2015-01-06,36.450001,36.450001,35.939999,36.009998,31.955008,17300
2015-01-07,36.248001,36.445999,36.248001,36.400002,32.301098,19300
2015-01-08,36.820000,36.980000,36.820000,36.930000,32.771423,13000
2015-01-09,37.250000,37.250000,36.590000,36.639999,32.514084,16600
