Date,Open,High,Low,Close,Adj Close,Volume
2014-07-02,35.254002,35.254002,34.919998,34.919998,33.039997,2800
2014-07-03,34.959999,35.070000,34.959999,35.070000,33.181927,600
2014-07-07,35.080002,35.080002,34.960999,34.972000,33.089184,4000
2014-07-08,34.820000,34.820000,34.771000,34.778000,32.905651,6800
2014-07-09,34.846001,34.869999,34.840000,34.869999,32.992691,91500
2014-07-10,34.750000,34.750000,34.720001,34.720001,32.850742,4000
2014-07-11,34.619999,34.619999,34.619999,34.619999,32.756149,300
2014-07-14,34.830002,34.830002,34.798000,34.804001,32.930244,3600
2014-07-15,34.700001,34.790001,34.689999,34.740002,32.869678,3600
2014-07-16,34.740002,34.849998,34.730000,34.799999,32.926456,63500
2014-07-17,34.740002,34.810001,34.410999,34.439999,32.585838,11500
2014-07-18,34.716000,34.716000,34.716000,34.716000,32.846977,700
2014-07-21,34.659000,34.705002,34.580002,34.689999,32.822380,1600
2014-07-22,34.869999,34.889999,34.830002,34.840000,32.964314,1100
2014-07-23,34.869999,34.869999,34.799999,34.799999,32.926456,45100
2014-07-24,34.869999,34.900002,34.840000,34.880001,33.002151,33000
2014-07-25,34.830002,34.830002,34.759998,34.770000,32.898079,3300
2014-07-28,34.765999,34.765999,34.765999,34.765999,32.894276,1900
2014-07-29,34.660000,34.680000,34.570000,34.570000,32.708836,1100
2014-07-30,34.520000,34.553001,34.480000,34.553001,32.692745,3100
2014-07-31,34.299999,34.340000,33.930000,33.930000,32.103317,20700
2014-08-01,33.910000,34.000000,33.680000,33.900002,32.074909,14300
2014-08-04,33.820000,33.930000,33.799999,33.930000,32.103317,2000
2014-08-05,33.900002,34.040001,33.759998,33.779999,31.961367,5700
2014-08-06,33.779999,33.779999,33.779999,33.779999,31.961367,0
2014-08-07,33.680000,33.680000,33.580002,33.580002,31.772142,1100
2014-08-08,33.580002,33.580002,33.580002,33.580002,31.772142,0
2014-08-11,34.180000,34.189999,34.180000,34.189999,32.349285,4200
2014-08-12,34.200001,34.220001,34.180000,34.180000,32.339821,2600
2014-08-13,34.310001,34.310001,34.279999,34.279999,32.434464,4700
