Date,Open,High,Low,Close,Adj Close,Volume
2006-06-16,50.150002,50.189999,50.009998,50.099998,31.826420,5600
2006-06-19,50.250000,50.250000,49.660000,49.709999,31.578661,10200
2006-06-20,49.740002,49.740002,49.740002,49.740002,31.597712,100
2006-06-21,49.849998,50.130001,49.849998,50.070000,31.807356,2100
2006-06-22,49.910000,49.910000,49.770000,49.770000,31.616777,400
2006-06-23,49.590000,49.590000,49.580002,49.580002,31.496073,400
2006-06-26,49.869999,49.939999,49.869999,49.939999,31.724785,600
2006-06-27,49.860001,49.860001,49.720001,49.720001,31.585041,300
2006-06-28,49.880001,49.880001,49.880001,49.880001,31.686661,600
2006-06-29,50.200001,50.759998,50.200001,50.759998,32.245686,1300
2006-06-30,50.990002,51.150002,50.990002,51.150002,32.493446,4400
2006-07-03,51.259998,51.259998,51.189999,51.189999,32.518845,2000
2006-07-05,51.340000,51.340000,51.130001,51.130001,32.480728,1300
2006-07-06,51.220001,51.349998,51.130001,51.130001,32.480728,4500
2006-07-07,51.200001,51.509998,51.139999,51.200001,32.525211,5100
2006-07-10,51.380001,51.580002,51.380001,51.509998,32.722141,10300
2006-07-11,51.480000,51.630001,51.220001,51.630001,32.798378,1200
2006-07-12,51.630001,51.660000,51.290001,51.290001,32.582386,1000
2006-07-13,51.150002,51.150002,51.070000,51.070000,32.442612,2000
2006-07-14,50.650002,50.650002,50.290001,50.529999,32.099579,4500
2006-07-17,50.580002,50.580002,50.580002,50.580002,32.131344,61600
2006-07-18,50.580002,50.700001,50.400002,50.450001,32.048759,154800
2006-07-19,51.000000,51.669998,51.000000,51.630001,32.798378,37300
2006-07-20,51.680000,51.849998,51.529999,51.529999,32.734840,17500
2006-07-21,51.590000,51.590000,51.250000,51.259998,32.563328,2400
2006-07-24,51.410000,51.830002,51.410000,51.830002,32.925411,3800
2006-07-25,51.860001,52.209999,51.830002,52.209999,33.166824,5800
2006-07-26,52.240002,52.470001,52.169998,52.400002,33.287525,6500
2006-07-27,52.549999,52.570000,52.070000,52.070000,33.077873,10400
2006-07-28,52.599998,52.930000,52.540001,52.930000,33.624203,8800
2006-07-31,52.779999,52.779999,52.599998,52.619999,33.427265,9600
2006-08-01,52.070000,52.340000,52.070000,52.340000,33.249393,199600
2006-08-02,52.720001,52.869999,52.720001,52.790001,33.535259,6100
2006-08-03,52.720001,52.869999,52.669998,52.820000,33.554306,14400
2006-08-04,53.250000,53.270000,52.840000,52.939999,33.630543,5100
2006-08-07,52.889999,52.910000,52.759998,52.759998,33.516209,4700
2006-08-08,52.840000,52.950001,52.509998,52.509998,33.357380,4900
2006-08-09,52.799999,52.860001,52.369999,52.369999,33.268456,4400
2006-08-10,52.169998,52.459999,52.160000,52.459999,33.325638,1200
2006-08-11,52.450001,52.450001,52.150002,52.180000,33.147774,2500
2006-08-14,52.490002,52.689999,52.480000,52.480000,33.338322,8300
2006-08-15,52.799999,52.950001,52.790001,52.950001,33.636909,10200
2006-08-16,53.150002,53.150002,53.020000,53.119999,33.744911,18300
2006-08-17,53.060001,53.060001,52.860001,53.000000,33.668663,4600
2006-08-18,52.990002,53.169998,52.990002,53.169998,33.776657,1400
2006-08-21,53.110001,53.220001,53.110001,53.150002,33.763958,9800
2006-08-22,53.150002,53.310001,53.150002,53.310001,33.865601,4900
2006-08-23,53.400002,53.400002,52.970001,53.040001,33.694088,7800
2006-08-24,53.240002,53.240002,53.110001,53.139999,33.757614,400
2006-08-25,53.099998,53.169998,53.060001,53.080002,33.719490,6400
2006-08-28,53.150002,53.490002,53.150002,53.439999,33.948181,21900
2006-08-29,53.320000,53.520000,53.250000,53.520000,33.999008,3700
2006-08-30,53.619999,53.619999,53.470001,53.500000,33.986286,19100
2006-08-31,53.610001,53.709999,53.580002,53.709999,34.119701,7400
2006-09-01,53.849998,53.849998,53.750000,53.820000,34.189590,14800
2006-09-05,53.849998,53.959999,53.820000,53.880001,34.227711,11000
2006-09-06,53.669998,53.900002,53.590000,53.810001,34.183239,103000
2006-09-07,53.700001,53.779999,53.599998,53.639999,34.075226,16200
2006-09-08,53.639999,53.790001,53.610001,53.790001,34.170502,3400
2006-09-11,53.599998,53.750000,53.500000,53.680000,34.100647,11000
2006-09-12,53.799999,54.119999,53.730000,54.110001,34.373806,26500
2006-09-13,54.080002,54.360001,54.060001,54.330002,34.513577,6400
2006-09-14,54.299999,54.299999,54.139999,54.169998,34.411911,12700
2006-09-15,54.299999,54.330002,54.209999,54.220001,34.443687,11600
2006-09-18,54.099998,54.200001,54.000000,54.049999,34.335674,11900
2006-09-19,54.049999,54.099998,53.950001,54.099998,34.367455,25600
2006-09-20,54.200001,54.279999,54.180000,54.189999,34.424652,13400
2006-09-21,54.250000,54.250000,53.840000,53.889999,34.234043,6900
2006-09-22,53.959999,54.080002,53.900002,54.060001,34.342045,7700
2006-09-25,54.230000,54.540001,53.970001,54.500000,34.621567,18300
2006-09-26,54.389999,54.689999,54.389999,54.689999,34.742252,57200
2006-09-27,54.669998,54.980000,54.669998,54.970001,34.920135,46400
2006-09-28,55.000000,55.009998,54.759998,54.959999,34.913776,92000
2006-09-29,54.970001,54.970001,54.759998,54.759998,34.786732,37400
2006-10-02,54.759998,54.980000,54.709999,54.770000,34.793091,46400
