Date,Open,High,Low,Close,Adj Close,Volume
2014-10-09,50.250000,50.340000,50.230000,50.299999,44.321648,13400
2014-10-10,50.279999,50.369999,50.240002,50.240002,44.268761,6000
2014-10-13,50.290001,50.349998,50.259998,50.330002,44.348080,4900
2014-10-14,50.400002,50.400002,50.348999,50.400002,44.409752,5800
2014-10-15,50.669998,50.759998,50.410000,50.410000,44.418579,21600
2014-10-16,50.560001,50.560001,50.419998,50.459999,44.462631,7900
2014-10-17,50.650002,50.650002,50.428001,50.470001,44.471432,18000
2014-10-20,50.529999,50.529999,50.470001,50.507999,44.504910,14300
2014-10-21,50.650002,50.650002,50.490002,50.527000,44.521664,16600
2014-10-22,50.619999,50.619999,50.430000,50.500000,44.497852,12100
2014-10-23,50.750000,50.750000,50.450001,50.459999,44.462631,17100
2014-10-24,50.439999,50.459999,50.349998,50.360001,44.374504,12100
2014-10-27,50.590000,50.590000,50.430000,50.500000,44.497852,62600
2014-10-28,50.459999,50.459999,50.299999,50.340000,44.426399,7600
2014-10-29,50.509998,50.509998,50.240002,50.240002,44.338120,12800
2014-10-30,50.450001,50.450001,50.200001,50.293999,44.385788,9700
2014-10-31,50.389999,50.389999,50.180000,50.180000,44.285175,19900
2014-11-03,50.349998,50.380001,47.790001,50.209999,44.311646,38200
2014-11-04,50.320000,50.320000,50.270000,50.290001,44.382267,11400
2014-11-05,50.299999,50.299999,50.223999,50.223999,44.324001,5700
2014-11-06,50.090000,50.220001,50.029999,50.090000,44.205746,16400
2014-11-07,50.270000,50.270000,50.139999,50.139999,44.249882,8400
2014-11-10,50.330002,50.330002,50.090000,50.099998,44.214573,7000
2014-11-11,50.220001,50.220001,50.009998,50.200001,44.302818,17400
2014-11-12,50.250000,50.259998,50.200001,50.213001,44.314308,3800
2014-11-13,50.099998,50.189999,50.099998,50.105999,44.219864,1500
2014-11-14,50.200001,50.200001,50.099998,50.180000,44.285175,2100
2014-11-17,50.279999,50.279999,50.110001,50.110001,44.223389,4000
2014-11-18,50.200001,50.220001,50.164001,50.200001,44.302818,11700
2014-11-19,50.169998,50.200001,50.150002,50.200001,44.302818,3700
2014-11-20,50.099998,50.279999,50.090000,50.209999,44.311646,6000
2014-11-21,50.299999,50.299999,50.183998,50.240002,44.338120,7400
2014-11-24,50.202000,50.299999,50.202000,50.290001,44.382267,9500
2014-11-25,50.320000,50.340000,50.290001,50.330002,44.417557,12100
2014-11-26,50.320000,50.330002,50.270000,50.310001,44.506035,6300
2014-11-28,50.380001,50.389000,50.250000,50.380001,44.567940,1700
2014-12-01,50.459999,50.459999,50.369999,50.419998,44.603329,35100
2014-12-02,50.290001,50.340000,50.060001,50.060001,44.284859,4300
2014-12-03,50.009998,50.220001,50.009998,50.209999,44.417553,6100
2014-12-04,50.040001,50.220001,50.029999,50.220001,44.426414,13100
2014-12-05,50.230000,50.230000,50.049999,50.090000,44.311390,7700
2014-12-08,50.169998,50.169998,49.970001,50.130001,44.346790,33100
2014-12-09,50.130001,50.130001,50.040001,50.099998,44.320251,4400
2014-12-10,50.060001,50.070000,50.000000,50.060001,44.284859,3900
2014-12-11,50.020000,50.060001,49.957001,50.048000,44.274239,13500
2014-12-12,50.070000,50.070000,49.980000,49.983002,44.216751,4600
2014-12-15,49.980000,50.000000,49.933998,50.000000,44.231785,16500
2014-12-16,50.049999,50.049999,49.740002,49.919998,44.161011,9400
2014-12-17,49.900002,49.959999,49.773998,49.806000,44.060169,20400
2014-12-18,50.009998,50.009998,49.840000,49.860001,44.107933,8600
2014-12-19,49.860001,49.980000,49.840000,49.910000,44.152172,14400
2014-12-22,49.840000,50.119999,49.840000,50.080002,44.302547,5900
2014-12-23,50.139999,50.139999,49.966000,50.000000,44.231785,19100
2014-12-24,50.150002,50.150002,49.980000,49.980000,44.214100,4900
2014-12-26,50.049999,50.049999,49.840000,50.049999,44.276028,3200
2014-12-29,50.029999,50.029999,49.790001,49.950001,44.301743,8800
2014-12-30,50.000000,50.000000,49.900002,49.959999,44.310612,14400
2014-12-31,50.049000,50.049999,49.980000,50.029999,44.372677,8100
2015-01-02,50.139999,50.150002,50.020000,50.125000,44.456959,4600
2015-01-05,50.259998,50.259998,50.080002,50.240002,44.558937,14900
2015-01-06,50.349998,50.349998,50.275002,50.299999,44.612160,16700
2015-01-07,50.369999,50.369999,50.110001,50.310001,44.621033,47400
2015-01-08,50.299999,50.369999,50.180000,50.299999,44.612160,18800
2015-01-09,50.380001,50.418999,50.257999,50.360001,44.665375,17700
2015-01-12,50.560001,50.570000,50.349998,50.459999,44.754066,53900
2015-01-13,50.560001,50.560001,50.480000,50.514999,44.802853,12600
2015-01-14,50.570000,50.750000,50.540001,50.639999,44.913715,45800
2015-01-15,50.730000,50.730000,50.590000,50.660000,44.931450,31400
2015-01-16,50.720001,50.720001,50.450001,50.459999,44.754066,15200
