Date,Open,High,Low,Close,Adj Close,Volume
2014-10-27,30.841000,30.841000,30.841000,30.841000,28.854023,200
2014-10-28,30.841000,30.841000,30.841000,30.841000,28.854023,0
2014-10-29,30.841000,30.841000,30.841000,30.841000,28.854023,0
2014-10-30,30.879999,30.879999,30.879999,30.879999,28.890512,500
2014-10-31,30.879999,30.879999,30.879999,30.879999,28.890512,0
2014-11-03,31.340000,31.370001,31.330000,31.330000,29.311518,2200
2014-11-04,31.299999,31.299999,31.299999,31.299999,29.283449,200
2014-11-05,31.299999,31.299999,31.299999,31.299999,29.283449,0
2014-11-06,31.218000,31.270000,31.197001,31.250000,29.236673,4100
2014-11-07,31.070000,31.070000,31.070000,31.070000,29.068272,100
2014-11-10,31.290001,31.290001,31.257999,31.257999,29.244158,300
2014-11-11,31.297001,31.420000,31.297001,31.420000,29.395721,300
2014-11-12,31.420000,31.420000,31.420000,31.420000,29.395721,0
2014-11-13,31.260000,31.260000,31.260000,31.260000,29.246025,200
2014-11-14,31.260000,31.260000,31.260000,31.260000,29.246025,0
2014-11-17,31.260000,31.260000,31.260000,31.260000,29.246025,0
2014-11-18,31.860001,31.969999,31.860001,31.969999,29.910284,1200
2014-11-19,32.110001,32.110001,32.110001,32.110001,30.041267,400
2014-11-20,32.110001,32.110001,32.110001,32.110001,30.041267,0
2014-11-21,31.959999,31.959999,31.959999,31.959999,29.900927,1400
2014-11-24,32.430000,32.535000,32.400002,32.535000,30.438883,1281600
2014-11-25,32.830002,32.838001,32.689999,32.700001,30.593252,3300
2014-11-26,32.709999,32.880001,32.709999,32.709999,30.602608,2300
2014-11-28,32.720001,32.720001,32.610001,32.610001,30.509050,500
2014-12-01,32.750000,32.841000,32.720001,32.720001,30.611965,9742900
2014-12-02,32.720001,32.730000,32.560001,32.599998,30.499691,48300
2014-12-03,34.279999,34.279999,32.419998,32.520000,30.424850,87700
2014-12-04,32.619999,32.779999,32.419998,32.560001,30.462278,33800
2014-12-05,32.723999,32.860001,32.689999,32.720001,30.611965,44300
2014-12-08,32.849998,32.849998,32.439999,32.459999,30.368713,183300
2014-12-09,32.189999,32.349998,31.910000,32.049999,29.985126,40700
2014-12-10,32.180000,32.180000,31.250000,31.790001,29.741882,47100
2014-12-11,31.990000,31.990000,31.450001,31.450001,29.423790,36900
2014-12-12,31.548000,31.548000,30.840000,30.840000,28.853088,62500
2014-12-15,31.040001,31.040001,30.139999,30.330000,28.375946,1415900
2014-12-16,30.469999,31.129999,30.440001,30.540001,28.572416,40600
2014-12-17,30.201000,31.049999,30.201000,30.959999,28.965351,60600
2014-12-18,31.171000,31.540001,31.129999,31.350000,29.330229,75400
2014-12-19,31.280001,31.450001,31.040001,31.230000,29.217964,79400
2014-12-22,31.540001,31.620001,31.326000,31.389999,29.367649,63300
2014-12-23,31.490000,31.690001,31.270000,31.450001,29.430349,57300
2014-12-24,31.542999,31.860001,31.400000,31.549999,29.523926,50000
2014-12-26,31.480000,31.879999,31.469999,31.480000,29.458420,49800
2014-12-29,31.440001,31.639999,31.150000,31.620001,29.589436,1638200
2014-12-30,31.330000,31.549999,31.100000,31.100000,29.102829,78800
2014-12-31,31.110001,31.459999,30.700001,30.700001,28.728514,128400
2015-01-02,31.033001,31.040001,29.629999,30.750000,28.775301,105100
2015-01-05,30.370001,30.370001,29.580000,30.000000,28.073465,171700
2015-01-06,29.959999,29.959999,29.410000,29.459999,27.568142,79800
2015-01-07,29.760000,29.760000,29.410000,29.650000,27.745939,130300
2015-01-08,29.865000,30.143999,29.850000,30.010000,28.082827,114000
2015-01-09,30.040001,30.120001,29.700001,29.940001,28.017319,137000
2015-01-12,29.855000,30.010000,29.700001,29.850000,27.933100,1438700
2015-01-13,30.080999,30.330000,29.639000,30.020000,28.092178,116000
2015-01-14,29.840000,30.120001,29.730000,30.059999,28.129610,252800
2015-01-15,29.860001,30.080000,29.820000,29.820000,27.905025,114800
2015-01-16,29.889999,30.520000,29.870001,30.469999,28.513279,128500
2015-01-20,31.000000,31.000000,30.510000,30.680000,28.709797,370200
2015-01-21,30.700001,30.980000,30.629999,30.879999,28.896952,118300
2015-01-22,30.879999,31.209999,30.709999,31.010000,29.018602,133600
2015-01-23,30.850000,30.930000,30.684999,30.709999,28.737869,163300
2015-01-26,31.049999,31.469999,31.020000,31.430000,29.411633,1293200
2015-01-27,31.190001,31.410000,30.969999,31.280001,29.271267,89900
2015-01-28,31.320000,31.370001,30.590000,30.670000,28.700436,100800
2015-01-29,31.139999,31.459999,29.940001,31.400000,29.383560,107100
2015-01-30,31.070000,31.190001,30.879999,30.879999,28.896952,98500
2015-02-02,30.760000,31.230000,30.680000,31.139999,29.140257,8696400
2015-02-03,31.750000,31.990000,31.600000,31.969999,29.916954,121200
2015-02-04,31.600000,31.690001,31.290001,31.420000,29.402275,53800
2015-02-05,31.610001,31.959999,31.610001,31.940001,29.888882,52600
2015-02-06,31.600000,31.770000,31.230000,31.330000,29.318056,54200
2015-02-09,31.059999,31.135000,30.940001,30.980000,28.990532,6300
2015-02-10,31.330000,31.680000,31.330000,31.680000,29.645576,54500
2015-02-11,31.510000,31.510000,31.160000,31.309999,29.299341,123900
2015-02-12,31.930000,32.270000,31.920000,32.255001,30.183655,338400
2015-02-13,32.509998,32.509998,32.139999,32.369999,30.291269,23100
2015-02-17,32.400002,32.580002,32.060001,32.419998,30.338057,52500
2015-02-18,32.400002,32.679001,32.320000,32.529999,30.440992,26000
2015-02-19,32.540001,32.750000,32.509998,32.681999,30.583237,12200
2015-02-20,32.490002,33.256001,32.310001,33.040001,30.918243,13000
2015-02-23,33.240002,33.250000,32.759998,32.830002,30.721727,3100
2015-02-24,32.669998,33.259998,32.669998,33.169998,31.039898,36500
2015-02-25,33.029999,33.230000,32.990002,33.029999,30.908888,6300
2015-02-26,33.240002,33.240002,32.770000,32.770000,30.665583,10500
2015-02-27,33.009998,33.090000,32.803001,33.090000,30.965029,1900
2015-03-02,33.110001,33.110001,32.930000,33.110001,30.983753,1800
2015-03-03,32.840000,32.860001,32.599998,32.630001,30.534578,17400
2015-03-04,32.220001,32.610001,32.220001,32.415001,30.333384,7800
2015-03-05,32.516998,32.759998,32.516998,32.630001,30.534578,28900
2015-03-06,32.509998,32.509998,32.029999,32.029999,29.973103,2600
2015-03-09,32.180000,32.290001,32.124001,32.200001,30.132181,10500
2015-03-10,31.750000,31.750000,31.440001,31.440001,29.420992,3600
2015-03-11,31.670000,31.809999,31.670000,31.791000,29.749453,5600
2015-03-12,32.049999,32.049999,31.809999,31.980000,29.926315,4400
2015-03-13,31.799999,31.799999,31.629999,31.740000,29.701723,15000
2015-03-16,32.189999,32.480000,32.189999,32.310001,30.235121,13500
2015-03-17,32.080002,32.180000,31.990000,32.180000,30.113470,5600
2015-03-18,32.000000,32.724998,31.830000,32.599998,30.506495,4900
2015-03-19,32.230000,32.230000,31.969999,32.099998,30.038610,13400
2015-03-20,32.730000,33.130001,32.730000,32.880001,30.768515,8600
2015-03-23,33.369999,33.369999,32.974998,33.139999,31.011822,46100
2015-03-24,33.310001,33.310001,33.160000,33.160000,31.030537,12000
2015-03-25,33.299999,33.430000,33.029999,33.040001,30.918243,25200
2015-03-26,32.641998,32.720001,32.500000,32.720001,30.618792,1900
2015-03-27,32.771000,32.837002,32.700001,32.837002,30.728279,2800
2015-03-30,32.770000,32.990002,32.730000,32.939999,30.824661,10100
2015-03-31,32.580002,32.580002,32.380001,32.380001,30.300625,2400
2015-04-01,32.720001,32.889999,32.680000,32.799999,30.693651,7800
2015-04-02,32.970001,33.240002,32.970001,33.231998,31.097912,3800
2015-04-06,33.240002,33.689999,33.205002,33.509998,31.358061,16300
2015-04-07,33.480000,33.650002,33.480000,33.480000,31.329983,1200
2015-04-08,33.570000,33.570000,33.560001,33.560001,31.404844,300
2015-04-09,33.424000,33.500999,33.424000,33.500999,31.349632,500
2015-04-10,33.480000,33.480000,33.360001,33.360001,31.217693,800
2015-04-13,33.380001,33.410000,33.220001,33.220001,31.086681,4800
2015-04-14,33.349998,33.667999,33.314999,33.549999,31.395494,3500
2015-04-15,33.599998,33.709999,33.310001,33.455002,31.306595,27300
2015-04-16,33.630001,33.770000,33.480000,33.709999,31.545216,16800
2015-04-17,33.099998,33.220001,32.970001,32.970001,30.852741,9600
2015-04-20,33.669998,33.669998,33.009998,33.009998,30.890171,57000
2015-04-21,33.290001,33.599998,33.279999,33.310001,31.170908,2900
2015-04-22,33.161999,33.259998,33.102001,33.259998,31.124115,2000
2015-04-23,33.270000,33.509998,33.150002,33.369999,31.227053,21800
2015-04-24,33.799999,33.799999,33.419998,33.419998,31.273836,900
2015-04-27,33.770000,34.330002,33.770000,33.820000,31.648149,47000
2015-04-28,33.689999,34.070000,33.639999,33.930000,31.751091,25300
2015-04-29,34.099998,34.099998,33.189999,33.549999,31.395494,18200
2015-04-30,33.650002,33.709999,33.519001,33.669998,31.507780,1200
2015-05-01,33.758999,33.831001,33.758999,33.831001,31.658445,1000
2015-05-04,33.410000,34.080002,33.410000,34.029999,31.844667,2100
2015-05-05,33.730000,33.730000,33.330002,33.330002,31.189623,2800
2015-05-06,33.521000,33.750000,33.521000,33.750000,31.582649,1100
2015-05-07,33.810001,33.810001,33.627998,33.627998,31.468481,300
2015-05-08,34.110001,34.525002,34.110001,34.490002,32.275131,5000
2015-05-11,34.110001,34.169998,34.060001,34.060001,31.872746,1600
2015-05-12,34.040001,34.119999,34.020000,34.099998,31.910168,1400
2015-05-13,34.299999,34.657001,34.299999,34.657001,32.431400,400
2015-05-14,35.049999,35.150002,34.868999,35.150002,32.892742,2000
2015-05-15,35.119999,35.220001,35.119999,35.209999,32.948891,1300
2015-05-18,34.389999,34.939999,34.389999,34.770000,32.537144,2400
2015-05-19,34.869999,34.919998,34.787998,34.880001,32.640083,3800
2015-05-20,34.889999,34.919998,34.820000,34.900002,32.658794,4200
2015-05-21,35.029999,35.040001,35.029999,35.037998,32.787930,4400
2015-05-22,34.790001,34.790001,34.410000,34.599998,32.378063,3100
2015-05-26,34.070000,34.070000,33.467999,33.490002,31.339348,10300
2015-05-27,34.169998,34.169998,34.169998,34.169998,31.975676,300
2015-05-28,34.169998,34.169998,34.169998,34.169998,31.975676,0
2015-05-29,33.894001,33.894001,33.894001,33.894001,31.717400,300
2015-06-01,33.549999,33.820000,33.459999,33.820000,31.648149,2000
2015-06-02,34.306999,34.360001,34.298000,34.353001,32.146927,5000
2015-06-03,34.779999,34.810001,34.779999,34.790001,32.555862,800
2015-06-04,34.669998,34.669998,34.410000,34.549999,32.331280,800
2015-06-05,33.599998,33.599998,33.320000,33.320000,31.180264,800
2015-06-08,33.400002,33.470001,33.310001,33.470001,31.320627,1000
2015-06-09,32.919998,33.509998,32.919998,33.509998,31.358061,1600
2015-06-10,33.630001,33.630001,33.630001,33.630001,31.470354,300
2015-06-11,34.080002,34.099998,33.759998,34.049999,31.863382,4300
2015-06-12,33.680000,33.849998,33.680000,33.849998,31.676231,300
2015-06-15,33.130001,33.189999,32.970001,32.990002,30.871454,1400
2015-06-16,33.200001,33.380001,33.070000,33.380001,31.236416,3800
2015-06-17,33.380001,33.380001,33.380001,33.380001,31.236416,0
2015-06-18,33.529999,33.529999,33.509998,33.509998,31.358061,500
2015-06-19,33.500000,33.500000,33.490002,33.500000,31.348700,10200
2015-06-22,34.009998,34.619999,34.009998,34.340000,32.134766,6000
2015-06-23,34.544998,34.544998,34.500000,34.500000,32.284485,700
2015-06-24,33.970001,33.970001,33.969002,33.969002,32.081436,400
2015-06-25,33.860001,33.860001,33.849998,33.849998,31.969044,1000
2015-06-26,33.849998,33.849998,33.849998,33.849998,31.969044,0
2015-06-29,33.180000,33.180000,32.599998,32.799999,30.977383,7600
2015-06-30,32.630001,32.779999,32.595001,32.720001,30.901836,13300
2015-07-01,33.250000,33.250000,32.540001,32.540001,30.731834,15600
2015-07-02,32.875999,32.875999,32.875999,32.875999,31.049166,500
2015-07-06,32.049999,32.049999,31.830000,31.830000,30.061289,2900
2015-07-07,31.450001,31.700001,30.912001,31.700001,29.938517,3900
2015-07-08,31.180000,31.444000,31.180000,31.444000,29.696739,800
2015-07-09,31.959999,32.119999,31.799999,32.049999,30.269064,1300
2015-07-10,32.980000,33.130001,32.980000,33.130001,31.289053,1000
2015-07-13,33.430000,33.430000,33.180000,33.180000,31.336279,800
2015-07-14,33.009998,33.080002,33.009998,33.080002,31.241835,200
2015-07-15,33.110001,33.240002,33.110001,33.240002,31.392944,600
2015-07-16,33.470001,33.709999,33.340000,33.709999,31.836824,19900
2015-07-17,33.540001,33.540001,33.240002,33.240002,31.392944,1500
2015-07-20,33.360001,33.813999,33.299999,33.813999,31.935043,2700
2015-07-21,33.813999,33.813999,33.813999,33.813999,31.935043,0
2015-07-22,33.509998,33.509998,33.173000,33.490002,31.629047,1300
2015-07-23,33.580002,33.580002,33.290001,33.535000,31.671547,4200
2015-07-24,33.410000,33.410000,33.189999,33.189999,31.345718,4600
2015-07-27,32.799999,32.980000,32.630001,32.980000,31.147388,1300
2015-07-28,32.720001,33.299999,32.720001,33.299999,31.449610,4900
2015-07-29,33.009998,33.205002,33.009998,33.205002,31.359884,4600
2015-07-30,32.660000,32.759998,32.660000,32.759998,30.939611,900
2015-07-31,33.000000,33.410000,32.900002,33.200001,31.355164,39800
2015-08-03,33.330002,33.349998,33.330002,33.349998,31.496824,600
2015-08-04,33.349998,33.349998,33.349998,33.349998,31.496824,0
2015-08-05,33.389999,33.400002,33.389999,33.400002,31.544054,300
2015-08-06,33.250000,33.250000,33.250000,33.250000,31.402388,300
2015-08-07,33.250000,33.250000,33.250000,33.250000,31.402388,0
2015-08-10,33.639999,33.639999,33.639999,33.639999,31.770716,400
2015-08-11,33.639999,33.639999,33.639999,33.639999,31.770716,0
2015-08-12,32.619999,32.639999,32.419998,32.639999,30.826284,20900
2015-08-13,32.540001,32.950001,32.540001,32.939999,31.109610,6500
2015-08-14,32.650002,32.650002,32.650002,32.650002,30.835732,500
2015-08-17,32.500000,32.500000,32.500000,32.500000,30.694065,100
2015-08-18,32.730000,32.730000,32.320000,32.320000,30.524063,6700
2015-08-19,31.980000,32.230000,31.980000,32.220001,30.429625,4200
2015-08-20,31.410000,31.441000,31.320000,31.441000,29.693909,1000
2015-08-21,31.480000,31.480000,30.690001,30.770000,29.060194,7800
2015-08-24,31.480000,31.480000,30.290001,30.290001,28.606867,5000
2015-08-25,31.136000,31.136000,30.920000,30.920000,29.201859,300
2015-08-26,31.650000,31.650000,30.559999,30.910000,29.192413,7900
2015-08-27,31.452000,31.452000,31.452000,31.452000,29.704292,300
2015-08-28,31.510000,31.510000,31.160000,31.219999,29.485186,1600
2015-08-31,30.879999,31.200001,30.879999,31.110001,29.381300,1500
2015-09-01,30.514000,30.620001,30.469999,30.469999,28.776861,2900
2015-09-02,30.441999,30.441999,30.441999,30.441999,28.750418,100
2015-09-03,30.900000,30.900000,30.889999,30.889999,29.173523,14000
2015-09-04,30.350000,30.350000,30.350000,30.350000,28.663530,800
2015-09-08,30.889999,30.930000,30.889999,30.930000,29.211302,600
2015-09-09,31.400000,31.480000,31.209999,31.209999,29.475742,3800
2015-09-10,31.230000,31.260000,31.230000,31.260000,29.522963,1400
2015-09-11,30.910000,31.469999,30.910000,31.101999,29.373745,3000
2015-09-14,30.818001,30.818001,30.818001,30.818001,29.105526,300
2015-09-15,31.260000,31.290001,30.990000,30.990000,29.267965,1400
2015-09-16,31.646999,31.690001,31.646999,31.690001,29.929075,1400
2015-09-17,31.809999,31.860001,31.430000,31.860001,30.089628,800
2015-09-18,31.860001,31.860001,31.860001,31.860001,30.089628,0
2015-09-21,31.860001,31.860001,31.860001,31.860001,30.089628,0
2015-09-22,29.830000,29.830000,29.299999,29.299999,27.671875,1200
2015-09-23,29.482000,29.482000,29.482000,29.482000,27.868498,600
2015-09-24,29.143999,29.257999,29.143999,29.257999,27.656752,800
2015-09-25,29.559999,29.590000,29.340000,29.340000,27.734264,10400
2015-09-28,29.084999,29.084999,29.000000,29.000000,27.412874,600
2015-09-29,28.900000,29.280001,28.900000,29.270000,27.668097,2800
2015-09-30,29.459999,29.459999,29.150000,29.302000,27.698345,2400
2015-10-01,29.302000,29.302000,29.302000,29.302000,27.698345,0
2015-10-02,29.709999,29.809999,29.700001,29.792999,28.162474,3100
2015-10-05,30.309999,30.309999,30.309999,30.309999,28.651175,600
2015-10-06,30.660000,31.080000,30.660000,31.059999,29.360130,7500
2015-10-07,31.059999,31.059999,31.059999,31.059999,29.360130,0
2015-10-08,31.254999,31.254999,31.254999,31.254999,29.544460,200
2015-10-09,31.254999,31.254999,31.254999,31.254999,29.544460,0
2015-10-12,31.254999,31.254999,31.254999,31.254999,29.544460,0
2015-10-13,31.254999,31.254999,31.254999,31.254999,29.544460,0
2015-10-14,31.254999,31.254999,31.254999,31.254999,29.544460,0
2015-10-15,31.254999,31.254999,31.254999,31.254999,29.544460,0
2015-10-16,31.360001,31.634001,31.360001,31.634001,29.902719,25800
2015-10-19,31.634001,31.634001,31.634001,31.634001,29.902719,0
2015-10-20,31.590000,31.799999,31.549999,31.799999,30.059629,2600
2015-10-21,31.799999,31.799999,31.799999,31.799999,30.059629,0
2015-10-22,31.610001,31.933001,31.610001,31.809999,30.069084,900
2015-10-23,32.104000,32.104000,32.104000,32.104000,30.346996,500
2015-10-26,32.104000,32.104000,32.104000,32.104000,30.346996,0
2015-10-27,32.104000,32.104000,32.104000,32.104000,30.346996,0
2015-10-28,32.104000,32.104000,32.104000,32.104000,30.346996,0
2015-10-29,31.740000,31.799999,31.559999,31.600000,29.870579,7100
2015-10-30,31.860001,32.094002,31.860001,32.094002,30.337543,2000
2015-11-02,32.490002,32.490002,32.400002,32.470001,30.692965,1100
2015-11-03,32.290001,32.299999,32.251999,32.251999,30.486891,900
2015-11-04,32.251999,32.251999,32.251999,32.251999,30.486891,0
2015-11-05,32.251999,32.251999,32.251999,32.251999,30.486891,0
2015-11-06,32.251999,32.251999,32.251999,32.251999,30.486891,0
2015-11-09,31.480000,31.480000,31.480000,31.480000,29.757145,200
2015-11-10,31.430000,31.479000,31.430000,31.479000,29.756201,1000
2015-11-11,31.479000,31.479000,31.479000,31.479000,29.756201,0
2015-11-12,31.120001,31.129999,31.110001,31.129999,29.426300,700
2015-11-13,30.430000,30.430000,30.430000,30.430000,28.764612,100
2015-11-16,30.430000,30.430000,30.430000,30.430000,28.764612,0
2015-11-17,30.430000,30.430000,30.430000,30.430000,28.764612,0
2015-11-18,31.450001,31.450001,31.450001,31.450001,29.728788,400
2015-11-19,31.480000,31.480000,31.440001,31.440001,29.719336,1300
2015-11-20,31.200001,31.200001,31.200001,31.200001,29.492472,500
2015-11-23,31.200001,31.200001,31.200001,31.200001,29.492472,0
2015-11-24,31.091000,31.091000,30.938999,30.938999,29.245754,800
2015-11-25,30.938999,30.938999,30.938999,30.938999,29.245754,0
2015-11-27,30.938999,30.938999,30.938999,30.938999,29.245754,0
2015-11-30,31.900000,31.900000,31.870001,31.870001,30.125801,1700
2015-12-01,31.952000,31.952000,31.952000,31.952000,30.203316,300
2015-12-02,31.952000,31.952000,31.952000,31.952000,30.203316,0
2015-12-03,31.952000,31.952000,31.952000,31.952000,30.203316,0
2015-12-04,31.952000,31.952000,31.952000,31.952000,30.203316,0
2015-12-07,31.952000,31.952000,31.952000,31.952000,30.203316,0
2015-12-08,31.952000,31.952000,31.952000,31.952000,30.203316,0
2015-12-09,31.374001,31.374001,31.374001,31.374001,29.656946,600
2015-12-10,31.530001,31.530001,31.530001,31.530001,29.804411,19300
2015-12-11,31.530001,31.530001,31.530001,31.530001,29.804411,0
2015-12-14,31.530001,31.530001,31.530001,31.530001,29.804411,0
2015-12-15,31.000999,31.000999,31.000999,31.000999,29.304361,300
2015-12-16,31.240000,31.680000,31.240000,31.680000,29.946199,5200
2015-12-17,31.680000,31.680000,31.680000,31.680000,29.946199,0
2015-12-18,31.365999,31.365999,31.017000,31.017000,29.319485,400
2015-12-21,31.017000,31.017000,31.017000,31.017000,29.319485,0
2015-12-22,31.209999,31.215000,31.209999,31.215000,29.506649,800
2015-12-23,31.215000,31.215000,31.215000,31.215000,29.506649,0
2015-12-24,31.700001,31.700001,31.650000,31.650000,29.917843,2200
2015-12-28,32.000000,32.000000,32.000000,32.000000,30.248688,200
2015-12-29,31.980000,32.000000,31.870001,31.920000,30.173065,2800
2015-12-30,31.840000,31.840000,31.840000,31.840000,30.097441,2200
2015-12-31,31.340000,31.440001,31.330000,31.440001,29.719336,700
2016-01-04,30.780001,30.990000,30.760000,30.760000,29.076551,800
2016-01-05,30.340000,30.829000,30.330000,30.829000,29.141773,2600
2016-01-06,30.829000,30.829000,30.829000,30.829000,29.141773,0
2016-01-07,30.180000,30.180000,29.826000,29.826000,28.193668,700
2016-01-08,29.826000,29.826000,29.826000,29.826000,28.193668,0
2016-01-11,29.587000,29.667000,29.587000,29.667000,28.043371,700
2016-01-12,29.962000,29.962000,29.959999,29.959999,28.320330,700
2016-01-13,29.910000,29.910000,29.520000,29.520000,27.904415,1400
2016-01-14,29.520000,29.520000,29.520000,29.520000,27.904415,0
2016-01-15,28.549999,28.549999,28.427000,28.427000,26.871229,500
2016-01-19,28.730000,28.830999,28.730000,28.830999,27.253120,1100
2016-01-20,28.270000,28.270000,27.820000,28.059999,26.524317,13100
2016-01-21,28.000000,28.375000,28.000000,28.375000,26.822077,800
2016-01-22,28.375000,28.375000,28.375000,28.375000,26.822077,0
2016-01-25,28.375000,28.375000,28.375000,28.375000,26.822077,0
2016-01-26,29.462999,29.462999,29.462999,29.462999,27.850534,200
2016-01-27,29.260000,29.260000,29.080000,29.156000,27.560335,2100
2016-01-28,29.156000,29.156000,29.156000,29.156000,27.560335,0
2016-01-29,29.260000,29.589001,29.260000,29.589001,27.969639,1600
2016-02-01,29.826000,29.826000,29.826000,29.826000,28.193668,800
2016-02-02,29.510000,29.510000,29.430000,29.430000,27.819342,1400
2016-02-03,29.430000,29.430000,29.430000,29.430000,27.819342,0
2016-02-04,29.360001,29.360001,29.360001,29.360001,27.753174,700
2016-02-05,28.969999,28.969999,28.969999,28.969999,27.384514,200
2016-02-08,28.969999,28.969999,28.969999,28.969999,27.384514,0
2016-02-09,27.802999,27.948999,27.802999,27.948999,26.419394,500
2016-02-10,28.090000,28.100000,28.090000,28.100000,26.562130,400
2016-02-11,28.100000,28.100000,28.100000,28.100000,26.562130,0
2016-02-12,27.827000,27.827000,27.827000,27.827000,26.304068,200
2016-02-16,27.827000,27.827000,27.827000,27.827000,26.304068,100
2016-02-17,29.000000,29.219999,29.000000,29.219999,27.620831,1600
2016-02-18,29.219999,29.219999,29.219999,29.219999,27.620831,0
2016-02-19,29.219999,29.219999,29.219999,29.219999,27.620831,0
2016-02-22,28.969999,28.969999,28.969999,28.969999,27.384514,100
2016-02-23,28.969999,28.969999,28.969999,28.969999,27.384514,0
2016-02-24,28.969999,28.969999,28.969999,28.969999,27.384514,0
2016-02-25,28.969999,28.969999,28.969999,28.969999,27.384514,0
2016-02-26,28.969999,28.969999,28.969999,28.969999,27.384514,0
2016-02-29,28.969999,28.969999,28.969999,28.969999,27.384514,100
2016-03-01,28.969999,28.969999,28.969999,28.969999,27.384514,0
2016-03-02,28.969999,28.969999,28.969999,28.969999,27.384514,100
2016-03-03,28.969999,28.969999,28.969999,28.969999,27.384514,0
2016-03-04,30.030001,30.030001,30.030001,30.030001,28.386505,200
2016-03-07,30.010000,30.010000,29.986000,29.986000,28.344910,200
2016-03-08,29.879999,29.930000,29.820000,29.930000,28.291975,500
2016-03-09,29.930000,29.930000,29.930000,29.930000,28.291975,0
2016-03-10,30.049000,30.049000,29.629999,29.742001,28.114262,1600
2016-03-11,30.170000,30.573999,30.170000,30.573999,28.900732,1200
2016-03-14,30.573999,30.573999,30.573999,30.573999,28.900732,0
2016-03-15,30.573999,30.573999,30.573999,30.573999,28.900732,0
2016-03-16,30.570999,30.730000,30.570999,30.730000,29.048191,500
2016-03-17,31.235001,31.235001,31.004999,31.004999,29.308144,300
2016-03-18,31.004999,31.004999,31.004999,31.004999,29.308144,0
2016-03-21,30.730000,30.730000,30.730000,30.730000,29.048191,200
2016-03-22,30.850000,30.870001,30.780001,30.850000,29.161625,4000
2016-03-23,30.725000,30.886000,30.660000,30.766001,29.082224,16200
2016-03-24,30.496000,30.496000,30.496000,30.496000,28.827000,400
2016-03-28,30.340000,30.530001,30.340000,30.530001,28.859140,6900
2016-03-29,30.790001,30.929001,30.790001,30.929001,29.236301,4600
2016-03-30,31.270000,31.270000,31.270000,31.270000,29.558640,200
2016-03-31,31.601000,31.601000,31.594999,31.594999,29.865850,1000
2016-04-01,31.290001,31.290001,31.290001,31.290001,29.577547,300
2016-04-04,31.250000,31.437000,31.160000,31.430000,29.709883,13400
2016-04-05,31.430000,31.430000,31.430000,31.430000,29.709883,0
2016-04-06,30.629999,31.131001,30.570000,31.131001,29.427246,2100
