Date,Open,High,Low,Close,Adj Close,Volume
2014-01-07,20.049999,20.049999,20.049999,20.049999,16.072170,400
2014-01-08,19.980000,19.980000,19.980000,19.980000,16.016052,300
2014-01-09,19.980000,19.980000,19.980000,19.980000,16.016052,0
2014-01-10,19.980000,19.980000,19.980000,19.980000,16.016052,0
2014-01-13,20.000000,20.000000,19.930000,19.930000,15.975971,1100
2014-01-14,19.930000,19.930000,19.930000,19.930000,15.975971,0
2014-01-15,20.059999,20.059999,20.049999,20.049999,16.072170,1500
2014-01-16,20.049999,20.049999,20.049999,20.049999,16.072170,0
2014-01-17,20.090000,20.090000,19.969999,19.969999,16.008039,2400
2014-01-21,19.969999,19.969999,19.969999,19.969999,16.008039,0
2014-01-22,20.040001,20.059999,20.040001,20.059999,16.080179,1200
2014-01-23,19.900000,19.900000,19.900000,19.900000,15.951926,1000
2014-01-24,19.709999,19.709999,19.709999,19.709999,15.799628,500
2014-01-27,19.540001,19.540001,19.540001,19.540001,15.663352,600
2014-01-28,19.540001,19.540001,19.540001,19.540001,15.663352,1000
2014-01-29,19.469999,19.469999,19.379999,19.379999,15.535090,800
2014-01-30,19.490000,19.490000,19.490000,19.490000,15.623263,200
2014-01-31,19.330000,19.330000,19.330000,19.330000,15.495007,100
2014-02-03,19.230000,19.230000,19.049999,19.049999,15.270565,6100
2014-02-04,19.049999,19.049999,19.049999,19.049999,15.270565,0
2014-02-05,19.020000,19.040001,19.010000,19.010000,15.238501,1500
2014-02-06,19.010000,19.010000,19.010000,19.010000,15.238501,0
2014-02-07,19.280001,19.309999,19.280001,19.309999,15.478982,3000
2014-02-10,19.360001,19.360001,19.360001,19.360001,15.519059,500
2014-02-11,19.360001,19.360001,19.360001,19.360001,15.519059,0
2014-02-12,19.520000,19.520000,19.500000,19.510000,15.639304,1600
2014-02-13,19.549999,19.559999,19.510000,19.510000,15.639304,800
2014-02-14,19.670000,19.700001,19.670000,19.700001,15.791606,1200
2014-02-18,19.700001,19.700001,19.680000,19.690001,15.783585,4800
2014-02-19,19.639999,19.639999,19.590000,19.600000,15.711447,3300
2014-02-20,19.600000,19.600000,19.600000,19.600000,15.711447,0
2014-02-21,19.670000,19.670000,19.620001,19.620001,15.779813,900
2014-02-24,19.700001,19.730000,19.690001,19.690001,15.836102,3200
