Date,Open,High,Low,Close,Adj Close,Volume
2003-10-09,14.350000,14.600000,14.350000,14.500000,7.228225,58400
2003-10-10,14.500000,14.650000,14.500000,14.550000,7.253149,75400
2003-10-13,14.530000,14.650000,14.500000,14.650000,7.303001,58400
2003-10-14,14.630000,14.750000,14.450000,14.450000,7.203301,81200
2003-10-15,14.550000,14.550000,14.050000,14.200000,7.078676,57700
2003-10-16,14.050000,14.250000,13.850000,13.950000,6.954054,83400
2003-10-17,13.990000,14.000000,13.800000,13.950000,6.954054,37700
2003-10-20,13.950000,14.050000,13.700000,13.900000,6.929125,59500
2003-10-21,13.880000,14.250000,13.600000,14.000000,6.978974,74600
2003-10-22,14.000000,14.050000,13.750000,13.950000,6.954054,97600
2003-10-23,13.950000,13.990000,13.750000,13.850000,6.904200,81500
2003-10-24,13.800000,13.800000,13.630000,13.650000,6.804501,66500
2003-10-27,13.750000,13.750000,13.510000,13.580000,6.769606,85500
2003-10-28,13.450000,13.700000,13.450000,13.610000,6.784562,160500
2003-10-29,13.630000,13.960000,13.540000,13.810000,6.884262,111500
2003-10-30,13.960000,14.080000,13.850000,14.000000,6.978974,102600
2003-10-31,14.000000,14.090000,13.810000,14.090000,7.023840,61100
2003-11-03,14.200000,14.200000,13.910000,14.100000,7.028827,52700
2003-11-04,14.000000,14.230000,13.820000,14.100000,7.028827,78600
2003-11-05,14.000000,14.450000,13.900000,14.300000,7.128526,81200
2003-11-06,14.380000,14.380000,14.020000,14.240000,7.098615,44700
2003-11-07,14.220000,14.250000,14.060000,14.250000,7.103598,74400
2003-11-10,14.300000,14.300000,14.020000,14.120000,7.038797,63800
2003-11-11,14.150000,14.200000,14.020000,14.090000,7.023840,61200
2003-11-12,14.150000,14.190000,14.060000,14.100000,7.028827,72000
2003-11-13,14.070000,14.200000,14.000000,14.060000,7.008886,83300
2003-11-14,14.000000,14.240000,13.960000,14.100000,7.028827,47800
2003-11-17,14.130000,14.150000,13.810000,13.950000,6.954054,103000
2003-11-18,13.950000,14.000000,13.850000,13.950000,6.954054,80600
2003-11-19,13.900000,14.000000,13.850000,13.850000,6.904200,88200
2003-11-20,13.770000,13.900000,13.690000,13.750000,6.854351,127700
2003-11-21,13.800000,13.980000,13.660000,13.680000,6.819455,156200
2003-11-24,13.740000,13.950000,13.650000,13.680000,6.819455,169100
2003-11-25,13.680000,13.910000,13.680000,13.890000,6.924144,161200
2003-11-26,13.920000,14.270000,13.770000,14.200000,7.078676,132500
2003-11-28,14.100000,14.350000,14.080000,14.320000,7.138495,40300
2003-12-01,14.090000,14.100000,13.900000,14.020000,7.102023,105100
2003-12-02,14.030000,14.180000,13.950000,13.970000,7.076696,96100
2003-12-03,13.950000,14.150000,13.860000,14.040000,7.112152,80200
2003-12-04,14.040000,14.140000,13.910000,14.080000,7.132417,85600
2003-12-05,14.000000,14.030000,13.760000,13.870000,7.026040,107300
2003-12-08,13.920000,13.940000,13.720000,13.880000,7.031104,195000
2003-12-09,13.880000,13.900000,13.770000,13.820000,7.000709,102100
2003-12-10,13.800000,13.930000,13.660000,13.690000,6.934856,109000
2003-12-11,13.660000,13.950000,13.660000,13.850000,7.015906,168500
2003-12-12,13.850000,13.970000,13.800000,13.900000,7.041231,112000
2003-12-15,14.000000,14.000000,13.640000,13.680000,6.929789,266400
2003-12-16,13.680000,13.890000,13.610000,13.890000,7.036170,278900
2003-12-17,13.790000,13.910000,13.730000,13.840000,7.010841,212800
2003-12-18,13.940000,14.000000,13.870000,13.920000,7.051366,220000
2003-12-19,13.940000,13.990000,13.800000,13.950000,7.066562,155200
2003-12-22,13.950000,14.040000,13.830000,13.990000,7.086827,200000
2003-12-23,13.940000,14.200000,13.920000,14.130000,7.157744,279000
2003-12-24,14.120000,14.120000,13.970000,14.090000,7.137481,81800
2003-12-26,14.090000,14.190000,14.020000,14.170000,7.178007,101300
2003-12-29,14.290000,14.490000,14.210000,14.420000,7.304650,263700
2003-12-30,14.490000,14.490000,14.300000,14.380000,7.284386,189300
2003-12-31,14.450000,14.500000,14.310000,14.420000,7.304650,177100
2004-01-02,14.450000,14.670000,14.400000,14.500000,7.345173,92600
2004-01-05,14.600000,14.750000,14.530000,14.730000,7.461679,198700
2004-01-06,14.700000,14.830000,14.550000,14.750000,7.471815,168600
2004-01-07,14.750000,14.750000,14.600000,14.630000,7.411027,157900
2004-01-08,14.680000,14.720000,14.550000,14.640000,7.416090,149100
2004-01-09,14.550000,14.740000,14.550000,14.620000,7.405957,117600
2004-01-12,14.650000,14.770000,14.510000,14.550000,7.370501,145500
2004-01-13,14.550000,14.580000,14.360000,14.440000,7.314781,129500
2004-01-14,14.450000,14.470000,14.370000,14.470000,7.329976,152800
2004-01-15,14.420000,14.540000,14.400000,14.530000,7.360370,142800
2004-01-16,14.520000,14.700000,14.480000,14.560000,7.375568,130800
2004-01-20,14.700000,14.750000,14.520000,14.600000,7.395832,149100
2004-01-21,14.630000,14.700000,14.550000,14.670000,7.431287,173600
2004-01-22,14.740000,14.740000,14.600000,14.650000,7.421158,185800
2004-01-23,14.660000,14.750000,14.610000,14.620000,7.405957,191800
2004-01-26,14.610000,14.720000,14.590000,14.700000,7.446486,200500
2004-01-27,14.650000,14.690000,14.500000,14.560000,7.375568,239900
2004-01-28,14.530000,14.650000,14.460000,14.530000,7.360370,189800
2004-01-29,14.520000,14.580000,14.420000,14.560000,7.375568,167400
2004-01-30,14.450000,14.580000,14.450000,14.560000,7.375568,114000
2004-02-02,14.610000,14.670000,14.520000,14.580000,7.385696,155300
2004-02-03,14.600000,14.670000,14.540000,14.590000,7.390764,172500
2004-02-04,14.590000,14.630000,14.440000,14.500000,7.345173,202300
2004-02-05,14.580000,14.600000,14.500000,14.510000,7.350238,110700
2004-02-06,14.550000,14.650000,14.510000,14.650000,7.421158,126500
2004-02-09,14.750000,14.800000,14.630000,14.680000,7.436355,103600
2004-02-10,14.700000,14.740000,14.620000,14.730000,7.461679,121000
2004-02-11,14.730000,14.820000,14.680000,14.800000,7.497142,175800
2004-02-12,14.840000,14.840000,14.750000,14.820000,7.507272,159600
2004-02-13,14.830000,14.850000,14.730000,14.740000,7.466746,161900
2004-02-17,14.840000,14.870000,14.760000,14.840000,7.517405,306600
2004-02-18,14.850000,14.860000,14.760000,14.770000,7.481946,179400
2004-02-19,14.790000,14.850000,14.700000,14.700000,7.446486,264600
2004-02-20,14.710000,14.740000,14.610000,14.680000,7.436355,169700
2004-02-23,14.640000,14.680000,14.430000,14.500000,7.345173,289000
2004-02-24,14.450000,14.490000,14.270000,14.320000,7.253990,190500
2004-02-25,14.320000,14.490000,14.320000,14.490000,7.340106,86600
2004-02-26,14.490000,14.570000,14.420000,14.520000,7.355302,127700
2004-02-27,14.500000,14.670000,14.470000,14.620000,7.405957,138900
2004-03-01,14.570000,14.680000,14.520000,14.590000,7.433985,118800
2004-03-02,14.640000,14.650000,14.470000,14.540000,7.408513,177800
2004-03-03,14.540000,14.580000,14.440000,14.530000,7.403414,125400
2004-03-04,14.590000,14.620000,14.510000,14.590000,7.433985,117300
2004-03-05,14.520000,14.640000,14.500000,14.600000,7.439079,103900
2004-03-08,14.650000,14.730000,14.590000,14.620000,7.449270,180600
2004-03-09,14.620000,14.630000,14.510000,14.560000,7.418698,134700
2004-03-10,14.600000,14.600000,14.440000,14.480000,7.377934,149400
2004-03-11,14.450000,14.520000,14.250000,14.310000,7.291317,144100
2004-03-12,14.340000,14.460000,14.300000,14.390000,7.332079,112400
2004-03-15,14.430000,14.460000,14.210000,14.270000,7.270934,123300
2004-03-16,14.280000,14.440000,14.240000,14.330000,7.301508,260900
2004-03-17,14.380000,14.440000,14.310000,14.400000,7.337174,114900
2004-03-18,14.380000,14.400000,14.180000,14.340000,7.306603,122500
2004-03-19,14.330000,14.390000,14.280000,14.300000,7.286222,110800
2004-03-22,14.250000,14.280000,14.080000,14.170000,7.219984,140900
2004-03-23,14.170000,14.240000,14.070000,14.160000,7.214889,163700
