Date,Open,High,Low,Close,Adj Close,Volume
2008-07-16,23.330000,30.500000,23.320000,24.940001,16.639843,38000
2008-07-17,25.180000,25.440001,24.700001,24.709999,16.486389,89000
2008-07-18,26.480000,26.480000,24.520000,24.950001,16.646515,29000
2008-07-21,30.600000,30.600000,25.049999,25.350000,16.913393,96200
2008-07-22,25.309999,25.450001,25.100000,25.450001,16.980116,40300
2008-07-23,25.709999,25.709999,25.299999,25.299999,16.880033,58800
2008-07-24,25.610001,25.610001,25.200001,25.200001,16.813316,43400
2008-07-25,25.180000,25.280001,25.110001,25.190001,16.806643,11700
2008-07-28,25.290001,25.290001,25.070000,25.070000,16.726580,21100
2008-07-29,24.900000,24.900000,24.700001,24.809999,16.553108,32500
2008-07-30,25.150000,25.299999,24.940001,25.290001,16.873360,29400
2008-07-31,25.250000,25.250000,24.750000,24.750000,16.513075,40100
2008-08-01,24.840000,26.700001,24.570000,24.740000,16.506403,143100
2008-08-04,24.740000,24.770000,24.400000,24.400000,16.279554,56400
2008-08-05,24.719999,24.860001,24.459999,24.809999,16.553108,32600
2008-08-06,24.500000,24.570000,24.400000,24.549999,16.379635,30100
2008-08-07,24.490000,24.500000,24.290001,24.370001,16.259544,5800
2008-08-08,24.250000,24.450001,24.180000,24.290001,16.206173,25600
2008-08-11,24.129999,24.129999,23.559999,23.700001,15.812519,17400
2008-08-12,23.650000,23.650000,23.139999,23.240000,15.505610,33100
2008-08-13,23.270000,23.510000,23.200001,23.490000,15.672412,24300
2008-08-14,23.780001,23.780001,23.530001,23.580000,15.732458,17400
2008-08-15,23.490000,23.490000,23.110001,23.309999,15.552317,33600
2008-08-18,23.629999,23.770000,23.340000,23.459999,15.652390,93200
2008-08-19,23.660000,23.750000,23.510000,23.690001,15.805851,18100
2008-08-20,23.570000,23.610001,23.139999,23.370001,15.592349,28600
2008-08-21,23.469999,23.760000,23.389999,23.750000,15.845878,11600
2008-08-22,23.580000,23.639999,23.200001,23.260000,15.518955,20100
2008-08-25,23.240000,23.309999,22.750000,22.920000,15.292109,94300
