Date,Open,High,Low,Close,Adj Close,Volume
2010-01-15,47.919998,47.919998,47.380001,47.480000,34.274708,2500
2010-01-19,47.669998,48.259998,47.669998,48.220001,34.808903,10700
2010-01-20,47.590000,47.590000,47.000000,47.349998,34.180866,4600
2010-01-21,47.349998,47.349998,46.290001,46.430000,33.516743,1700
2010-01-22,46.150002,46.150002,45.320000,45.320000,32.715458,1100
2010-01-25,45.320000,45.320000,45.320000,45.320000,32.715458,0
2010-01-26,45.869999,46.169998,45.790001,45.790001,33.054737,1200
2010-01-27,45.630001,45.950001,45.400002,45.950001,33.170258,1500
2010-01-28,45.250000,45.250000,44.980000,44.980000,32.470024,400
2010-01-29,44.880001,44.880001,44.880001,44.880001,32.397835,500
2010-02-01,45.400002,45.419998,45.400002,45.419998,32.787643,800
2010-02-02,46.689999,46.779999,46.689999,46.779999,33.769405,1100
2010-02-03,46.400002,46.400002,45.880001,45.880001,33.119713,300
2010-02-04,44.759998,44.759998,44.209999,44.209999,31.914167,2700
2010-02-05,44.040001,44.040001,41.799999,43.330002,31.278925,3900
2010-02-08,43.959999,43.959999,43.650002,43.650002,31.509912,9000
2010-02-09,44.439999,44.779999,44.380001,44.779999,32.325649,700
2010-02-10,44.500000,44.500000,44.490002,44.490002,32.116299,500
2010-02-11,44.400002,44.980000,44.400002,44.860001,32.383404,16900
2010-02-12,44.380001,44.380001,44.380001,44.380001,32.036903,100
2010-02-16,44.580002,45.259998,44.580002,45.230000,32.650494,8500
2010-02-17,45.230000,45.230000,45.230000,45.230000,32.650494,0
2010-02-18,45.599998,45.950001,45.549999,45.830002,33.083611,93000
2010-02-19,45.610001,45.860001,45.610001,45.860001,33.105278,6000
2010-02-22,45.770000,45.810001,45.770000,45.799999,33.061962,4200
2010-02-23,45.750000,45.750000,45.119999,45.119999,32.571087,10700
2010-02-24,45.520000,45.520000,45.520000,45.520000,32.859821,200
2010-02-25,45.080002,45.080002,44.919998,44.919998,32.426716,3200
2010-02-26,44.919998,44.919998,44.919998,44.919998,32.426716,0
2010-03-01,45.910000,45.910000,45.910000,45.910000,33.141365,100
2010-03-02,46.139999,46.150002,46.139999,46.150002,33.314617,3200
2010-03-03,46.549999,46.549999,46.549999,46.549999,33.603367,300
2010-03-04,46.360001,46.490002,46.330002,46.490002,33.560055,17900
2010-03-05,47.189999,47.340000,47.189999,47.340000,34.173653,5400
2010-03-08,47.299999,47.340000,47.250000,47.299999,34.144779,9400
2010-03-09,47.090000,47.439999,47.090000,47.259998,34.115913,4200
2010-03-10,47.389999,47.590000,47.389999,47.480000,34.274708,3500
2010-03-11,47.459999,47.459999,47.340000,47.410000,34.224186,5300
2010-03-12,47.459999,47.470001,47.419998,47.470001,34.267502,1700
2010-03-15,47.410000,47.410000,47.169998,47.250000,34.108688,1000
2010-03-16,47.610001,47.639999,47.520000,47.639999,34.390221,1700
2010-03-17,47.869999,47.919998,47.750000,47.830002,34.527367,9400
2010-03-18,47.849998,47.889999,47.849998,47.889999,34.570686,300
2010-03-19,47.630001,47.959999,47.599998,47.630001,34.382996,500
2010-03-22,47.049999,47.650002,47.049999,47.650002,34.397430,1300
2010-03-23,47.570000,48.060001,47.549999,48.060001,34.693405,1500
