Date,Open,High,Low,Close,Adj Close,Volume
2013-06-24,39.599998,39.930000,39.369999,39.750000,33.851929,15700
2013-06-25,39.950001,39.990002,39.669998,39.830002,33.920063,10000
2013-06-26,40.119999,40.299999,40.119999,40.299999,34.320316,400
2013-06-27,40.580002,40.580002,40.500000,40.509998,34.499153,3200
2013-06-28,41.080002,41.919998,40.290001,40.450001,34.448063,36100
2013-07-01,40.740002,40.740002,40.549999,40.549999,34.533226,300
2013-07-02,41.150002,41.150002,40.450001,40.650002,34.618385,220700
2013-07-03,40.549999,40.669998,39.750000,40.660000,34.626884,16400
2013-07-05,40.730000,40.939999,40.270000,40.270000,34.294777,3200
2013-07-08,39.750000,41.160000,39.750000,41.099998,35.001610,6000
2013-07-09,41.279999,41.360001,41.169998,41.360001,35.223045,5100
2013-07-10,41.270000,41.369999,41.220001,41.330002,35.197487,8800
2013-07-11,41.700001,41.700001,41.549999,41.619999,35.444462,9000
2013-07-12,41.610001,41.700001,41.599998,41.700001,35.512600,9300
2013-07-15,41.799999,41.880001,41.730000,41.880001,35.665886,13200
2013-07-16,41.810001,41.810001,41.660000,41.770000,35.572212,16200
2013-07-17,42.230000,42.230000,41.799999,41.860001,35.648849,60100
2013-07-18,41.900002,42.029999,41.869999,41.959999,35.734013,13800
2013-07-19,42.419998,42.419998,41.880001,41.980000,35.751053,32900
2013-07-22,41.959999,42.049999,41.919998,41.990002,35.759567,14700
2013-07-23,42.060001,42.060001,41.660000,41.660000,35.478527,22300
2013-07-24,41.990002,41.990002,41.689999,41.770000,35.605541,16200
2013-07-25,41.700001,41.869999,41.660000,41.860001,35.682251,14800
2013-07-26,41.529999,42.240002,41.490002,41.860001,35.682251,10400
2013-07-29,41.830002,41.880001,41.660000,41.770000,35.605541,11300
2013-07-30,41.970001,42.189999,41.730000,41.750000,35.588482,19900
2013-07-31,42.160000,42.160000,41.470001,41.939999,35.750439,20900
2013-08-01,42.189999,42.290001,42.160000,42.270000,36.031750,7900
2013-08-02,42.270000,42.270000,42.040001,42.099998,35.886841,7300
2013-08-05,42.200001,42.250000,42.180000,42.209999,35.980579,8900
2013-08-06,42.130001,42.200001,41.980000,42.200001,35.972088,7500
2013-08-07,42.990002,42.990002,41.750000,41.939999,35.750439,30100
2013-08-08,42.070000,42.139999,41.919998,42.139999,35.920929,7900
2013-08-09,42.660000,42.660000,41.889999,41.980000,35.784550,14700
2013-08-12,41.830002,41.900002,41.669998,41.900002,35.716362,5400
2013-08-13,41.869999,42.000000,41.750000,41.939999,35.750439,4400
2013-08-14,41.900002,41.900002,41.820000,41.860001,35.682251,7900
2013-08-15,41.430000,41.450001,41.290001,41.380001,35.273090,7400
2013-08-16,41.279999,41.349998,41.150002,41.209999,35.128185,8000
2013-08-19,41.099998,41.180000,40.930000,40.930000,34.889507,4200
2013-08-20,41.029999,41.240002,41.020000,41.139999,35.068504,6900
2013-08-21,41.560001,41.560001,40.840000,40.840000,34.812778,6000
2013-08-22,40.939999,41.580002,40.919998,41.060001,35.130207,4400
2013-08-23,41.070000,41.320000,41.070000,41.299999,35.335533,14600
2013-08-26,41.299999,41.340000,41.209999,41.209999,35.258549,3200
2013-08-27,41.630001,41.630001,40.410000,40.520000,34.668198,22300
2013-08-28,40.500000,40.700001,40.500000,40.619999,34.753761,2800
2013-08-29,40.849998,40.900002,40.689999,40.900002,34.993313,14700
2013-08-30,40.540001,40.599998,40.459999,40.590000,34.728077,2500
2013-09-03,40.990002,41.080002,40.660000,40.750000,34.864975,9100
2013-09-04,40.770000,41.130001,40.770000,41.080002,35.147331,8700
2013-09-05,41.189999,41.209999,40.980000,41.060001,35.130207,9800
2013-09-06,41.080002,41.250000,40.810001,41.000000,35.078869,12800
2013-09-09,41.240002,41.450001,41.240002,41.430000,35.446777,9000
2013-09-10,41.619999,41.730000,41.619999,41.709999,35.686321,7000
2013-09-11,41.759998,41.759998,41.549999,41.660000,35.643559,10300
2013-09-12,41.759998,41.799999,41.639999,41.689999,35.669228,15900
2013-09-13,41.779999,41.840000,41.730000,41.840000,35.797550,1700
2013-09-16,41.900002,42.049999,41.889999,41.910000,35.857441,10200
2013-09-17,42.029999,42.110001,42.029999,42.060001,35.985798,7400
2013-09-18,42.040001,42.410000,41.860001,42.410000,36.285236,5900
2013-09-19,42.869999,42.869999,42.150002,42.299999,36.191128,32400
2013-09-20,42.419998,42.419998,42.150002,42.150002,36.062798,10400
2013-09-23,42.200001,42.279999,41.930000,42.000000,35.934448,9900
2013-09-24,42.040001,42.070000,41.830002,41.830002,35.789001,5300
2013-09-25,42.169998,42.169998,41.730000,41.889999,35.883232,30000
2013-09-26,41.900002,41.900002,41.799999,41.889999,35.883232,3700
2013-09-27,42.380001,42.380001,41.660000,41.660000,35.686214,2400
2013-09-30,41.529999,41.630001,41.439999,41.500000,35.549156,2500
2013-10-01,41.630001,41.849998,41.619999,41.849998,35.848972,8100
2013-10-02,41.650002,41.799999,41.590000,41.730000,35.746174,8000
2013-10-03,42.160000,42.160000,41.310001,41.439999,35.497749,7000
2013-10-04,41.580002,41.830002,41.580002,41.740002,35.754738,16600
2013-10-07,41.209999,41.680000,41.209999,41.680000,35.703346,10200
2013-10-08,41.459999,41.459999,41.080002,41.080002,35.189388,5400
2013-10-09,41.040001,41.200001,40.849998,41.150002,35.249336,4400
2013-10-10,41.700001,41.750000,41.340000,41.750000,35.763302,14900
2013-10-11,41.889999,42.040001,41.869999,42.040001,36.011723,1600
2013-10-14,42.139999,42.310001,42.139999,42.169998,36.123074,1800
2013-10-15,42.299999,42.340000,42.060001,42.080002,36.045982,6500
2013-10-16,42.200001,42.439999,42.200001,42.439999,36.354374,5900
2013-10-17,42.400002,42.810001,42.400002,42.810001,36.671318,10900
2013-10-18,42.650002,42.950001,42.650002,42.950001,36.791233,7800
2013-10-21,42.970001,42.970001,42.849998,42.849998,36.705578,7000
2013-10-22,43.160000,43.189999,42.939999,43.160000,36.971123,3200
2013-10-23,43.000000,43.000000,42.740002,42.740002,36.641060,7300
2013-10-24,42.880001,43.060001,42.880001,43.000000,36.863953,10800
2013-10-25,42.990002,43.070000,42.950001,43.029999,36.889675,2000
2013-10-28,42.830002,43.139999,42.830002,43.130001,36.975418,22600
2013-10-29,43.200001,43.220001,43.200001,43.220001,37.052570,400
2013-10-30,43.299999,43.310001,43.200001,43.200001,37.035416,700
2013-10-31,43.240002,43.240002,43.130001,43.169998,37.009705,2500
2013-11-01,43.369999,43.369999,43.070000,43.270000,37.095440,7100
2013-11-04,43.240002,43.419998,43.240002,43.419998,37.224014,6500
2013-11-05,43.119999,43.320000,43.119999,43.250000,37.078270,5400
2013-11-06,43.490002,43.490002,43.200001,43.450001,37.249756,10000
2013-11-07,43.250000,43.330002,43.000000,43.009998,36.872540,7800
2013-11-08,43.080002,43.380001,43.000000,43.349998,37.164009,32200
2013-11-11,43.439999,43.490002,43.439999,43.480000,37.275459,4800
2013-11-12,43.419998,43.480000,43.349998,43.450001,37.249756,12800
2013-11-13,43.279999,43.560001,43.279999,43.560001,37.344032,10200
2013-11-14,43.779999,43.860001,43.709999,43.860001,37.601246,9600
2013-11-15,44.320000,44.320000,43.799999,43.930000,37.661251,16500
2013-11-18,44.150002,44.150002,43.750000,43.790001,37.541225,7000
2013-11-19,43.889999,43.889999,43.700001,43.779999,37.532650,3300
2013-11-20,43.980000,43.980000,43.549999,43.639999,37.412628,35300
2013-11-21,43.689999,43.840000,43.650002,43.779999,37.588631,8700
2013-11-22,44.040001,44.040001,43.790001,44.000000,37.777527,4600
2013-11-25,43.980000,44.000000,43.900002,43.930000,37.717434,2100
2013-11-26,43.939999,43.990002,43.880001,43.880001,37.674492,5100
2013-11-27,44.000000,44.049999,43.980000,44.049999,37.820454,3200
2013-11-29,44.119999,44.139999,44.119999,44.139999,37.897736,300
2013-12-02,44.330002,44.330002,43.930000,43.930000,37.717434,7300
2013-12-03,44.299999,44.299999,43.650002,43.840000,37.640144,9100
2013-12-04,43.759998,43.900002,43.509998,43.790001,37.597221,7700
2013-12-05,43.650002,43.709999,43.520000,43.610001,37.442680,9500
2013-12-06,44.090000,44.090000,43.840000,43.930000,37.717434,7600
2013-12-09,44.099998,44.200001,44.020000,44.099998,37.863377,6600
