Date,Open,High,Low,Close,Adj Close,Volume
2007-12-27,47.060001,47.060001,47.060001,47.060001,29.965223,2000
2007-12-28,47.230000,47.560001,47.230000,47.549999,30.277206,2400
2007-12-31,47.900002,47.900002,47.549999,47.549999,30.277206,1900
2008-01-02,47.779999,50.099998,47.779999,48.000000,30.563753,11600
2008-01-03,48.000000,48.000000,48.000000,48.000000,30.563753,0
2008-01-04,48.000000,48.000000,48.000000,48.000000,30.563753,0
2008-01-07,50.889999,50.889999,45.389999,45.410000,28.914589,2300
2008-01-08,45.110001,45.110001,45.110001,45.110001,28.723560,1000
2008-01-09,45.110001,45.110001,45.110001,45.110001,28.723560,0
2008-01-10,43.939999,44.020000,43.939999,44.020000,28.029509,3600
2008-01-11,42.959999,43.029999,42.959999,43.029999,27.399128,600
2008-01-14,45.320000,45.490002,45.320000,45.490002,28.965527,3000
2008-01-15,45.490002,45.490002,45.490002,45.490002,28.965527,0
2008-01-16,45.490002,45.490002,45.490002,45.490002,28.965527,0
2008-01-17,45.490002,45.490002,45.490002,45.490002,28.965527,0
2008-01-18,35.000000,44.889999,33.299999,44.610001,28.405186,14200
2008-01-22,44.610001,46.320000,44.610001,46.320000,29.494024,3500
2008-01-23,45.060001,45.290001,44.730000,44.990002,28.647156,6400
2008-01-24,46.730000,48.599998,46.529999,46.990002,29.920641,6500
2008-01-25,46.500000,47.099998,46.500000,46.599998,29.672304,4200
2008-01-28,47.599998,47.599998,46.540001,47.189999,30.047989,1900
2008-01-29,47.529999,48.410000,47.529999,48.380001,30.805729,4800
2008-01-30,48.770000,48.770000,47.509998,48.590000,30.939432,6300
2008-01-31,49.490002,49.490002,48.650002,49.220001,31.340578,3300
2008-02-01,49.200001,49.730000,49.200001,49.730000,31.665318,2200
2008-02-04,44.150002,54.990002,44.099998,54.990002,35.014599,1000
2008-02-05,49.000000,51.000000,46.880001,46.880001,29.850609,7700
2008-02-06,47.490002,47.490002,47.160000,47.160000,30.028883,1800
2008-02-07,46.709999,49.500000,45.660000,47.000000,29.927004,5900
2008-02-08,45.950001,47.830002,45.700001,46.430000,29.564068,9400
2008-02-11,47.250000,49.000000,47.000000,47.000000,29.927004,8600
2008-02-12,50.639999,50.639999,48.029999,48.029999,30.582857,1300
2008-02-13,48.650002,48.660000,48.639999,48.639999,30.971272,5400
2008-02-14,48.580002,48.580002,48.299999,48.299999,30.754780,2300
2008-02-15,47.650002,47.700001,47.599998,47.700001,30.372740,6000
2008-02-19,48.259998,48.619999,48.110001,48.110001,30.633801,4700
2008-02-20,48.200001,48.200001,48.200001,48.200001,30.691099,100
2008-02-21,48.700001,48.700001,48.700001,48.700001,31.009478,1000
2008-02-22,48.889999,48.889999,48.880001,48.880001,31.124096,2000
2008-02-25,49.400002,49.939999,49.400002,49.810001,31.716270,2400
2008-02-26,49.810001,49.810001,49.810001,49.810001,31.716270,0
2008-02-27,51.299999,51.849998,51.299999,51.849998,33.015224,700
2008-02-28,52.889999,52.889999,51.290001,51.480000,32.779625,2600
2008-02-29,51.250000,52.790001,50.139999,50.230000,31.983690,6900
2008-03-03,47.830002,50.400002,47.830002,49.810001,31.716270,3700
2008-03-04,49.889999,49.919998,49.720001,49.919998,31.786304,2500
2008-03-05,52.060001,52.160000,51.700001,51.700001,32.919704,600
2008-03-06,53.080002,53.080002,51.200001,51.200001,32.601337,1500
2008-03-07,50.720001,50.720001,50.720001,50.720001,32.295704,400
2008-03-10,50.000000,50.000000,49.340000,49.980000,31.824520,5900
2008-03-11,51.299999,51.299999,50.820000,50.820000,32.359375,400
2008-03-12,51.279999,51.279999,50.939999,50.939999,32.435787,700
2008-03-13,48.250000,50.439999,48.250000,50.439999,32.117409,400
2008-03-14,50.099998,50.099998,50.099998,50.099998,31.900911,1500
2008-03-17,53.299999,53.549999,53.070000,53.070000,33.792057,600
2008-03-18,53.599998,53.900002,47.650002,52.240002,33.263557,2900
2008-03-19,53.709999,53.709999,48.500000,48.500000,30.882128,6000
2008-03-20,47.889999,47.889999,41.000000,46.450001,29.576796,1300
2008-03-24,47.000000,48.980000,47.000000,48.669998,30.990364,5000
2008-03-25,47.349998,47.410000,47.349998,47.400002,30.181707,700
2008-03-26,49.849998,50.139999,49.849998,50.139999,31.985086,300
2008-03-27,51.000000,51.450001,50.840000,50.840000,32.431641,500
2008-03-28,44.419998,50.150002,43.000000,50.150002,31.991486,1200
2008-03-31,46.000000,50.840000,46.000000,50.840000,32.431641,1800
2008-04-01,51.500000,52.500000,46.000000,52.500000,33.490566,800
2008-04-02,52.130001,52.560001,52.130001,52.490002,33.484196,2100
2008-04-03,51.400002,51.400002,51.360001,51.360001,32.763348,2000
2008-04-04,51.360001,51.360001,51.360001,51.360001,32.763348,0
2008-04-07,51.250000,51.250000,51.070000,51.070000,32.578346,600
