Date,Open,High,Low,Close,Adj Close,Volume
2000-05-26,16.015617,16.041666,15.859366,15.947917,12.910881,838200
2000-05-30,16.171867,16.265617,16.171867,16.265617,13.168078,1800
2000-05-31,16.458334,16.645834,16.458334,16.583334,13.425289,14400
2000-06-01,16.703117,16.968750,16.703117,16.968750,13.737309,905400
2000-06-02,17.244783,17.453117,17.244783,17.453117,14.129435,1552200
2000-06-05,17.468750,17.513016,17.458334,17.513016,14.177932,348000
2000-06-06,17.505199,17.601549,17.351549,17.351549,14.047215,87600
2000-06-07,17.432283,17.432283,17.348949,17.348949,14.045108,88200
2000-06-08,17.479166,17.479166,17.343750,17.343750,14.040899,1222200
2000-06-09,17.484367,17.484367,17.437500,17.437500,14.116801,4200
2000-06-12,17.598949,17.598949,17.281250,17.281250,13.990300,3600
2000-06-13,17.200516,17.270834,17.033850,17.270834,13.981867,336000
2000-06-14,17.458334,17.458334,17.380199,17.419266,14.102035,6600
2000-06-15,17.333334,17.333334,17.166666,17.333334,14.032465,58200
2000-06-16,17.447916,17.447916,17.291666,17.291666,13.998732,72000
2000-06-19,17.557283,17.557283,17.510416,17.510416,14.175828,27000
2000-06-20,17.609367,17.625000,17.437500,17.515617,14.180030,448800
2000-06-21,17.500000,17.567699,17.500000,17.520834,14.190065,6000
2000-06-22,17.562500,17.562500,17.432283,17.432283,14.118346,2400
2000-06-23,17.164049,17.164049,17.151033,17.151033,13.890568,6000
2000-06-26,17.156250,17.192699,17.125000,17.132799,13.875802,74400
2000-06-27,17.359367,17.380199,17.281250,17.281250,13.996027,724800
2000-06-28,17.302084,17.760416,17.302084,17.760416,14.384104,456000
2000-06-29,17.625000,17.708334,17.531250,17.583334,14.240685,112200
2000-06-30,17.578117,17.609367,17.484367,17.552084,14.215379,460800
2000-07-03,17.604166,17.731766,17.562500,17.731766,14.360900,356400
2000-07-05,17.682283,17.682283,17.601549,17.635416,14.282865,3600
2000-07-06,17.539049,17.718750,17.375000,17.718750,14.350352,416400
2000-07-07,17.799467,18.000000,17.799467,17.976549,14.559146,54000
2000-07-10,18.000000,18.156250,17.968750,18.109367,14.666713,67200
2000-07-11,18.109367,18.197916,18.052084,18.083334,14.645635,374400
2000-07-12,18.239584,18.320299,18.239584,18.294266,14.816474,18600
2000-07-13,18.401033,18.401033,18.276033,18.320299,14.837550,205200
2000-07-14,18.390617,18.390617,18.283850,18.322916,14.839672,12600
2000-07-17,18.281250,18.442699,18.281250,18.442699,14.936682,12600
2000-07-18,18.338533,18.377600,18.210934,18.302084,14.822797,33600
2000-07-19,18.197916,18.197916,17.924467,17.924467,14.516966,316200
2000-07-20,18.000000,18.130199,18.000000,18.000000,14.578138,72000
2000-07-21,18.078117,18.078117,17.666666,17.666666,14.308168,21000
2000-07-24,17.677084,17.723949,17.468750,17.479166,14.156322,645600
2000-07-25,17.598949,17.609367,17.437500,17.500000,14.173194,124800
2000-07-26,17.411449,17.411449,17.255199,17.388016,14.082500,117000
2000-07-27,17.455717,17.455717,17.166666,17.247383,13.968600,42000
2000-07-28,17.135416,17.135416,16.778633,16.825516,13.626930,14400
2000-07-31,16.781250,17.057283,16.677084,17.057283,13.814641,29400
2000-08-01,17.109367,17.140617,17.083334,17.098949,13.848388,6600
2000-08-02,17.273434,17.294266,17.270834,17.270834,13.987590,12600
2000-08-03,16.812500,17.145834,16.812500,17.145834,13.886356,17400
2000-08-04,17.283850,17.283850,17.166666,17.213533,13.941182,19200
2000-08-07,17.335934,17.463533,17.335934,17.460934,14.141552,423000
2000-08-08,17.489584,17.510416,17.463533,17.463533,14.143664,6000
2000-08-09,17.531250,17.531250,17.414049,17.414049,14.103585,3600
2000-08-10,17.416666,17.421867,17.406250,17.406250,14.097264,9600
2000-08-11,17.239584,17.500000,17.239584,17.500000,14.173194,23400
2000-08-14,17.619783,17.734367,17.619783,17.734367,14.363007,7200
2000-08-15,17.776033,17.776033,17.622383,17.622383,14.272312,8400
2000-08-16,17.666666,17.721350,17.575516,17.666666,14.308168,7200
2000-08-17,17.677084,17.677084,17.677084,17.677084,14.316614,600
2000-08-18,17.963533,17.963533,17.859367,17.869783,14.472681,127200
2000-08-21,17.937500,17.971350,17.875000,17.875000,14.476904,3600
2000-08-22,17.947916,17.992184,17.919266,17.919266,14.512753,39000
2000-08-23,17.802084,17.945299,17.791666,17.945299,14.533841,41400
2000-08-24,18.000000,18.104166,18.000000,18.104166,14.662512,55800
2000-08-25,18.218750,18.250000,18.218750,18.250000,14.780616,19200
2000-08-28,18.341133,18.341133,18.213533,18.221350,14.757416,16800
2000-08-29,18.270834,18.395834,18.270834,18.395834,14.898731,87600
2000-08-30,18.406250,18.466133,18.395834,18.447916,14.940906,75600
2000-08-31,18.541666,18.690100,18.541666,18.645834,15.101202,220200
2000-09-01,18.729166,18.734367,18.593750,18.713533,15.156025,601800
2000-09-05,18.739584,18.739584,18.536449,18.554684,15.027375,160200
2000-09-06,18.520834,18.520834,18.398434,18.494783,14.978867,44400
2000-09-07,18.572916,18.796867,18.572916,18.796867,15.223521,107400
2000-09-08,18.713533,18.713533,18.578117,18.604166,15.067453,72600
2000-09-11,18.526033,18.656250,18.473949,18.479166,14.966215,52800
2000-09-12,18.565100,18.565100,18.546867,18.546867,15.021047,27000
2000-09-13,18.401033,18.518217,18.401033,18.463533,14.953550,109200
2000-09-14,18.640617,18.773434,18.640617,18.705717,15.149703,148200
2000-09-15,18.635416,18.635416,18.505199,18.505199,14.987304,324000
2000-09-18,18.578117,18.578117,18.062500,18.072916,14.637197,136800
