Date,Open,High,Low,Close,Adj Close,Volume
2000-07-28,33.546879,33.632809,33.515621,33.531250,25.922277,7600
2000-07-31,33.468750,33.765621,33.468750,33.765621,26.103468,4600
2000-08-01,34.234379,34.234379,34.234379,34.234379,26.465862,2600
2000-08-02,34.421879,34.476559,34.421879,34.476559,26.653084,2000
2000-08-03,34.117191,34.265621,34.117191,34.265621,26.490009,11200
2000-08-04,34.382809,34.468750,34.343750,34.468750,26.647051,2600
2000-08-07,34.882809,34.882809,34.882809,34.882809,26.967152,200
2000-08-08,35.000000,35.000000,35.000000,35.000000,27.057737,3600
2000-08-09,35.000000,35.000000,35.000000,35.000000,27.057737,0
2000-08-10,35.000000,35.000000,35.000000,35.000000,27.057737,0
2000-08-11,35.000000,35.000000,35.000000,35.000000,27.057737,0
2000-08-14,35.000000,35.000000,35.000000,35.000000,27.057737,0
2000-08-15,35.000000,35.000000,35.000000,35.000000,27.057737,0
2000-08-16,35.125000,35.125000,35.062500,35.062500,27.106075,3800
2000-08-17,35.062500,35.062500,35.062500,35.062500,27.106075,0
2000-08-18,35.476559,35.476559,35.476559,35.476559,27.426151,1000
2000-08-21,35.515621,35.515621,35.375000,35.375000,27.347641,86000
2000-08-22,35.445309,35.531250,35.445309,35.468750,27.420122,21800
2000-08-23,35.507809,35.515621,35.507809,35.515621,27.456352,6400
2000-08-24,35.625000,35.625000,35.625000,35.625000,27.540915,4600
2000-08-25,35.625000,35.625000,35.625000,35.625000,27.540915,0
2000-08-28,35.625000,35.625000,35.625000,35.625000,27.540915,0
2000-08-29,35.687500,35.921879,35.687500,35.921879,27.770426,4400
2000-08-30,35.921879,35.921879,35.921879,35.921879,27.770426,0
2000-08-31,36.257809,36.257809,36.257809,36.257809,28.030136,1200
2000-09-01,36.218750,36.250000,36.218750,36.250000,28.024092,21600
2000-09-05,36.242191,36.242191,36.242191,36.242191,28.018057,200
2000-09-06,36.015621,36.015621,36.015621,36.015621,27.842901,20800
2000-09-07,36.468750,36.515621,36.468750,36.515621,28.229437,4000
2000-09-08,36.562500,36.593750,36.562500,36.593750,28.289837,8000
2000-09-11,36.500000,36.703121,36.500000,36.703121,28.374388,1600
2000-09-12,36.703121,36.703121,36.703121,36.703121,28.374388,0
2000-09-13,36.359379,36.625000,36.359379,36.625000,28.314001,6000
2000-09-14,36.687500,36.757809,36.687500,36.710941,28.380438,1000
2000-09-15,36.750000,36.750000,36.593750,36.609379,28.301924,4000
2000-09-18,36.500000,36.500000,35.789059,35.789059,27.667740,6200
2000-09-19,35.750000,35.757809,35.585941,35.656250,27.565065,3200
2000-09-20,35.906250,35.906250,35.703121,35.703121,27.646288,1800
2000-09-21,35.703121,35.703121,35.703121,35.703121,27.646288,0
2000-09-22,34.875000,35.062500,34.875000,35.062500,27.150240,2400
2000-09-25,35.312500,35.312500,35.250000,35.250000,27.295410,56600
2000-09-26,35.250000,35.250000,35.179691,35.179691,27.240971,3000
2000-09-27,35.289059,35.328121,35.195309,35.312500,27.343815,1600
2000-09-28,35.398441,35.960941,35.398441,35.960941,27.845919,1400
2000-09-29,35.796879,36.132809,35.796879,36.132809,27.979010,400
2000-10-02,36.101559,36.101559,35.656250,35.656250,27.609978,810400
2000-10-03,35.796879,35.867191,35.468750,35.468750,27.464798,240000
2000-10-04,35.343750,35.562500,35.281250,35.562500,27.537378,112000
2000-10-05,35.562500,35.562500,35.375000,35.375000,27.392199,28000
2000-10-06,35.203121,35.203121,34.796879,34.796879,26.944555,48400
2000-10-09,34.859379,34.859379,34.546879,34.750000,26.908241,55400
2000-10-10,34.921879,34.921879,34.484379,34.500000,26.714655,45400
2000-10-11,34.281250,34.312500,34.000000,34.148441,26.442427,41000
2000-10-12,34.109379,34.109379,33.500000,33.500000,25.940323,33200
2000-10-13,33.734379,34.343750,33.718750,34.343750,26.593664,23400
2000-10-16,34.500000,34.664059,34.500000,34.554691,26.757006,8600
2000-10-17,34.421879,34.421879,33.531250,33.687500,26.085510,11800
2000-10-18,33.312500,33.312500,33.312500,33.312500,25.795134,200
2000-10-19,33.843750,33.953121,33.726559,33.953121,26.291191,600
2000-10-20,33.953121,33.953121,33.953121,33.953121,26.291191,0
2000-10-23,34.234379,34.437500,34.234379,34.406250,26.642063,3800
2000-10-24,34.593750,34.593750,34.406250,34.406250,26.642063,800
2000-10-25,34.203121,34.203121,34.039059,34.039059,26.357729,3200
2000-10-26,33.929691,33.929691,33.687500,33.687500,26.085510,4200
2000-10-27,34.187500,34.359379,34.187500,34.359379,26.605772,7400
2000-10-30,34.546879,34.906250,34.546879,34.906250,27.029236,41000
