Date,Open,High,Low,Close,Adj Close,Volume
2000-07-28,39.109379,39.421879,38.843750,38.843750,34.023396,4000
2000-07-31,38.906250,39.398441,38.906250,39.398441,34.509254,3400
2000-08-01,39.398441,39.398441,39.398441,39.398441,34.509254,0
2000-08-02,40.000000,40.000000,40.000000,40.000000,35.036152,800
2000-08-03,39.125000,39.125000,39.125000,39.125000,34.269745,200
2000-08-04,40.062500,40.062500,40.062500,40.062500,35.090908,800
2000-08-07,40.593750,40.593750,40.593750,40.593750,35.556232,400
2000-08-08,40.703121,40.703121,40.500000,40.593750,35.556232,3200
2000-08-09,40.593750,40.593750,40.593750,40.593750,35.556232,0
2000-08-10,40.562500,40.562500,40.546879,40.546879,35.515179,600
2000-08-11,39.937500,39.937500,39.937500,39.937500,34.981415,1000
2000-08-14,39.937500,39.937500,39.937500,39.937500,34.981415,0
2000-08-15,39.937500,39.937500,39.937500,39.937500,34.981415,0
2000-08-16,41.218750,41.218750,41.125000,41.125000,36.021557,4400
2000-08-17,41.125000,41.125000,41.125000,41.125000,36.021557,0
2000-08-18,42.078121,42.078121,42.078121,42.078121,36.856380,800
2000-08-21,42.125000,42.125000,42.125000,42.125000,36.897465,800
2000-08-22,42.296879,42.296879,42.296879,42.296879,37.048016,600
2000-08-23,42.039059,42.039059,41.898441,41.898441,36.699001,400
2000-08-24,42.093750,42.960941,42.093750,42.945309,37.615959,72600
2000-08-25,43.234379,43.328121,43.234379,43.312500,37.937595,44400
2000-08-28,43.359379,43.617191,43.171879,43.171879,37.814415,10600
2000-08-29,43.546879,43.875000,43.484379,43.875000,38.430286,6200
2000-08-30,43.859379,43.929691,43.859379,43.929691,38.478184,1400
2000-08-31,44.218750,44.781250,44.218750,44.500000,38.977718,4800
2000-09-01,44.875000,44.875000,44.671879,44.812500,39.251450,26400
2000-09-05,45.000000,45.000000,44.187500,44.187500,38.704018,11800
2000-09-06,44.187500,44.187500,44.187500,44.187500,38.704018,0
2000-09-07,44.164059,44.187500,44.031250,44.187500,38.704018,3600
2000-09-08,44.375000,44.375000,43.968750,43.968750,38.512402,600
2000-09-11,43.750000,44.015621,43.546879,43.625000,38.211327,69200
2000-09-12,43.718750,44.093750,43.718750,44.093750,38.621887,4400
2000-09-13,43.296879,43.406250,43.296879,43.406250,38.019722,800
2000-09-14,44.164059,44.468750,44.164059,44.171879,38.690319,6000
2000-09-15,43.812500,43.812500,43.609379,43.609379,38.197628,2400
2000-09-18,43.601559,43.601559,42.312500,42.312500,37.061684,89000
2000-09-19,42.437500,42.437500,42.203121,42.203121,36.965885,2600
2000-09-20,42.148441,42.578121,42.148441,42.578121,37.294350,1600
2000-09-21,42.562500,42.562500,42.210941,42.210941,36.972729,600
2000-09-22,41.156250,41.718750,41.156250,41.718750,36.541607,3800
2000-09-25,43.031250,43.031250,42.945309,42.945309,37.615959,2000
2000-09-26,42.312500,42.343750,41.765621,41.765621,36.582687,5000
2000-09-27,42.156250,42.156250,42.156250,42.156250,36.924847,1400
2000-09-28,41.757809,41.812500,41.757809,41.812500,36.623722,600
2000-09-29,42.546879,42.546879,42.546879,42.546879,37.266975,200
2000-10-02,42.156250,42.156250,41.953121,41.953121,36.746902,12800
2000-10-03,41.835941,41.835941,40.992191,40.992191,35.905205,4800
2000-10-04,40.296879,40.750000,40.296879,40.750000,35.693092,2800
2000-10-05,41.343750,41.343750,41.343750,41.343750,36.213142,8000
2000-10-06,40.312500,40.312500,39.140621,39.140621,34.283440,6800
2000-10-09,38.937500,38.937500,38.937500,38.937500,34.105515,600
2000-10-10,38.937500,38.937500,38.937500,38.937500,34.105515,0
2000-10-11,38.132809,38.390621,38.132809,38.312500,33.558079,1600
2000-10-12,38.250000,38.250000,37.648441,37.703121,33.024311,3600
2000-10-13,37.578121,38.257809,37.578121,38.250000,33.503345,4400
2000-10-16,39.765621,40.156250,39.562500,40.156250,35.173027,3200
2000-10-17,40.132809,40.132809,38.703121,38.796879,33.982338,4200
2000-10-18,37.500000,38.968750,37.500000,38.968750,34.132889,3000
2000-10-19,39.726559,40.000000,39.726559,40.000000,35.036152,600
2000-10-20,41.015621,41.242191,41.015621,41.242191,36.124191,3600
2000-10-23,41.132809,41.460941,41.062500,41.265621,36.144711,9400
2000-10-24,41.125000,41.125000,41.093750,41.093750,35.994190,800
2000-10-25,40.171879,40.546879,39.968750,40.031250,35.063522,18400
2000-10-26,40.015621,40.015621,39.546879,39.562500,34.652931,9800
2000-10-27,40.687500,40.687500,40.390621,40.531250,35.501484,13200
2000-10-30,39.937500,40.343750,39.937500,40.312500,35.309879,52400
2000-10-31,41.312500,42.250000,41.312500,42.250000,37.006939,2000
2000-11-01,42.062500,42.156250,41.875000,41.875000,36.678478,3200
2000-11-02,42.078121,42.648441,42.078121,42.625000,37.335419,4200
2000-11-03,42.609379,42.992191,42.609379,42.843750,37.527000,105000
2000-11-06,43.007809,43.007809,42.390621,42.390621,37.130104,9600
2000-11-07,42.250000,42.250000,42.007809,42.226559,36.986412,26800
2000-11-08,42.453121,42.453121,41.375000,41.375000,36.240536,63000
2000-11-09,40.796879,41.046879,40.312500,40.921879,35.843643,8400
2000-11-10,40.578121,40.578121,39.765621,39.765621,34.830860,6200
2000-11-13,38.875000,39.445309,37.992191,39.429691,34.536625,35800
2000-11-14,39.875000,40.484379,39.875000,40.335941,35.330406,43600
2000-11-15,40.437500,41.468750,40.437500,41.046879,35.953125,1600
2000-11-16,41.046879,41.046879,41.046879,41.046879,35.953125,0
2000-11-17,40.265621,40.757809,40.265621,40.273441,35.275669,3000
2000-11-20,39.773441,39.773441,39.171879,39.281250,34.406605,1600
2000-11-21,39.429691,39.429691,38.773441,38.773441,33.961803,15800
2000-11-22,38.398441,38.437500,37.617191,37.804691,33.113274,12000
2000-11-24,38.453121,38.453121,38.421879,38.421879,33.653873,3200
2000-11-27,39.671879,39.671879,39.500000,39.656250,34.735062,1600
2000-11-28,39.117191,39.117191,37.781250,37.781250,33.092754,4400
2000-11-29,37.679691,37.796879,36.796879,36.796879,32.230530,18800
2000-11-30,36.500000,36.570309,35.781250,36.570309,32.032070,6600
2000-12-01,36.625000,37.906250,36.625000,37.906250,33.202236,9000
2000-12-04,37.562500,37.625000,37.007809,37.054691,32.456379,12400
2000-12-05,37.734379,39.156250,37.734379,39.156250,34.297127,15200
2000-12-06,39.132809,39.484379,38.601559,38.601559,33.811256,24000
2000-12-07,38.250000,38.375000,37.953121,38.343750,33.585449,15400
2000-12-08,39.218750,39.703121,39.218750,39.703121,34.776127,4200
2000-12-11,40.484379,40.875000,40.484379,40.875000,35.802578,9400
2000-12-12,40.968750,41.062500,40.882809,40.882809,35.809425,29200
2000-12-13,40.359379,40.359379,39.531250,39.593750,34.944008,12400
2000-12-14,39.343750,39.343750,38.562500,38.562500,34.033855,47800
2000-12-15,38.125000,38.312500,37.812500,38.312500,33.813210,5600
2000-12-18,38.484379,39.015621,38.406250,38.492191,33.971828,9400
2000-12-19,38.507809,38.984379,37.992191,38.031250,33.565010,70400
2000-12-20,37.046879,37.046879,35.976559,36.250000,31.992947,63800
2000-12-21,36.062500,36.898441,35.968750,36.218750,31.965363,47800
2000-12-22,36.718750,37.984379,36.718750,37.968750,33.509827,35600
2000-12-26,37.937500,38.328121,37.937500,38.328121,33.827000,13600
2000-12-27,37.812500,39.031250,37.812500,39.000000,34.419987,38600
2000-12-28,38.718750,40.156250,38.718750,40.156250,35.440456,15800
2000-12-29,40.281250,40.281250,39.203121,39.203121,34.599262,14800
2001-01-02,37.781250,37.781250,37.000000,37.000000,32.654858,14800
2001-01-03,36.437500,38.546879,36.437500,38.546879,34.020096,16000
2001-01-04,38.750000,38.750000,37.656250,37.765621,33.330574,16000
2001-01-05,37.375000,37.375000,36.484379,36.484379,32.199806,7800
2001-01-08,36.375000,36.429691,36.062500,36.335941,32.068806,16400
2001-01-09,36.671879,36.812500,36.117191,36.328121,32.061890,12000
2001-01-10,36.265621,37.046879,36.265621,37.046879,32.696224,7200
2001-01-11,37.531250,38.203121,37.500000,38.203121,33.716690,18800
2001-01-12,37.906250,38.375000,37.906250,38.312500,33.813210,7800
2001-01-16,38.312500,38.343750,37.718750,38.164059,33.682205,19400
2001-01-17,38.750000,39.000000,38.156250,38.156250,33.675327,12000
2001-01-18,38.281250,38.343750,37.953121,38.343750,33.840805,124400
2001-01-19,38.562500,38.593750,37.820309,37.937500,33.482258,22200
2001-01-22,37.828121,38.000000,37.828121,37.937500,33.482258,10400
2001-01-23,38.000000,38.945309,37.937500,38.945309,34.371704,45200
2001-01-24,39.000000,39.031250,38.781250,38.953121,34.378601,21400
2001-01-25,38.812500,38.937500,38.742191,38.937500,34.364815,9400
2001-01-26,38.468750,38.953121,38.273441,38.898441,34.330341,12000
2001-01-29,38.799999,39.325001,38.799999,39.250000,34.640633,10800
2001-01-30,39.340000,39.355000,39.154999,39.200001,34.596512,12800
2001-01-31,39.520000,39.695000,39.150002,39.150002,34.552380,46600
2001-02-01,38.889999,39.185001,38.889999,39.000000,34.419987,9000
2001-02-02,39.314999,39.314999,38.485001,38.485001,33.965481,8400
2001-02-05,38.369999,38.605000,38.369999,38.544998,34.018417,34000
2001-02-06,38.900002,39.345001,38.900002,39.209999,34.605328,3200
2001-02-07,39.025002,39.549999,38.830002,39.514999,34.874500,20600
2001-02-08,39.419998,39.634998,39.150002,39.200001,34.596512,12600
2001-02-09,38.529999,38.529999,38.389999,38.389999,33.881626,2000
2001-02-12,38.150002,39.205002,38.150002,39.205002,34.600914,21400
2001-02-13,39.250000,39.810001,38.775002,38.775002,34.221436,43800
