Date,Open,High,Low,Close,Adj Close,Volume
2001-10-26,8.320000,8.320000,8.320000,8.320000,5.911151,5000
2001-10-29,8.300000,8.300000,8.300000,8.300000,5.896944,11500
2001-10-30,8.300000,8.300000,8.300000,8.300000,5.896944,0
2001-10-31,8.100000,8.100000,8.100000,8.100000,5.754848,5000
2001-11-01,8.220000,8.220000,8.220000,8.220000,5.840105,10000
2001-11-02,8.280000,8.280000,8.280000,8.280000,5.882733,16500
2001-11-05,8.280000,8.280000,8.280000,8.280000,5.882733,0
2001-11-06,8.520000,8.590000,8.520000,8.590000,6.102981,38000
2001-11-07,8.620000,8.680000,8.620000,8.680000,6.166923,9500
2001-11-08,8.680000,8.680000,8.680000,8.680000,6.166923,16500
2001-11-09,8.680000,8.680000,8.680000,8.680000,6.166923,0
2001-11-12,8.490000,8.490000,8.490000,8.490000,6.031932,19000
2001-11-13,8.680000,8.684000,8.640000,8.640000,6.138503,6500
2001-11-14,8.660000,8.742000,8.660000,8.742000,6.210973,17500
2001-11-15,8.706000,8.728000,8.670000,8.670000,6.159819,8500
2001-11-16,8.660000,8.660000,8.660000,8.660000,6.152714,5000
2001-11-19,8.752000,8.752000,8.752000,8.752000,6.218078,11000
2001-11-20,8.738000,8.738000,8.738000,8.738000,6.208130,500
2001-11-21,8.738000,8.738000,8.738000,8.738000,6.208130,0
2001-11-23,8.738000,8.738000,8.738000,8.738000,6.208130,0
2001-11-26,8.900000,9.034000,8.900000,9.034000,6.418429,4000
2001-11-27,8.980000,9.078000,8.980000,9.064000,6.439744,6000
2001-11-28,9.040000,9.040000,8.930000,8.930000,6.344542,8500
2001-11-29,8.870000,8.870000,8.740000,8.740000,6.209552,4500
2001-11-30,8.756000,8.758000,8.756000,8.758000,6.222341,10500
2001-12-03,8.916000,8.916000,8.916000,8.916000,6.334594,1000
2001-12-04,9.060000,9.060000,9.060000,9.060000,6.436903,500
2001-12-05,9.090000,9.236000,9.090000,9.236000,6.561945,1500
2001-12-06,9.220000,9.220000,9.220000,9.220000,6.550578,4500
2001-12-07,9.220000,9.220000,9.220000,9.220000,6.550578,0
2001-12-10,9.360000,9.396000,9.360000,9.396000,6.675624,3500
2001-12-11,9.560000,9.560000,9.560000,9.560000,6.792140,4500
2001-12-12,9.356000,9.356000,9.356000,9.356000,6.647204,500
2001-12-13,9.202000,9.202000,9.202000,9.202000,6.537790,1000
2001-12-14,9.202000,9.202000,9.202000,9.202000,6.537790,0
2001-12-17,9.202000,9.202000,9.202000,9.202000,6.537790,0
2001-12-18,9.202000,9.202000,9.202000,9.202000,6.537790,0
2001-12-19,9.428000,9.440000,9.426000,9.430000,6.699779,8500
2001-12-20,9.430000,9.430000,9.430000,9.430000,6.699779,0
2001-12-21,9.476000,9.476000,9.476000,9.476000,6.732462,10000
2001-12-24,9.460000,9.460000,9.460000,9.460000,6.721094,5000
2001-12-26,9.474000,9.474000,9.474000,9.474000,6.731040,500
2001-12-27,9.526000,9.526000,9.526000,9.526000,6.767985,2500
2001-12-28,9.668000,9.668000,9.668000,9.668000,6.868871,500
2001-12-31,9.538000,9.538000,9.538000,9.538000,6.776510,5500
2002-01-02,9.650000,9.650000,9.650000,9.650000,6.856082,1500
2002-01-03,9.858000,9.906000,9.858000,9.906000,7.037965,9000
2002-01-04,9.930000,9.940000,9.906000,9.908000,7.039383,8000
2002-01-07,9.886000,9.886000,9.828000,9.828000,6.982549,2500
2002-01-08,9.846000,9.846000,9.800000,9.800000,6.962655,2000
2002-01-09,9.800000,9.800000,9.800000,9.800000,6.962655,0
2002-01-10,9.580000,9.580000,9.476000,9.476000,6.732462,2000
2002-01-11,9.446000,9.446000,9.446000,9.446000,6.711147,12500
2002-01-14,9.446000,9.446000,9.446000,9.446000,6.711147,0
2002-01-15,9.446000,9.446000,9.446000,9.446000,6.711147,0
2002-01-16,9.420000,9.420000,9.380000,9.380000,6.664254,1000
2002-01-17,9.534000,9.558000,9.534000,9.558000,6.790719,6000
2002-01-18,9.556000,9.556000,9.556000,9.556000,6.789300,2500
2002-01-22,9.520000,9.520000,9.520000,9.520000,6.763722,500
2002-01-23,9.446000,9.676000,9.446000,9.676000,6.874554,8500
2002-01-24,9.800000,9.800000,9.716000,9.716000,6.902976,3000
2002-01-25,9.614000,9.676000,9.614000,9.676000,6.874554,3000
2002-01-28,9.680000,9.680000,9.680000,9.680000,6.877398,3500
2002-01-29,9.680000,9.680000,9.680000,9.680000,6.877398,0
2002-01-30,9.446000,9.458000,9.390000,9.458000,6.719672,19500
2002-01-31,9.566000,9.660000,9.566000,9.660000,6.863187,3000
2002-02-01,9.676000,9.748000,9.676000,9.748000,6.925710,10500
2002-02-04,9.748000,9.748000,9.748000,9.748000,6.925710,0
2002-02-05,9.550000,9.550000,9.528000,9.528000,6.769404,6500
2002-02-06,9.530000,9.530000,9.530000,9.530000,6.770826,500
2002-02-07,9.530000,9.530000,9.530000,9.530000,6.770826,0
2002-02-08,9.432000,9.466000,9.368000,9.368000,6.655729,1500
2002-02-11,9.368000,9.368000,9.368000,9.368000,6.655729,0
2002-02-12,9.368000,9.368000,9.368000,9.368000,6.655729,0
2002-02-13,9.536000,9.544000,9.536000,9.544000,6.780775,4000
2002-02-14,9.600000,9.626000,9.600000,9.626000,6.839031,4500
2002-02-15,9.650000,9.660000,9.650000,9.660000,6.863187,2000
2002-02-19,9.596000,9.618000,9.596000,9.618000,6.833348,19500
2002-02-20,9.540000,9.540000,9.496000,9.540000,6.777931,284000
2002-02-21,9.476000,9.476000,9.476000,9.476000,6.732462,500
2002-02-22,9.542000,9.578000,9.520000,9.558000,6.790719,22500
2002-02-25,9.558000,9.558000,9.558000,9.558000,6.790719,0
2002-02-26,9.808000,9.838000,9.712000,9.838000,6.989654,111500
2002-02-27,9.930000,10.048000,9.922000,9.990000,7.097646,186500
2002-02-28,10.128000,10.130000,10.010000,10.010000,7.111854,7500
2002-03-01,10.016000,10.200000,10.016000,10.200000,7.246844,7500
2002-03-04,10.242000,10.388000,10.242000,10.360000,7.360519,23000
2002-03-05,10.370000,10.428000,10.370000,10.418000,7.401728,12000
2002-03-06,10.202000,10.308000,10.202000,10.302000,7.319311,13000
2002-03-07,10.366000,10.368000,10.238000,10.238000,7.273842,4500
2002-03-08,10.378000,10.378000,10.328000,10.330000,7.339206,7500
2002-03-11,10.400000,10.400000,10.368000,10.398000,7.387520,29000
2002-03-12,10.278000,10.366000,10.278000,10.366000,7.364784,5000
2002-03-13,10.458000,10.458000,10.458000,10.458000,7.430147,1000
2002-03-14,10.458000,10.458000,10.396000,10.396000,7.386097,16500
2002-03-15,10.388000,10.388000,10.388000,10.388000,7.380414,500
2002-03-18,10.668000,10.668000,10.590000,10.638000,7.558032,9000
2002-03-19,10.698000,10.788000,10.698000,10.770000,7.651817,47500
2002-03-20,10.706000,10.718000,10.680000,10.680000,7.587872,2000
2002-03-21,10.668000,10.668000,10.658000,10.668000,7.579345,11000
2002-03-22,10.626000,10.626000,10.520000,10.570000,7.509720,17500
2002-03-25,10.536000,10.536000,10.460000,10.460000,7.431568,41500
2002-03-26,10.490000,10.606000,10.440000,10.458000,7.430147,184000
2002-03-27,10.478000,10.538000,10.444000,10.538000,7.486985,5000
2002-03-28,10.560000,10.598000,10.512000,10.542000,7.489827,20500
2002-04-01,10.546000,10.686000,10.546000,10.686000,7.592137,6500
2002-04-02,10.688000,10.728000,10.580000,10.580000,7.516826,242500
2002-04-03,10.514000,10.534000,10.388000,10.388000,7.380414,3500
2002-04-04,10.372000,10.372000,10.340000,10.350000,7.353416,15500
2002-04-05,10.540000,10.560000,10.528000,10.560000,7.502616,15000
2002-04-08,10.556000,10.556000,10.538000,10.538000,7.486985,2500
2002-04-09,10.514000,10.514000,10.452000,10.452000,7.425882,14500
2002-04-10,10.538000,10.762000,10.538000,10.762000,7.646132,1500
2002-04-11,10.908000,10.948000,10.750000,10.750000,7.637607,20500
2002-04-12,10.798000,10.798000,10.728000,10.728000,7.621974,4000
2002-04-15,10.628000,10.628000,10.628000,10.628000,7.550928,500
2002-04-16,10.750000,10.750000,10.730000,10.750000,7.637607,36000
2002-04-17,10.848000,10.848000,10.800000,10.808000,7.678813,6000
2002-04-18,10.700000,10.706000,10.612000,10.688000,7.593557,95500
2002-04-19,10.640000,10.640000,10.630000,10.630000,7.552349,2000
2002-04-22,10.552000,10.552000,10.462000,10.500000,7.459988,8000
2002-04-23,10.478000,10.498000,10.390000,10.390000,7.381835,168000
2002-04-24,10.468000,10.520000,10.468000,10.506000,7.464249,18000
2002-04-25,10.384000,10.458000,10.378000,10.378000,7.373310,25500
2002-04-26,10.378000,10.378000,10.378000,10.378000,7.373310,0
2002-04-29,10.304000,10.322000,10.270000,10.270000,7.296578,22500
2002-04-30,10.338000,10.338000,10.338000,10.338000,7.344890,500
2002-05-01,10.338000,10.338000,10.292000,10.292000,7.312207,30000
2002-05-02,10.260000,10.260000,10.186000,10.218000,7.259634,14000
2002-05-03,10.204000,10.204000,10.058000,10.070000,7.154482,62500
2002-05-06,10.088000,10.108000,10.052000,10.052000,7.141695,2000
2002-05-07,10.084000,10.084000,10.058000,10.072000,7.155902,34000
2002-05-08,10.096000,10.148000,10.060000,10.148000,7.209898,26000
2002-05-09,10.000000,10.000000,9.942000,9.942000,7.063542,3500
2002-05-10,9.834000,9.834000,9.772000,9.788000,6.954128,7500
2002-05-13,9.794000,9.898000,9.780000,9.780000,6.948445,7000
2002-05-14,9.808000,9.858000,9.780000,9.858000,7.003860,7500
2002-05-15,9.784000,9.928000,9.784000,9.890000,7.026597,9000
