Date,Open,High,Low,Close,Adj Close,Volume
2000-05-19,75.406250,75.406250,74.312500,74.312500,52.988037,8100
2000-05-22,74.609383,74.609383,72.078117,74.093750,52.832047,751300
2000-05-23,74.125000,74.125000,72.843750,72.843750,51.940720,271200
2000-05-24,72.890617,73.468750,72.000000,73.468750,52.386391,17900
2000-05-25,74.265617,74.359383,72.921883,72.921883,51.996445,2100
2000-05-26,73.125000,73.125000,72.484383,72.484383,51.684483,1800
2000-05-30,73.578117,73.953117,73.578117,73.953117,52.731766,600
2000-05-31,73.953117,73.953117,73.953117,73.953117,52.731766,0
2000-06-01,75.656250,76.687500,75.656250,76.265617,54.380665,400
2000-06-02,78.593750,78.703117,78.375000,78.375000,55.884724,5700
2000-06-05,78.078117,78.343750,78.000000,78.000000,55.617390,21000
2000-06-06,77.953117,78.046883,77.531250,77.531250,55.283123,3200
2000-06-07,77.500000,78.281250,77.500000,78.093750,55.684223,2700
2000-06-08,78.031250,78.031250,77.500000,77.500000,55.260834,600
2000-06-09,78.078117,78.078117,77.750000,77.765617,55.450226,1300
2000-06-12,77.828117,77.843750,77.453117,77.453117,55.227406,1100
2000-06-13,76.578117,77.906250,76.578117,77.906250,55.550495,1100
2000-06-14,78.703117,78.703117,78.015617,78.015617,55.628506,1000
2000-06-15,78.015617,78.015617,78.015617,78.015617,55.628506,0
2000-06-16,78.312500,78.312500,78.156250,78.156250,55.728775,20200
2000-06-19,78.718750,78.718750,77.921883,77.921883,55.561653,500
2000-06-20,78.609383,78.890617,78.437500,78.437500,55.929325,500
2000-06-21,78.343750,78.593750,78.312500,78.593750,56.085068,1900
2000-06-22,78.328117,78.328117,77.000000,77.000000,54.947762,13600
2000-06-23,77.250000,77.250000,76.468750,76.468750,54.568649,13500
2000-06-26,77.109383,77.109383,76.937500,76.937500,54.903137,12400
2000-06-27,77.296883,77.375000,77.265617,77.265617,55.137287,300
2000-06-28,77.093750,77.750000,77.093750,77.468750,55.282284,18000
2000-06-29,76.390617,76.390617,76.390617,76.390617,54.512897,5000
2000-06-30,76.687500,76.687500,76.687500,76.687500,54.724747,100
2000-07-03,77.062500,77.531250,77.062500,77.531250,55.326851,1500
2000-07-05,77.468750,77.468750,76.531250,76.531250,54.613239,6200
2000-07-06,76.500000,77.171883,76.218750,77.171883,55.070370,2100
2000-07-07,77.781250,78.500000,77.781250,78.406250,55.951286,1200
2000-07-10,78.453117,78.531250,78.234383,78.421883,55.962425,2100
2000-07-11,78.828117,78.859383,78.828117,78.859383,56.274616,1400
2000-07-12,79.062500,79.281250,79.062500,79.281250,56.575653,700
2000-07-13,79.562500,79.687500,79.562500,79.671883,56.854439,29700
2000-07-14,79.921883,80.109383,79.546883,80.109383,57.166660,3000
2000-07-17,80.218750,80.562500,80.218750,80.562500,57.489994,1200
2000-07-18,79.937500,79.937500,79.406250,79.546883,56.765236,12100
2000-07-19,79.187500,79.343750,78.593750,78.750000,56.196552,2700
2000-07-20,78.968750,78.968750,78.968750,78.968750,56.352657,100
2000-07-21,78.984383,78.984383,78.937500,78.968750,56.352657,900
2000-07-24,78.734383,78.734383,77.921883,77.921883,55.605598,400
2000-07-25,78.500000,78.500000,77.953117,78.140617,55.761719,1200
