Date,Open,High,Low,Close,Adj Close,Volume
2000-07-28,77.734383,77.734383,75.000000,75.531250,66.810883,4300
2000-07-31,75.125000,76.312500,75.125000,76.312500,67.501984,51100
2000-08-01,76.375000,76.750000,75.562500,75.562500,66.838562,47600
2000-08-02,76.000000,77.093750,75.921883,75.921883,67.156456,1000
2000-08-03,74.250000,75.375000,73.906250,75.031250,66.368645,16000
2000-08-04,76.375000,76.937500,76.343750,76.718750,67.861305,145700
2000-08-07,77.687500,78.437500,77.265617,78.203117,69.174339,168200
2000-08-08,77.953117,78.609383,77.453117,77.453117,68.510910,7800
2000-08-09,78.390617,78.500000,77.250000,77.265617,68.345055,47600
2000-08-10,76.312500,76.718750,75.968750,75.968750,67.197906,1600
2000-08-11,76.125000,76.531250,75.281250,76.531250,67.695473,1500
2000-08-14,77.875000,78.187500,77.500000,78.000000,68.994652,20600
2000-08-15,78.484383,78.484383,77.375000,77.375000,68.441795,4100
2000-08-16,78.125000,78.328117,77.812500,78.250000,69.215790,60100
2000-08-17,77.875000,79.156250,77.875000,78.937500,69.823944,21400
2000-08-18,79.312500,79.609383,78.968750,78.968750,69.851563,14300
2000-08-21,79.968750,79.968750,79.343750,79.343750,70.183266,2200
2000-08-22,80.000000,80.187500,79.562500,79.562500,70.376770,2300
2000-08-23,79.546883,79.875000,79.546883,79.875000,70.653130,12900
2000-08-24,80.812500,81.500000,80.812500,81.218750,71.841782,13000
2000-08-25,81.625000,81.875000,81.437500,81.750000,72.311714,63000
2000-08-28,82.281250,82.875000,81.937500,82.437500,72.919823,57700
2000-08-29,82.968750,83.250000,82.250000,83.015617,73.431198,34000
2000-08-30,83.000000,83.875000,83.000000,83.500000,73.859657,84300
2000-08-31,84.000000,85.125000,84.000000,84.812500,75.020607,45000
2000-09-01,86.500000,86.500000,84.750000,85.515617,75.642609,132100
2000-09-05,85.500000,85.921883,84.875000,84.875000,75.075905,154400
2000-09-06,84.843750,84.937500,83.671883,83.703117,74.039330,62300
2000-09-07,84.359383,85.250000,84.359383,85.078117,75.255585,14800
2000-09-08,84.562500,84.687500,83.312500,83.312500,73.693810,64800
2000-09-11,82.750000,84.250000,82.531250,82.531250,73.002747,25900
2000-09-12,83.281250,83.359383,82.421883,82.421883,72.906052,2000
2000-09-13,81.640617,82.812500,81.640617,82.812500,73.251526,2400
2000-09-14,83.843750,84.500000,83.703117,83.875000,74.191353,4700
2000-09-15,83.312500,83.312500,82.218750,82.218750,72.726357,4600
2000-09-18,82.000000,82.000000,79.531250,79.578117,70.390594,6700
2000-09-19,80.031250,80.843750,79.640617,80.843750,71.510078,1700
2000-09-20,81.093750,81.125000,80.625000,80.765617,71.449806,1400
2000-09-21,80.968750,80.968750,79.750000,80.062500,70.827766,39100
2000-09-22,77.500000,80.062500,77.500000,80.062500,70.827766,22400
2000-09-25,81.156250,81.609383,80.062500,80.062500,70.827766,11500
2000-09-26,79.625000,79.625000,78.875000,78.875000,69.777252,19200
2000-09-27,79.812500,79.875000,78.265617,78.265617,69.238121,150900
2000-09-28,79.187500,81.375000,79.187500,81.375000,71.988892,29500
2000-09-29,80.750000,81.000000,80.500000,80.906250,71.574211,152900
2000-10-02,80.812500,80.812500,78.375000,78.625000,69.556053,121000
2000-10-03,78.000000,78.687500,78.000000,78.375000,69.334930,17700
2000-10-04,75.750000,77.625000,75.750000,77.625000,68.671440,1900
2000-10-05,77.812500,77.812500,77.140617,77.140617,68.242935,800
2000-10-06,74.984383,74.984383,73.625000,73.843750,65.326332,41200
2000-10-09,72.750000,73.250000,71.968750,72.968750,64.552254,167300
2000-10-10,73.359383,73.671883,71.500000,71.500000,63.252934,28500
2000-10-11,70.593750,71.296883,69.937500,70.609383,62.465023,4100
2000-10-12,71.000000,71.093750,68.062500,68.343750,60.460712,4200
2000-10-13,68.031250,72.000000,67.656250,71.687500,63.418785,23500
2000-10-16,72.156250,73.437500,71.984383,73.000000,64.579887,5500
2000-10-17,72.968750,72.968750,70.000000,70.328117,62.216202,10300
2000-10-18,67.000000,69.781250,67.000000,69.562500,61.538872,3700
2000-10-19,71.187500,72.437500,71.000000,72.437500,64.082291,12400
2000-10-20,72.875000,74.375000,72.875000,74.062500,65.519852,11400
2000-10-23,74.500000,74.562500,74.375000,74.562500,65.962181,2900
2000-10-24,74.875000,75.593750,74.250000,74.250000,65.685745,17500
2000-10-25,72.000000,73.187500,70.593750,71.000000,62.810600,9500
2000-10-26,71.187500,71.593750,69.343750,71.593750,63.335850,35500
2000-10-27,73.109383,73.109383,71.218750,71.218750,63.004089,41600
2000-10-30,71.250000,71.375000,70.406250,70.812500,62.644707,26800
2000-10-31,71.781250,74.187500,71.750000,74.093750,65.547485,65500
2000-11-01,73.531250,74.250000,73.000000,73.562500,65.077515,9600
2000-11-02,74.625000,76.125000,74.625000,75.937500,67.178566,63100
2000-11-03,76.250000,76.687500,76.000000,76.312500,67.510307,103100
2000-11-06,76.906250,76.937500,75.468750,75.468750,66.763901,68800
2000-11-07,75.500000,76.125000,74.937500,75.828117,67.081818,43100
2000-11-08,76.312500,76.312500,74.000000,74.000000,65.464554,43000
