Date,Open,High,Low,Close,Adj Close,Volume
2005-11-15,17.733334,17.733334,17.690001,17.690001,14.090380,162000
2005-11-16,17.556667,17.556667,17.503334,17.503334,13.941693,98100
2005-11-17,17.616667,17.656666,17.583334,17.653334,14.061172,14100
2005-11-18,17.719999,17.719999,17.719999,17.719999,14.114276,300
2005-11-21,17.780001,17.780001,17.780001,17.780001,14.162063,1500
2005-11-22,17.760000,17.760000,17.760000,17.760000,14.146131,30600
2005-11-23,17.923334,18.043333,17.923334,18.010000,14.345260,451500
2005-11-25,17.943333,17.943333,17.893333,17.900000,14.257649,60300
2005-11-28,17.893333,17.893333,17.886667,17.886667,14.247025,3000
2005-11-29,17.973333,18.063334,17.973333,18.046667,14.374466,23100
2005-11-30,18.046667,18.046667,17.833334,17.833334,14.204544,125700
2005-12-01,17.910000,17.910000,17.886667,17.893333,14.252330,9600
2005-12-02,17.893333,17.893333,17.893333,17.893333,14.252330,0
2005-12-05,17.833334,17.833334,17.763334,17.770000,14.154093,228300
2005-12-06,17.726667,17.726667,17.676666,17.676666,14.079756,834000
2005-12-07,17.666666,17.666666,17.576666,17.576666,14.000104,300300
2005-12-08,17.583334,17.583334,17.556667,17.556667,13.984171,4500
2005-12-09,17.650000,17.650000,17.586666,17.586666,14.008066,159000
2005-12-12,17.706667,17.706667,17.540001,17.606667,14.023995,150600
2005-12-13,17.606667,17.606667,17.606667,17.606667,14.023995,0
2005-12-14,17.780001,17.780001,17.780001,17.780001,14.162063,3900
2005-12-15,17.723333,17.723333,17.633333,17.633333,14.045243,123300
2005-12-16,17.646667,17.646667,17.546667,17.546667,14.006121,142500
2005-12-19,17.533333,17.559999,17.406666,17.423334,13.907682,190800
2005-12-20,17.459999,17.506666,17.446667,17.476667,13.950255,75000
2005-12-21,17.556667,17.556667,17.516666,17.516666,13.982185,45300
2005-12-22,17.516666,17.516666,17.516666,17.516666,13.982185,0
2005-12-23,17.643333,17.643333,17.626667,17.633333,14.075309,318300
2005-12-27,17.790001,17.790001,17.680000,17.680000,14.112559,62400
2005-12-28,17.680000,17.680000,17.680000,17.680000,14.112559,0
2005-12-29,17.656666,17.686666,17.656666,17.686666,14.117885,120000
2005-12-30,17.686666,17.686666,17.686666,17.686666,14.117885,0
2006-01-03,17.500000,17.503334,17.500000,17.503334,13.971540,32100
2006-01-04,17.883333,17.883333,17.866667,17.866667,14.261561,90000
2006-01-05,17.816668,17.863333,17.816668,17.863333,14.258903,365700
2006-01-06,17.910000,17.923334,17.910000,17.923334,14.306790,1800
2006-01-09,17.953333,17.953333,17.953333,17.953333,14.330744,900
2006-01-10,17.983334,18.020000,17.983334,18.020000,14.383954,45000
2006-01-11,18.049999,18.059999,18.046667,18.053333,14.410558,636000
2006-01-12,18.063334,18.063334,17.990000,17.990000,14.360006,900
2006-01-13,17.973333,17.973333,17.973333,17.973333,14.346706,300
2006-01-17,17.896667,17.896667,17.706667,17.773333,14.187059,65100
2006-01-18,17.676666,17.676666,17.559999,17.593334,14.043381,37200
2006-01-19,17.596666,17.596666,17.596666,17.596666,14.046044,300
2006-01-20,17.370001,17.396667,17.370001,17.373333,13.867773,156000
2006-01-23,17.293333,17.293333,17.253334,17.253334,13.771981,600
2006-01-24,17.296667,17.296667,17.246666,17.246666,13.766660,600
2006-01-25,17.226667,17.280001,17.106667,17.143333,13.684181,489600
2006-01-26,17.216667,17.536667,17.216667,17.443333,13.923645,194400
2006-01-27,17.536667,17.536667,17.536667,17.536667,13.998145,600
2006-01-30,17.410000,17.469999,17.410000,17.469999,13.944928,155100
2006-01-31,17.400000,17.400000,17.173334,17.173334,13.708130,353400
2006-02-01,17.263334,17.309999,17.219999,17.230000,13.753356,112500
2006-02-02,17.260000,17.260000,17.129999,17.129999,13.673533,273300
2006-02-03,16.980000,16.980000,16.980000,16.980000,13.553800,300
2006-02-06,17.026667,17.026667,17.026667,17.026667,13.591052,600
2006-02-07,17.040001,17.040001,16.993334,16.993334,13.564448,3300
2006-02-08,17.070000,17.106667,17.070000,17.106667,13.654907,3600
2006-02-09,17.096666,17.096666,17.053333,17.066668,13.622985,74100
2006-02-10,17.066668,17.066668,17.066668,17.066668,13.622985,0
2006-02-13,17.136667,17.139999,17.126667,17.126667,13.670875,589500
2006-02-14,17.163334,17.389999,17.163334,17.389999,13.881072,15600
2006-02-15,17.346666,17.383333,17.323334,17.383333,13.875758,655500
2006-02-16,17.336666,17.379999,17.336666,17.379999,13.873092,150000
