Date,Open,High,Low,Close,Adj Close,Volume
2007-09-05,41.299999,41.299999,41.150002,41.200001,34.275852,6500
2007-09-06,41.349998,41.700001,41.189999,41.450001,34.483841,96400
2007-09-07,41.080002,41.330002,40.580002,40.799999,33.943077,220300
2007-09-10,40.549999,40.950001,40.189999,40.849998,33.984673,72100
2007-09-11,41.189999,41.549999,41.189999,41.450001,34.483841,88100
2007-09-12,41.500000,41.900002,41.500000,41.799999,34.775021,129100
2007-09-13,41.939999,42.209999,41.740002,41.900002,34.858208,179200
2007-09-14,41.740002,42.049999,41.740002,41.799999,34.775021,94400
2007-09-17,41.980000,42.099998,41.680000,41.770000,34.750061,69000
2007-09-18,42.029999,42.860001,41.790001,42.680000,35.507126,132800
2007-09-19,43.389999,43.799999,43.189999,43.380001,36.089481,172700
2007-09-20,43.599998,43.889999,43.419998,43.549999,36.230904,156200
2007-09-21,44.180000,44.599998,43.980000,44.549999,37.062843,281900
2007-09-24,44.689999,44.799999,44.340000,44.560001,37.071163,170300
2007-09-25,44.139999,44.650002,44.070000,44.450001,36.979645,97700
2007-09-26,44.799999,46.799999,44.799999,45.150002,37.562008,303700
2007-09-27,45.500000,45.700001,45.380001,45.700001,38.019577,225400
2007-09-28,45.990002,52.000000,45.910000,46.000000,38.269154,862200
2007-10-01,46.299999,46.849998,46.299999,46.700001,38.851517,478200
2007-10-02,46.840000,46.840000,45.700001,45.919998,38.202599,470300
2007-10-03,45.889999,45.900002,44.400002,44.560001,37.071163,260800
2007-10-04,44.900002,45.049999,44.160000,45.000000,37.437218,219000
2007-10-05,46.099998,46.150002,45.549999,45.849998,38.144356,263200
2007-10-08,45.840000,46.000000,45.310001,45.779999,38.086128,292200
2007-10-09,45.980000,47.000000,45.900002,47.000000,39.101093,312400
2007-10-10,47.599998,47.639999,46.700001,47.439999,39.467140,422500
2007-10-11,48.049999,48.709999,46.959999,47.599998,39.600254,497600
2007-10-12,47.889999,48.450001,47.799999,48.349998,40.224209,504400
2007-10-15,49.349998,49.849998,48.250000,48.799999,40.598576,602500
2007-10-16,48.490002,48.490002,47.009998,47.900002,39.849834,317500
2007-10-17,48.590000,48.599998,46.950001,47.820000,39.783283,219400
2007-10-18,48.099998,48.680000,47.970001,48.540001,40.382275,317900
2007-10-19,48.689999,48.700001,47.000000,47.450001,39.475464,337800
2007-10-22,47.200001,47.200001,45.520000,46.669998,38.826550,451600
2007-10-23,47.799999,47.950001,46.980000,47.950001,39.891434,333700
2007-10-24,47.900002,47.900002,46.630001,47.700001,39.683449,278700
2007-10-25,48.200001,48.500000,47.360001,48.450001,40.307407,241800
2007-10-26,49.549999,49.990002,49.279999,49.700001,41.347324,304300
2007-10-29,50.790001,50.950001,46.500000,50.700001,42.179260,331500
2007-10-30,51.340000,51.340000,50.200001,50.349998,41.888084,278000
2007-10-31,50.349998,51.299999,50.330002,51.299999,42.678421,224000
2007-11-01,50.799999,50.900002,49.500000,49.570000,41.239174,250000
2007-11-02,50.299999,50.349998,48.570000,50.200001,41.763294,206200
2007-11-05,49.840000,49.840000,49.000000,49.599998,41.264133,178500
2007-11-06,50.400002,51.799999,49.930000,51.500000,42.844814,444300
2007-11-07,51.500000,51.590000,50.330002,50.740002,42.212540,30000
2007-11-08,52.000000,52.000000,49.599998,51.299999,42.678421,412800
2007-11-09,51.990002,51.990002,50.389999,50.389999,41.921364,345200
2007-11-12,50.380001,50.380001,46.040001,46.450001,38.643532,572400
2007-11-13,46.099998,48.750000,46.099998,48.540001,40.382275,273600
2007-11-14,49.270000,49.849998,48.750000,48.799999,40.598576,195500
2007-11-15,49.080002,49.200001,46.700001,47.000000,39.101093,170600
2007-11-16,46.900002,48.049999,46.750000,47.950001,39.891434,97200
2007-11-19,48.070000,48.070000,45.470001,45.700001,38.019577,228400
2007-11-20,45.380001,47.369999,45.090000,46.750000,38.893108,316300
2007-11-21,46.750000,46.750000,45.250000,46.040001,38.302429,146400
2007-11-23,45.980000,47.209999,45.980000,46.540001,38.718395,87400
2007-11-26,46.980000,47.500000,46.000000,46.220001,38.452187,196300
2007-11-27,46.130001,47.310001,46.130001,47.299999,39.350674,107700
2007-11-28,47.299999,49.299999,47.299999,49.250000,40.972954,268200
2007-11-29,49.000000,49.599998,48.660000,49.299999,41.014545,184900
2007-11-30,49.799999,50.700001,49.500000,50.320000,41.863121,125500
2007-12-03,50.650002,51.590000,50.099998,51.080002,42.495399,212100
2007-12-04,51.209999,51.450001,50.570000,51.259998,42.645145,174400
2007-12-05,52.799999,52.799999,51.750000,52.430000,43.618515,194900
2007-12-06,52.689999,53.349998,52.599998,53.349998,44.383900,469200
2007-12-07,54.950001,54.950001,53.150002,53.560001,44.558609,281800
2007-12-10,54.840000,54.840000,53.450001,54.349998,45.215836,310400
2007-12-11,54.490002,54.700001,52.000000,52.400002,43.593559,418700
2007-12-12,53.250000,54.299999,52.240002,53.000000,44.092720,245300
2007-12-13,53.750000,53.750000,52.119999,53.250000,44.300701,124200
2007-12-14,53.259998,53.259998,52.150002,52.389999,43.585239,145700
2007-12-17,52.389999,53.959999,51.189999,51.500000,42.844814,342600
2007-12-18,51.869999,52.389999,50.009998,51.250000,42.636833,260900
2007-12-19,51.700001,51.900002,51.000000,51.700001,43.011204,207200
2007-12-20,52.349998,54.000000,52.049999,53.980000,44.908024,512900
2007-12-21,55.200001,55.980000,54.000000,55.549999,46.214169,705600
2007-12-24,57.070000,58.439999,55.900002,57.150002,47.545265,415100
2007-12-26,58.340000,58.340000,56.590000,57.200001,47.586861,304400
2007-12-27,58.549999,58.549999,56.700001,57.349998,47.711647,605700
2007-12-28,57.230000,58.389999,57.099998,57.400002,47.753246,227800
2007-12-31,56.770000,58.400002,56.770000,57.450001,47.794849,329500
2008-01-02,57.740002,57.750000,56.470001,57.000000,47.420471,876900
2008-01-03,57.580002,59.099998,57.500000,58.400002,48.585182,1226500
2008-01-04,58.849998,58.849998,57.099998,57.599998,47.919636,2158000
2008-01-07,58.790001,58.790001,56.480000,57.500000,47.836441,1200700
2008-01-08,58.790001,58.790001,55.799999,56.250000,46.796516,1109000
2008-01-09,56.549999,57.380001,54.580002,57.150002,47.545265,1428700
2008-01-10,57.139999,57.439999,55.480000,57.040001,47.453754,1011700
2008-01-11,57.430000,57.750000,56.450001,57.189999,47.578541,2351500
2008-01-14,58.290001,59.490002,57.660000,59.439999,49.450401,1997600
2008-01-15,58.980000,59.099998,56.650002,57.599998,47.919636,1718800
2008-01-16,56.520000,56.709999,51.770000,54.060001,44.974575,2531600
2008-01-17,52.439999,52.930000,48.619999,50.150002,41.721695,2778800
2008-01-18,50.230000,51.250000,48.810001,50.020000,41.613544,1615800
2008-01-22,45.000000,50.650002,41.660000,49.450001,41.139339,1543400
2008-01-23,47.610001,49.590000,45.500000,48.849998,40.640171,1628800
2008-01-24,50.980000,51.900002,50.500000,51.549999,42.886414,1296000
2008-01-25,52.990002,53.900002,51.099998,52.799999,43.926327,1297100
2008-01-28,51.310001,53.040001,50.740002,52.450001,43.635155,787100
2008-01-29,53.549999,53.889999,52.700001,53.340000,44.375584,923800
2008-01-30,53.630001,54.330002,51.700001,52.099998,43.343971,1055700
2008-01-31,51.740002,53.599998,50.880001,52.840000,43.959614,1075600
2008-02-01,53.439999,54.770000,53.439999,54.400002,45.257439,1194500
2008-02-04,55.130001,55.130001,54.000000,54.349998,45.215836,619800
2008-02-05,53.000000,54.349998,52.279999,52.380001,43.576923,694100
2008-02-06,52.520000,53.459999,51.830002,52.000000,43.260780,716600
2008-02-07,51.820000,52.220001,50.110001,51.520000,42.861458,731900
2008-02-08,51.720001,52.400002,51.349998,52.150002,43.385574,494300
2008-02-11,52.150002,53.490002,52.000000,53.180000,44.242474,765700
2008-02-12,54.610001,55.750000,54.090000,54.400002,45.257439,967300
2008-02-13,55.740002,55.740002,53.950001,54.830002,45.615166,1017100
2008-02-14,55.689999,56.000000,55.000000,55.200001,45.922985,658700
2008-02-15,56.020000,56.020000,54.279999,55.049999,45.798191,564100
2008-02-19,56.139999,57.619999,56.049999,57.000000,47.420471,1144600
2008-02-20,56.490002,58.000000,56.259998,57.799999,48.086025,978100
2008-02-21,58.439999,58.500000,57.110001,57.259998,47.636776,865000
2008-02-22,57.529999,57.599998,56.209999,57.599998,47.919636,801800
2008-02-25,58.270000,59.650002,57.340000,59.400002,49.417122,1393600
2008-02-26,59.369999,59.900002,58.669998,59.000000,49.084351,1354600
2008-02-27,57.759998,59.360001,57.610001,58.099998,48.335609,1194800
2008-02-28,58.380001,58.849998,57.709999,58.320000,48.518631,850900
2008-02-29,57.910000,58.389999,56.330002,56.900002,47.337276,1405500
2008-03-03,56.500000,57.689999,56.150002,57.349998,47.711647,970400
2008-03-04,57.430000,57.549999,55.500000,56.650002,47.129295,922200
2008-03-05,57.029999,57.849998,56.000000,57.590000,47.911316,746500
2008-03-06,57.790001,58.400002,56.950001,56.950001,47.378883,1379800
2008-03-07,56.869999,56.869999,54.090000,55.040001,45.789875,1503500
2008-03-10,54.939999,54.939999,51.700001,51.830002,43.119362,1758500
2008-03-11,52.820000,55.000000,52.820000,54.950001,45.715000,1666000
2008-03-12,54.669998,56.000000,54.389999,55.099998,45.839790,835900
2008-03-13,54.000000,56.099998,53.500000,55.849998,46.463749,693800
2008-03-14,56.660000,56.700001,54.119999,55.279999,45.989540,731200
2008-03-17,53.009998,54.450001,52.560001,53.720001,44.691715,1089800
2008-03-18,54.950001,55.200001,53.480000,55.189999,45.914661,487900
2008-03-19,55.150002,55.480000,51.700001,51.810001,43.102715,1729300
2008-03-20,50.660000,51.770000,49.500000,51.230000,42.620190,2613000
2008-03-24,51.540001,53.750000,51.540001,53.500000,44.508690,1353300
2008-03-25,55.000000,55.250000,54.029999,54.549999,45.382221,792200
2008-03-26,55.500000,55.500000,54.090000,54.299999,45.174240,442200
2008-03-27,54.240002,55.500000,53.750000,55.500000,46.172565,955700
2008-03-28,55.500000,55.549999,54.000000,54.240002,45.124329,416800
2008-03-31,53.590000,55.070000,52.980000,53.610001,44.600204,987200
2008-04-01,53.619999,54.709999,52.599998,54.590000,45.415504,1114900
2008-04-02,54.500000,54.500000,52.770000,54.000000,44.924660,998800
2008-04-03,53.500000,56.320000,53.500000,55.290001,45.997868,2229900
2008-04-04,56.689999,57.770000,56.419998,57.139999,47.536949,1656100
2008-04-07,58.490002,58.900002,57.139999,57.730000,48.027790,1042300
2008-04-08,57.099998,58.200001,57.000000,57.740002,48.036110,1043200
2008-04-09,58.459999,58.459999,57.150002,57.200001,47.586861,674600
2008-04-10,57.250000,58.990002,57.000000,58.869999,48.976192,816100
2008-04-11,58.389999,59.279999,58.099998,58.900002,49.001152,388400
2008-04-14,59.470001,59.599998,58.750000,59.230000,49.275700,697200
2008-04-15,59.810001,60.619999,59.340000,60.180000,50.066036,727600
2008-04-16,61.610001,63.799999,61.020000,63.799999,53.077656,1620500
2008-04-17,63.720001,63.720001,61.500000,62.340000,51.863022,1402800
2008-04-18,62.849998,64.639999,62.750000,64.220001,53.427067,1310600
2008-04-21,64.989998,65.000000,63.500000,64.849998,53.951191,1435300
2008-04-22,65.410004,65.739998,63.900002,64.080002,53.310596,1691200
2008-04-23,64.970001,64.970001,62.650002,63.549999,52.869671,1624200
2008-04-24,64.000000,64.000000,60.000000,60.750000,50.540245,3370800
2008-04-25,61.070000,63.049999,60.900002,63.049999,52.453701,1121300
2008-04-28,63.169998,63.459999,61.500000,61.549999,51.205799,1840500
2008-04-29,61.099998,61.099998,58.320000,58.419998,48.601826,2198800
2008-04-30,59.000000,59.900002,58.500000,58.750000,48.876366,1317000
2008-05-01,58.950001,59.549999,57.130001,59.549999,49.541912,1727500
2008-05-02,60.590000,60.590000,58.939999,59.770000,49.724945,1075100
2008-05-05,59.830002,61.500000,59.830002,59.910000,49.841412,949100
2008-05-06,60.160000,61.900002,60.099998,61.900002,51.496971,859400
2008-05-07,61.980000,62.000000,60.700001,61.099998,50.831425,908300
2008-05-08,62.139999,62.139999,59.520000,61.790001,51.405460,538700
2008-05-09,61.900002,61.900002,60.869999,61.750000,51.372185,752000
2008-05-12,62.049999,62.599998,61.160000,61.820000,51.430416,838700
2008-05-13,62.000000,62.500000,60.849998,61.740002,51.363861,1210100
2008-05-14,61.259998,62.450001,61.009998,61.750000,51.372185,668800
2008-05-15,62.709999,62.709999,61.660000,61.900002,51.496971,497500
2008-05-16,61.880001,63.419998,61.880001,63.419998,52.761517,587400
2008-05-19,63.849998,63.990002,61.779999,62.500000,51.996136,702300
2008-05-20,62.450001,62.990002,61.099998,62.990002,52.403790,522700
2008-05-21,63.840000,63.840000,61.150002,61.700001,51.330589,481400
2008-05-22,61.509998,63.200001,61.509998,62.150002,51.704956,564200
2008-05-23,61.750000,62.130001,60.500000,61.549999,51.205799,375400
2008-05-27,61.450001,63.099998,59.759998,60.740002,50.531921,555100
2008-05-28,59.970001,62.099998,59.970001,61.990002,51.571846,702700
2008-05-29,62.250000,62.680000,61.599998,61.939999,51.530243,301900
2008-05-30,62.389999,62.790001,62.060001,62.700001,52.162521,420700
2008-06-02,62.009998,62.970001,62.000000,62.700001,52.162521,365700
2008-06-03,63.000000,63.869999,61.750000,62.799999,52.245712,1688800
2008-06-04,62.990002,63.360001,62.320000,62.700001,52.162521,1167200
2008-06-05,63.389999,64.230003,62.250000,64.230003,53.435379,573500
2008-06-06,64.080002,64.089996,62.529999,63.599998,52.911270,440600
2008-06-09,64.070000,64.260002,62.959999,63.650002,52.952858,626100
2008-06-10,63.200001,63.740002,61.900002,62.900002,52.328911,407900
2008-06-11,63.900002,64.019997,62.509998,63.200001,52.578495,881400
2008-06-12,63.889999,63.889999,61.549999,61.549999,51.205799,638200
2008-06-13,61.790001,62.950001,61.400002,62.700001,52.162521,805900
2008-06-16,63.689999,64.540001,63.310001,64.239998,53.443703,614600
2008-06-17,65.800003,65.949997,64.449997,65.900002,54.824722,953800
2008-06-18,65.989998,66.199997,64.500000,65.400002,54.408752,839700
2008-06-19,65.589996,66.000000,64.370003,64.750000,53.867992,562200
2008-06-20,63.500000,65.000000,63.360001,63.799999,53.077656,521500
2008-06-23,64.739998,64.989998,63.660000,64.849998,53.951191,590100
2008-06-24,65.239998,65.239998,62.540001,63.250000,52.620083,565300
2008-06-25,62.389999,63.220001,61.369999,63.099998,52.495300,1036500
2008-06-26,62.709999,62.709999,60.590000,62.049999,51.621765,735200
2008-06-27,61.220001,62.400002,60.099998,61.980000,51.563522,641900
2008-06-30,62.720001,62.799999,61.570000,61.950001,51.538567,441800
2008-07-01,60.150002,61.700001,59.349998,61.110001,50.839741,1227700
2008-07-02,60.910000,61.500000,57.000000,57.650002,47.961235,1641400
2008-07-03,56.529999,57.730000,55.099998,57.250000,47.628456,1475500
2008-07-07,57.320000,58.259998,56.549999,57.549999,47.878033,1084900
2008-07-08,56.639999,56.849998,54.700001,56.389999,46.912994,1856200
2008-07-09,56.990002,58.330002,56.450001,57.689999,47.994507,1168400
2008-07-10,57.900002,58.110001,56.500000,57.400002,47.753246,624900
2008-07-11,57.299999,57.840000,56.230000,57.650002,47.961235,551500
2008-07-14,58.009998,58.930000,57.599998,58.290001,48.493675,858300
2008-07-15,57.869999,57.950001,56.000000,57.049999,47.462067,1049800
2008-07-16,56.689999,57.180000,55.250000,56.650002,47.129295,1184300
2008-07-17,56.389999,57.689999,54.849998,55.330002,46.031139,1424800
2008-07-18,55.009998,55.799999,53.880001,54.750000,45.548607,782000
2008-07-21,55.000000,56.889999,55.000000,56.849998,47.295681,836700
2008-07-22,56.880001,56.880001,55.450001,56.709999,47.179211,345000
2008-07-23,56.919998,57.040001,54.570000,55.450001,46.130966,1226800
2008-07-24,56.040001,56.660000,53.110001,53.820000,44.774910,1975800
2008-07-25,53.450001,55.259998,53.250000,55.259998,45.972900,526900
2008-07-28,55.009998,55.560001,54.509998,55.000000,45.756596,364800
2008-07-29,54.709999,55.520000,54.209999,55.299999,46.006172,304800
2008-07-30,55.360001,57.470001,55.360001,57.400002,47.753246,837800
2008-07-31,57.200001,57.450001,55.500000,56.000000,46.588535,548300
2008-08-01,56.349998,56.349998,54.509998,54.549999,45.382221,758400
2008-08-04,54.680000,54.680000,51.459999,51.549999,42.886414,1393300
2008-08-05,50.709999,51.720001,50.000000,51.099998,42.512039,1335700
2008-08-06,51.200001,52.450001,50.730000,52.200001,43.427170,960300
2008-08-07,52.009998,52.279999,50.900002,50.900002,42.345657,640500
2008-08-08,50.099998,51.270000,50.090000,51.270000,42.653465,1124300
2008-08-11,50.830002,50.860001,48.619999,49.150002,40.889759,1010000
2008-08-12,49.849998,50.130001,49.200001,50.000000,41.596909,1293600
2008-08-13,49.509998,51.209999,49.299999,50.750000,42.220863,946500
2008-08-14,50.160000,51.500000,50.160000,50.799999,42.262455,378700
2008-08-15,50.310001,50.310001,49.009998,49.150002,40.889759,496800
2008-08-18,49.580002,50.549999,49.500000,49.950001,41.555309,525600
2008-08-19,49.029999,49.709999,48.860001,49.650002,41.305733,430200
2008-08-20,49.869999,50.860001,49.869999,50.849998,42.304054,560700
2008-08-21,51.209999,51.740002,50.840000,51.349998,42.720020,436800
2008-08-22,51.970001,51.970001,50.660000,51.150002,42.553635,350400
2008-08-25,51.259998,51.599998,49.900002,49.900002,41.513714,542100
2008-08-26,50.369999,50.369999,49.660000,50.270000,41.821529,357400
2008-08-27,50.099998,50.900002,50.099998,50.599998,42.096073,342100
2008-08-28,50.599998,51.150002,50.299999,50.900002,42.345657,383500
2008-08-29,50.900002,51.500000,50.560001,50.599998,42.096073,312800
2008-09-02,50.250000,50.250000,48.119999,48.349998,40.224209,808700
2008-09-03,47.970001,48.509998,46.400002,47.020000,39.117729,1054600
2008-09-04,46.330002,46.980000,44.099998,45.250000,37.645195,1539500
2008-09-05,44.619999,45.990002,43.840000,45.750000,38.061169,1020600
2008-09-08,46.849998,47.130001,44.299999,44.650002,37.146042,941300
2008-09-09,44.240002,44.240002,40.840000,41.299999,34.359047,1701100
2008-09-10,41.130001,42.869999,41.099998,42.349998,35.232578,1206100
2008-09-11,41.500000,42.700001,40.419998,42.250000,35.149387,1858700
2008-09-12,42.790001,44.799999,42.490002,44.430000,36.963017,1124800
2008-09-15,42.799999,43.880001,41.150002,41.349998,34.400646,1206500
2008-09-16,40.000000,42.880001,40.000000,42.500000,35.357368,1461600
2008-09-17,40.139999,42.950001,40.110001,41.299999,34.359047,1391400
2008-09-18,41.599998,43.730000,40.130001,42.720001,35.540401,1753400
2008-09-19,46.369999,47.000000,43.740002,45.349998,37.728390,832400
2008-09-22,45.599998,46.610001,44.200001,44.380001,36.921417,857900
2008-09-23,44.099998,45.299999,42.490002,43.000000,35.773342,587200
2008-09-24,43.990002,43.990002,42.049999,42.230000,35.132751,350200
2008-09-25,42.049999,43.150002,41.470001,42.630001,35.465527,613400
2008-09-26,41.419998,41.549999,39.000000,39.669998,33.002991,974600
2008-09-29,38.090000,38.480000,34.009998,34.200001,28.452286,977400
2008-09-30,34.540001,37.200001,34.540001,36.799999,30.615326,653000
2008-10-01,36.799999,36.990002,35.500000,36.200001,30.116161,388200
2008-10-02,34.139999,34.139999,30.080000,30.120001,25.057978,2515300
2008-10-03,31.090000,32.630001,29.620001,29.750000,24.750160,1186000
2008-10-06,28.030001,28.299999,25.250000,26.660000,22.179468,1901500
2008-10-07,28.180000,29.070000,26.290001,26.549999,22.087959,1698100
2008-10-08,25.040001,28.750000,24.750000,26.549999,22.087959,1947700
2008-10-09,27.080000,29.440001,25.629999,26.000000,21.630390,1480500
2008-10-10,24.520000,27.790001,24.389999,26.360001,21.929888,2211800
2008-10-13,28.190001,31.309999,28.000000,30.219999,25.141171,1236100
2008-10-14,32.669998,33.000000,28.840000,29.400000,24.458982,1065000
2008-10-15,28.080000,28.750000,25.760000,26.650000,22.171150,840600
2008-10-16,26.620001,27.290001,24.180000,25.889999,21.538877,1581900
2008-10-17,26.000000,26.760000,24.500000,25.150000,20.923244,1338800
2008-10-20,26.290001,27.600000,26.000000,27.549999,22.919895,1098700
2008-10-21,27.270000,27.400000,26.160000,26.350000,21.921570,818400
2008-10-22,25.510000,25.600000,22.549999,23.600000,19.633739,1264000
2008-10-23,24.219999,24.600000,22.049999,23.000000,19.134577,1242400
2008-10-24,21.879999,23.250000,21.000000,22.230000,18.493980,818400
2008-10-27,21.450001,23.240000,20.980000,21.000000,17.470703,882100
2008-10-28,23.270000,23.500000,21.030001,23.200001,19.300966,984700
2008-10-29,23.500000,25.600000,23.270000,24.000000,19.966516,1313700
2008-10-30,25.730000,26.520000,25.090000,26.309999,21.888290,901400
2008-10-31,26.000000,27.900000,25.820000,27.100000,22.545525,975000
2008-11-03,27.790001,28.600000,26.879999,27.450001,22.836702,686500
2008-11-04,28.900000,29.650000,28.520000,29.240000,24.325871,787900
2008-11-05,28.620001,29.750000,27.889999,28.000000,23.294268,645600
2008-11-06,27.129999,27.639999,25.400000,25.600000,21.297613,731300
2008-11-07,25.600000,27.379999,25.600000,27.100000,22.545525,469600
2008-11-10,28.270000,29.000000,27.240000,27.520000,22.894938,443400
2008-11-11,26.709999,27.600000,25.690001,26.500000,22.046360,389400
2008-11-12,25.610001,25.980000,24.270000,24.520000,20.399124,448500
2008-11-13,24.090000,26.590000,23.500000,26.480000,22.029722,611200
2008-11-14,26.480000,26.480000,24.850000,25.139999,20.914921,411700
2008-11-17,24.379999,25.700001,24.280001,24.809999,20.640381,490300
2008-11-18,24.610001,25.100000,23.299999,24.500000,20.382488,477900
2008-11-19,23.809999,24.370001,22.120001,22.120001,18.402472,361200
2008-11-20,21.610001,22.389999,20.080000,20.080000,16.705318,722000
2008-11-21,21.010000,22.299999,20.750000,22.180000,18.452391,470300
2008-11-24,23.469999,23.950001,22.400000,23.570000,19.608782,587300
2008-11-25,23.059999,24.280001,23.059999,24.200001,20.132902,622000
2008-11-26,23.809999,25.500000,23.459999,25.230000,20.989801,703800
2008-11-28,25.320000,26.000000,24.670000,25.860001,21.513922,525500
2008-12-01,24.900000,24.900000,23.000000,23.570000,19.608782,399700
2008-12-02,23.030001,23.740000,22.879999,23.610001,19.642059,440400
2008-12-03,22.799999,23.980000,22.600000,23.780001,19.783493,288600
2008-12-04,23.000000,23.840000,22.500000,22.730000,18.909956,538800
2008-12-05,22.139999,23.790001,21.750000,23.730000,19.741890,411500
2008-12-08,24.900000,25.680000,24.219999,25.360001,21.097950,522500
2008-12-09,24.740000,26.440001,24.709999,26.440001,21.996445,565700
