Date,Open,High,Low,Close,Adj Close,Volume
2006-12-20,25.030001,25.080000,24.969999,25.010000,22.145700,92600
2006-12-21,25.010000,25.030001,24.850000,24.889999,22.039440,39700
2006-12-22,24.840000,24.840000,24.790001,24.809999,21.968609,18700
2006-12-26,24.790001,24.910000,24.790001,24.910000,22.057158,46400
2006-12-27,25.030001,25.070000,25.010000,25.070000,22.198826,38700
2006-12-28,25.059999,25.100000,25.000000,25.030001,22.163418,35200
2006-12-29,24.990000,25.049999,24.950001,24.959999,22.101427,66400
2007-01-03,25.020000,25.129999,24.840000,24.860001,22.012882,78100
2007-01-04,24.860001,25.059999,24.830000,25.030001,22.163418,66700
2007-01-05,24.920000,24.920000,24.799999,24.889999,22.039440,43400
2007-01-08,24.900000,25.030001,24.870001,24.990000,22.127989,50200
2007-01-09,25.080000,25.139999,24.940001,25.139999,22.260813,29100
2007-01-10,25.010000,25.200001,24.950001,25.180000,22.296232,41500
2007-01-11,25.200001,25.400000,25.200001,25.340000,22.437902,45100
2007-01-12,25.360001,25.469999,25.320000,25.450001,22.535305,27800
2007-01-16,25.480000,25.480000,25.370001,25.430000,22.517605,66300
2007-01-17,25.389999,25.450001,25.350000,25.360001,22.455620,175300
2007-01-18,25.400000,25.400000,25.200001,25.230000,22.340504,39200
2007-01-19,25.209999,25.270000,25.100000,25.270000,22.375923,68100
2007-01-22,25.250000,25.250000,25.049999,25.170000,22.287376,35600
2007-01-23,25.219999,25.370001,25.219999,25.280001,22.384781,30900
2007-01-24,25.260000,25.490000,25.260000,25.490000,22.570728,36100
2007-01-25,25.530001,25.530001,25.190001,25.230000,22.340504,56500
2007-01-26,25.190001,25.219999,25.090000,25.190001,22.305084,35400
2007-01-29,25.270000,25.309999,25.209999,25.250000,22.358215,32500
2007-01-30,25.299999,25.350000,25.219999,25.350000,22.446760,33200
2007-01-31,25.340000,25.740000,25.240000,25.459999,22.544165,55400
2007-02-01,25.600000,25.600000,25.430000,25.549999,22.623856,32200
2007-02-02,25.650000,25.850000,25.590000,25.650000,22.712408,78300
2007-02-05,25.660000,25.850000,25.500000,25.570000,22.641565,127100
2007-02-06,25.700001,25.750000,25.510000,25.590000,22.659275,26400
2007-02-07,25.799999,25.799999,25.629999,25.709999,22.765526,58600
2007-02-08,25.750000,25.900000,25.650000,25.770000,22.818666,31200
2007-02-09,25.900000,25.900000,25.450001,25.549999,22.623856,58000
2007-02-12,25.570000,25.650000,25.379999,25.420000,22.508747,32600
2007-02-13,25.650000,25.840000,25.430000,25.600000,22.668129,56500
2007-02-14,25.790001,25.820000,25.639999,25.799999,22.845221,33400
