Date,Open,High,Low,Close,Adj Close,Volume
2010-04-07,25.160000,25.160000,25.070000,25.070000,24.389538,3100
2010-04-08,25.020000,25.040001,24.850000,24.990000,24.311708,1100
2010-04-09,24.950001,24.950001,24.920000,24.920000,24.243607,800
2010-04-12,25.040001,25.040001,25.040001,25.040001,24.360352,1000
2010-04-13,25.000000,25.000000,25.000000,25.000000,24.321436,200
2010-04-14,25.000000,25.000000,25.000000,25.000000,24.321436,0
2010-04-15,25.530001,25.590000,25.530001,25.590000,24.895420,1400
2010-04-16,25.709999,25.709999,25.500000,25.500000,24.807867,1600
2010-04-19,25.680000,25.680000,25.549999,25.600000,24.905151,1300
2010-04-20,25.709999,25.820000,25.590000,25.820000,25.119179,4200
2010-04-21,25.889999,25.889999,25.670000,25.670000,24.973251,1500
2010-04-22,30.840000,30.840000,25.280001,25.570000,24.875961,7100
2010-04-23,25.600000,25.730000,25.600000,25.730000,25.031624,800
2010-04-26,25.750000,25.760000,25.610001,25.610001,24.914877,1300
2010-04-27,25.340000,25.549999,25.209999,25.209999,24.525736,31600
2010-04-28,25.219999,25.389999,25.209999,25.309999,24.623020,442600
2010-04-29,25.400000,25.990000,25.400000,25.990000,25.284561,444400
2010-04-30,25.980000,25.980000,25.320000,25.320000,24.632753,7000
2010-05-03,25.410000,25.700001,25.330000,25.700001,25.002438,55900
2010-05-04,25.459999,25.459999,25.100000,25.200001,24.516008,29400
2010-05-05,24.969999,25.290001,24.969999,25.090000,24.408991,8700
2010-05-06,24.840000,25.049999,13.010000,24.379999,23.718262,26400
2010-05-07,23.290001,24.520000,23.290001,23.680000,23.037262,16800
2010-05-10,24.389999,24.680000,24.299999,24.400000,23.737722,33800
2010-05-11,24.559999,24.969999,24.559999,24.809999,24.136591,9800
2010-05-12,25.270000,25.450001,24.870001,25.450001,24.759222,7800
2010-05-13,25.360001,25.360001,25.190001,25.270000,24.584108,3000
2010-05-14,25.049999,25.049999,24.660000,24.830000,24.156052,18800
2010-05-17,25.070000,25.090000,24.690001,25.090000,24.408991,7000
2010-05-18,25.340000,25.350000,24.879999,24.910000,24.233881,15600
2010-05-19,24.700001,24.750000,24.559999,24.740000,24.068493,7200
2010-05-20,23.559999,24.389999,23.559999,23.879999,23.231834,12800
2010-05-21,23.469999,23.670000,23.430000,23.610001,22.969164,4900
2010-05-24,23.719999,23.910000,23.719999,23.870001,23.222107,6600
2010-05-25,23.070000,23.540001,23.070000,23.540001,22.901062,3200
2010-05-26,23.559999,24.000000,23.559999,23.660000,23.017811,2200
2010-05-27,24.250000,24.250000,23.950001,24.110001,23.455593,2600
2010-05-28,24.250000,24.330000,24.139999,24.160000,23.504236,5000
2010-06-01,23.860001,24.139999,23.650000,23.709999,23.066450,4400
2010-06-02,23.870001,24.270000,23.809999,24.270000,23.611252,11200
2010-06-03,24.480000,24.670000,24.430000,24.629999,23.961479,3000
2010-06-04,24.230000,24.240000,23.790001,23.790001,23.144276,2200
2010-06-07,23.730000,23.760000,23.379999,23.379999,22.745403,8200
2010-06-08,23.080000,23.110001,22.930000,23.010000,22.385452,2800
2010-06-09,23.000000,23.270000,23.000000,23.129999,22.502192,2200
2010-06-10,23.200001,23.440001,23.200001,23.440001,22.803780,1200
2010-06-11,23.770000,23.770000,23.570000,23.719999,23.076178,1400
2010-06-14,24.150000,24.170000,23.930000,23.930000,23.280476,1800
2010-06-15,24.090000,24.320000,23.990000,24.280001,23.620979,6000
2010-06-16,24.129999,24.180000,24.129999,24.150000,23.494505,800
2010-06-17,24.059999,24.180000,24.010000,24.180000,23.523693,3600
2010-06-18,24.040001,24.280001,24.020000,24.059999,23.406952,5000
2010-06-21,24.059999,24.290001,23.900000,23.920000,23.270750,6400
2010-06-22,24.090000,24.240000,23.830000,23.870001,23.222107,3200
2010-06-23,23.660000,23.719999,23.639999,23.639999,22.998348,1600
2010-06-24,23.590000,23.600000,23.590000,23.600000,22.959435,600
2010-06-25,23.520000,23.830000,23.500000,23.830000,23.183193,4800
2010-06-28,23.830000,23.990000,23.830000,23.889999,23.241562,2600
2010-06-29,23.490000,23.490000,23.190001,23.190001,22.560564,1000
2010-06-30,23.360001,23.360001,23.129999,23.129999,22.502192,5700
2010-07-01,22.309999,22.590000,22.170000,22.590000,21.976851,1600
2010-07-02,22.500000,22.590000,22.480000,22.590000,21.976851,1000
2010-07-06,22.740000,22.840000,22.450001,22.450001,21.840656,400
2010-07-07,22.420000,22.790001,22.420000,22.780001,22.161692,5600
2010-07-08,23.010000,23.010000,22.950001,23.010000,22.385452,2400
2010-07-09,23.020000,23.190001,23.020000,23.190001,22.560564,1600
2010-07-12,23.230000,23.260000,23.010000,23.080000,22.453552,34000
2010-07-13,23.090000,23.410000,23.090000,23.410000,22.774595,11400
2010-07-14,23.340000,23.549999,23.320000,23.370001,22.735682,2000
2010-07-15,23.510000,23.510000,23.260000,23.420000,22.784317,1200
2010-07-16,23.120001,23.129999,22.709999,22.719999,22.103319,3200
2010-07-19,22.780001,22.780001,22.469999,22.700001,22.083864,5300
2010-07-20,22.450001,22.930000,22.450001,22.930000,22.307625,2400
2010-07-21,23.020000,23.020000,22.469999,22.469999,21.860104,1000
2010-07-22,22.840000,22.840000,22.650000,22.750000,22.132504,2300
2010-07-23,22.790001,23.059999,22.790001,23.059999,22.434092,1100
2010-07-26,23.400000,23.520000,23.389999,23.389999,22.755135,1200
2010-07-27,23.590000,23.590000,23.450001,23.450001,22.813507,2200
2010-07-28,23.290001,23.290001,23.120001,23.120001,22.492466,1500
2010-07-29,23.250000,23.250000,22.840000,23.150000,22.521650,2900
2010-07-30,23.440001,23.440001,23.379999,23.379999,22.745403,500
2010-08-02,23.590000,23.709999,23.590000,23.590000,22.949705,700
2010-08-03,23.469999,23.820000,23.469999,23.680000,23.037262,1100
2010-08-04,23.790001,23.799999,23.709999,23.790001,23.144276,1400
2010-08-05,23.770000,23.770000,23.730000,23.730000,23.085909,1900
2010-08-06,23.549999,23.580000,23.290001,23.299999,22.667578,1900
2010-08-09,23.770000,23.790001,23.730000,23.750000,23.105364,1600
2010-08-10,23.620001,23.620001,23.510000,23.590000,22.949705,1100
