Date,Open,High,Low,Close,Adj Close,Volume
2006-03-07,30.670000,30.690001,30.490000,30.520000,24.623850,21300
2006-03-08,30.410000,30.410000,30.410000,30.410000,24.535107,5000
2006-03-09,30.410000,30.410000,30.410000,30.410000,24.535107,0
2006-03-10,30.410000,30.410000,30.410000,30.410000,24.535107,0
2006-03-13,31.120001,31.120001,31.120001,31.120001,25.107937,5300
2006-03-14,30.980000,31.180000,30.980000,31.180000,25.156351,2100
2006-03-15,31.350000,31.410000,31.350000,31.410000,25.341915,2000
2006-03-16,31.510000,31.510000,31.420000,31.420000,25.349979,6000
2006-03-17,31.350000,31.350000,31.350000,31.350000,25.293512,3500
2006-03-20,31.379999,31.379999,31.360001,31.360001,25.301575,1100
2006-03-21,31.270000,31.270000,31.200001,31.200001,25.172485,2200
2006-03-22,31.150000,31.150000,31.150000,31.150000,25.132145,800
2006-03-23,31.200001,31.200001,31.200001,31.200001,25.172485,1300
2006-03-24,31.200001,31.200001,31.200001,31.200001,25.172485,0
2006-03-27,31.200001,31.200001,31.200001,31.200001,25.172485,0
2006-03-28,31.200001,31.200001,31.200001,31.200001,25.172485,0
2006-03-29,31.520000,31.670000,31.520000,31.660000,25.543619,15000
2006-03-30,31.660000,31.680000,31.459999,31.480000,25.398394,5800
2006-03-31,31.559999,31.590000,31.430000,31.469999,25.390324,8300
2006-04-03,31.590000,31.590000,31.590000,31.590000,25.487141,300
2006-04-04,31.600000,31.600000,31.480000,31.480000,25.398394,3200
2006-04-05,31.480000,31.480000,31.480000,31.480000,25.398394,0
2006-04-06,31.480000,31.480000,31.480000,31.480000,25.398394,0
2006-04-07,31.480000,31.480000,31.480000,31.480000,25.398394,0
2006-04-10,31.480000,31.480000,31.480000,31.480000,25.398394,0
2006-04-11,31.480000,31.480000,30.950001,30.959999,24.978848,1500
2006-04-12,31.040001,31.120001,31.040001,31.120001,25.107937,400
2006-04-13,31.120001,31.120001,31.120001,31.120001,25.107937,0
2006-04-17,31.170000,31.170000,30.910000,31.030001,25.035318,800
2006-04-18,31.379999,31.750000,31.379999,31.750000,25.616232,500
2006-04-19,31.850000,31.920000,31.850000,31.920000,25.753387,61000
2006-04-20,32.119999,32.119999,32.119999,32.119999,25.914753,100
2006-04-21,32.250000,32.270000,32.150002,32.150002,25.938951,1800
2006-04-24,31.940001,32.000000,31.940001,32.000000,25.817930,600
2006-04-25,32.000000,32.000000,32.000000,32.000000,25.817930,0
2006-04-26,32.000000,32.000000,32.000000,32.000000,25.817930,0
2006-04-27,32.049999,32.070000,31.780001,32.070000,25.874409,5700
2006-04-28,32.070000,32.070000,32.070000,32.070000,25.874409,0
2006-05-01,32.070000,32.070000,32.070000,32.070000,25.874409,0
2006-05-02,32.029999,32.090000,32.029999,32.090000,25.890547,5300
2006-05-03,32.209999,32.209999,32.209999,32.209999,25.987362,100
2006-05-04,32.580002,32.580002,32.580002,32.580002,26.285889,200
2006-05-05,32.680000,32.680000,32.680000,32.680000,26.366562,7000
2006-05-08,32.860001,32.860001,32.860001,32.860001,26.511791,1000
2006-05-09,32.790001,32.790001,32.790001,32.790001,26.455313,1100
2006-05-10,32.790001,32.790001,32.790001,32.790001,26.455313,0
2006-05-11,32.230000,32.230000,32.189999,32.189999,25.971228,1600
2006-05-12,32.060001,32.060001,31.549999,31.559999,25.462936,600
2006-05-15,31.559999,31.559999,31.559999,31.559999,25.462936,0
2006-05-16,31.559999,31.559999,31.559999,31.559999,25.462936,0
2006-05-17,31.559999,31.559999,31.559999,31.559999,25.462936,0
2006-05-18,31.559999,31.559999,31.559999,31.559999,25.462936,0
2006-05-19,30.799999,30.840000,30.600000,30.840000,24.882034,4200
2006-05-22,30.690001,30.930000,30.660000,30.930000,24.954643,2500
2006-05-23,31.040001,31.040001,30.559999,30.559999,24.656132,2200
2006-05-24,30.559999,30.559999,30.559999,30.559999,24.656132,0
2006-05-25,30.559999,30.559999,30.559999,30.559999,24.656132,0
2006-05-26,31.270000,31.370001,31.230000,31.330000,25.277370,4000
2006-05-30,31.360001,31.360001,30.959999,30.959999,24.978848,2100
2006-05-31,30.980000,31.150000,30.980000,31.150000,25.132145,1300
2006-06-01,31.150000,31.150000,31.150000,31.150000,25.132145,0
2006-06-02,31.670000,31.680000,31.670000,31.680000,25.559752,2400
2006-06-05,31.680000,31.680000,31.680000,31.680000,25.559752,0
2006-06-06,31.190001,31.190001,31.049999,31.080000,25.075670,5500
2006-06-07,31.059999,31.360001,30.900000,30.900000,24.930443,32200
2006-06-08,30.840000,30.840000,30.469999,30.799999,24.849768,700
2006-06-09,30.780001,30.889999,30.780001,30.879999,24.914307,800
2006-06-12,30.690001,30.690001,30.360001,30.360001,24.494764,4200
2006-06-13,30.320000,30.320000,29.910000,29.910000,24.131691,1300
2006-06-14,29.910000,29.910000,29.680000,29.770000,24.018745,6800
2006-06-15,30.500000,30.760000,30.500000,30.760000,24.817488,600
2006-06-16,30.760000,30.760000,30.760000,30.760000,24.817488,0
2006-06-19,30.540001,30.540001,30.260000,30.260000,24.414083,4300
2006-06-20,30.340000,30.340000,30.340000,30.340000,24.478628,300
2006-06-21,30.780001,30.820000,30.740000,30.740000,24.801350,1700
2006-06-22,30.549999,30.549999,30.440001,30.510000,24.615784,2000
2006-06-23,30.400000,30.840000,30.400000,30.629999,24.712601,4700
2006-06-26,30.809999,30.910000,30.809999,30.910000,24.938505,5500
2006-06-27,30.850000,30.850000,30.650000,30.650000,24.728735,35800
2006-06-28,30.690001,30.690001,30.690001,30.690001,24.761011,300
