Date,Open,High,Low,Close,Adj Close,Volume
2006-11-07,49.520000,49.900002,49.520000,49.900002,40.187599,3400
2006-11-08,49.900002,49.900002,49.900002,49.900002,40.187599,0
2006-11-09,50.150002,50.150002,49.990002,49.990002,40.260109,300
2006-11-10,49.869999,49.990002,49.869999,49.990002,40.260109,300
2006-11-13,50.299999,50.340000,50.209999,50.209999,40.437267,1000
2006-11-14,50.209999,50.209999,50.209999,50.209999,40.437267,0
2006-11-15,50.919998,50.919998,50.919998,50.919998,41.009083,100
2006-11-16,51.110001,51.110001,51.110001,51.110001,41.162106,100
2006-11-17,51.060001,51.060001,51.060001,51.060001,41.121815,100
2006-11-20,51.060001,51.060001,51.060001,51.060001,41.121815,0
2006-11-21,51.049999,51.130001,51.049999,51.130001,41.178207,1100
2006-11-22,51.310001,51.310001,51.310001,51.310001,41.323174,400
2006-11-24,51.130001,51.150002,51.130001,51.150002,41.194309,2000
2006-11-27,51.119999,51.119999,50.480000,50.490002,40.662788,600
2006-11-28,50.330002,50.330002,50.160000,50.160000,40.397003,600
2006-11-29,50.160000,50.160000,50.160000,50.160000,40.397003,0
2006-11-30,50.160000,50.160000,50.160000,50.160000,40.397003,0
2006-12-01,50.160000,50.160000,50.160000,50.160000,40.397003,0
2006-12-04,50.160000,50.160000,50.160000,50.160000,40.397003,0
2006-12-05,51.560001,51.560001,51.560001,51.560001,41.524521,400
2006-12-06,51.560001,51.560001,51.560001,51.560001,41.524521,0
2006-12-07,51.580002,51.619999,51.450001,51.450001,41.435936,900
2006-12-08,51.400002,51.630001,51.400002,51.630001,41.580894,600
2006-12-11,51.380001,51.380001,51.310001,51.310001,41.323174,8100
2006-12-12,51.250000,51.250000,50.939999,51.099998,41.154030,3400
2006-12-13,51.099998,51.099998,51.099998,51.099998,41.154030,0
2006-12-14,51.099998,51.099998,51.099998,51.099998,41.154030,0
2006-12-15,51.279999,51.279999,51.279999,51.279999,41.299015,60000
2006-12-18,51.279999,51.279999,51.279999,51.279999,41.299015,0
2006-12-19,51.279999,51.279999,51.279999,51.279999,41.299015,0
2006-12-20,51.259998,51.259998,51.180000,51.180000,41.218483,300
2006-12-21,51.180000,51.180000,51.180000,51.180000,41.218483,0
2006-12-22,51.180000,51.180000,51.180000,51.180000,41.218483,0
2006-12-26,51.180000,51.180000,51.180000,51.180000,41.218483,0
2006-12-27,50.939999,51.000000,50.939999,51.000000,41.199890,1500
2006-12-28,51.040001,51.090000,50.980000,50.980000,41.183739,1400
2006-12-29,50.900002,50.900002,50.630001,50.630001,40.901001,800
2007-01-03,51.049999,51.049999,51.049999,51.049999,41.240288,100
2007-01-04,51.049999,51.049999,51.049999,51.049999,41.240288,0
2007-01-05,50.250000,50.250000,50.220001,50.220001,40.569771,800
2007-01-08,50.220001,50.220001,50.220001,50.220001,40.569771,0
2007-01-09,50.650002,50.650002,50.650002,50.650002,40.917149,500
2007-01-10,50.650002,50.650002,50.650002,50.650002,40.917149,0
2007-01-11,51.230000,51.230000,51.160000,51.169998,41.337227,4600
2007-01-12,51.310001,51.419998,51.310001,51.410000,41.531105,700
2007-01-16,51.709999,51.709999,51.709999,51.709999,41.773468,7000
2007-01-17,51.799999,51.910000,51.799999,51.889999,41.918877,600
2007-01-18,51.889999,51.889999,51.889999,51.889999,41.918877,0
2007-01-19,51.700001,51.840000,51.700001,51.840000,41.878483,1800
2007-01-22,51.840000,51.840000,51.840000,51.840000,41.878483,0
