Date,Open,High,Low,Close,Adj Close,Volume
2013-10-09,24.500000,24.530001,24.500000,24.530001,19.830809,311400
2013-10-10,24.549999,24.549999,24.469999,24.549999,19.846975,800
2013-10-11,24.490000,24.520000,24.490000,24.520000,19.822716,2900
2013-10-14,24.730000,24.730000,24.620001,24.629999,19.911648,13300
2013-10-15,24.430000,24.430000,24.430000,24.430000,19.749969,5600
2013-10-16,24.580000,24.580000,24.469999,24.480000,19.790379,600
2013-10-17,24.600000,25.000000,24.549999,24.629999,19.911648,666700
2013-10-18,24.750000,24.780001,24.650000,24.750000,20.008656,9700
2013-10-21,24.809999,24.830000,24.700001,24.700001,19.968246,1600
2013-10-22,24.879999,24.879999,24.760000,24.760000,20.016741,2600
2013-10-23,24.790001,24.860001,24.790001,24.850000,20.089504,3300
2013-10-24,24.900000,24.910000,24.900000,24.910000,20.138004,1900
2013-10-25,24.820000,24.950001,24.820000,24.879999,20.113756,800
2013-10-28,24.910000,24.940001,24.910000,24.930000,20.154181,2200
2013-10-29,24.920000,24.940001,24.850000,24.920000,20.146088,950900
2013-10-30,24.910000,24.980000,24.860001,24.860001,20.097586,4000
2013-10-31,24.920000,24.980000,24.879999,24.980000,20.194601,3600
2013-11-01,24.950001,25.120001,24.809999,24.830000,20.073336,5700
2013-11-04,25.010000,25.030001,24.760000,24.830000,20.073336,2700
2013-11-05,24.830000,24.889999,24.830000,24.860001,20.097586,2700
2013-11-06,24.980000,24.980000,24.889999,24.969999,20.186522,953900
2013-11-07,24.969999,25.020000,24.940001,24.950001,20.170345,10600
2013-11-08,24.959999,25.000000,24.950001,25.000000,20.210772,4100
2013-11-11,24.900000,24.900000,24.850000,24.889999,20.121841,3900
2013-11-12,24.879999,25.020000,24.840000,24.840000,20.081415,4200
2013-11-13,24.900000,24.940001,24.830000,24.940001,20.162268,3400
2013-11-14,24.930000,24.959999,24.870001,24.940001,20.162268,950500
2013-11-15,24.889999,24.980000,24.889999,24.969999,20.186522,6700
2013-11-18,24.900000,25.040001,24.900000,24.969999,20.186522,6500
2013-11-19,24.969999,24.980000,24.930000,24.959999,20.178423,7700
2013-11-20,24.990000,25.010000,24.940001,24.940001,20.185480,3300
2013-11-21,24.959999,24.980000,24.920000,24.980000,20.217844,7700
2013-11-22,24.969999,25.000000,24.950001,24.990000,20.225946,9200
2013-11-25,25.040001,25.040001,24.940001,25.000000,20.234035,4200
2013-11-26,25.070000,25.070000,25.000000,25.030001,20.258316,7800
2013-11-27,25.150000,25.150000,24.980000,24.980000,20.217844,17500
2013-11-29,25.049999,25.110001,24.980000,25.059999,20.282593,2400
2013-12-02,25.049999,25.090000,24.980000,25.040001,20.266413,4900
2013-12-03,24.980000,25.090000,24.980000,24.990000,20.225946,2100
2013-12-04,24.969999,25.080000,24.959999,25.040001,20.266413,1041800
2013-12-05,25.090000,25.250000,25.000000,25.049999,20.274506,16300
2013-12-06,25.049999,25.120001,24.990000,25.049999,20.274506,5800
2013-12-09,25.090000,25.170000,25.090000,25.110001,20.323063,6000
2013-12-10,25.090000,25.200001,25.070000,25.120001,20.331169,7000
2013-12-11,25.049999,25.219999,25.049999,25.090000,20.306881,9600
2013-12-12,25.090000,25.129999,25.020000,25.070000,20.290693,1050700
2013-12-13,25.030001,25.120001,25.030001,25.059999,20.282593,13500
2013-12-16,25.090000,25.209999,25.030001,25.110001,20.323063,16000
2013-12-17,25.049999,25.150000,25.040001,25.100000,20.314966,11400
2013-12-18,25.070000,25.219999,25.000000,25.030001,20.258316,17300
2013-12-19,24.980000,25.190001,24.980000,25.090000,20.306881,18500
2013-12-20,25.049999,25.150000,25.040001,25.049999,20.274506,7700
2013-12-23,25.100000,25.200001,25.100000,25.170000,20.371626,11500
2013-12-24,25.129999,25.129999,25.090000,25.120001,20.331169,2100
2013-12-26,25.010000,25.150000,25.010000,25.129999,20.409449,15200
2013-12-27,24.920000,25.150000,24.900000,25.010000,20.311991,11900
2013-12-30,25.040001,25.150000,25.010000,25.010000,20.311991,4900
2013-12-31,25.030001,25.049999,24.969999,25.040001,20.336357,6000
2014-01-02,25.080000,25.150000,25.080000,25.150000,20.425694,15400
2014-01-03,25.000000,25.160000,25.000000,25.129999,20.409449,7700
2014-01-06,25.150000,25.160000,25.049999,25.160000,20.433815,6900
2014-01-07,25.129999,25.139999,25.059999,25.139999,20.417578,8400
2014-01-08,25.100000,25.230000,25.059999,25.230000,20.490669,19700
2014-01-09,25.080000,25.209999,25.080000,25.150000,20.425694,17300
2014-01-10,25.150000,25.180000,25.129999,25.170000,20.441938,13400
2014-01-13,25.139999,25.209999,25.129999,25.180000,20.450062,16400
2014-01-14,25.190001,25.240000,25.160000,25.160000,20.433815,5500
2014-01-15,25.200001,25.209999,25.110001,25.180000,20.450062,559700
2014-01-16,25.190001,25.200001,25.139999,25.190001,20.458178,125000
2014-01-17,25.200001,25.230000,25.160000,25.209999,20.474428,213000
2014-01-21,25.200001,25.250000,25.200001,25.240000,20.498785,67800
2014-01-22,25.200001,25.200001,25.110001,25.190001,20.485895,156400
2014-01-23,25.160000,25.170000,25.110001,25.160000,20.461493,11200
2014-01-24,25.150000,25.150000,25.010000,25.020000,20.347641,15800
2014-01-27,25.059999,25.070000,24.990000,25.070000,20.388302,15800
2014-01-28,25.010000,25.090000,25.010000,25.080000,20.396435,17300
2014-01-29,25.040001,25.040001,24.959999,24.959999,20.298845,38100
2014-01-30,25.030001,25.139999,25.030001,25.139999,20.445236,81000
2014-01-31,25.000000,25.110001,25.000000,25.100000,20.412695,8800
2014-02-03,25.020000,25.090000,24.980000,25.080000,20.396435,19000
2014-02-04,25.040001,25.150000,25.030001,25.059999,20.380173,32200
2014-02-05,25.080000,25.080000,25.010000,25.049999,20.372036,8200
2014-02-06,25.090000,25.120001,25.049999,25.120001,20.428972,14500
2014-02-07,25.129999,25.160000,25.090000,25.160000,20.461493,11300
2014-02-10,25.190001,25.190001,25.110001,25.170000,20.469625,25000
2014-02-11,25.260000,25.260000,25.160000,25.200001,20.494026,15400
2014-02-12,25.170000,25.230000,25.150000,25.219999,20.510296,13000
2014-02-13,25.160000,25.280001,25.160000,25.280001,20.559088,1390800
2014-02-14,25.200001,25.290001,25.200001,25.290001,20.567228,82900
2014-02-18,25.299999,25.309999,25.209999,25.290001,20.567228,23500
2014-02-19,25.219999,25.270000,25.209999,25.230000,20.559311,16400
2014-02-20,25.270000,25.299999,25.200001,25.290001,20.608200,27000
2014-02-21,25.260000,25.299999,25.240000,25.290001,20.608200,47600
2014-02-24,25.280001,25.350000,25.270000,25.350000,20.657099,35500
2014-02-25,25.320000,25.370001,25.280001,25.290001,20.608200,19800
2014-02-26,25.330000,25.389999,25.320000,25.360001,20.665249,15200
2014-02-27,25.400000,25.420000,25.340000,25.420000,20.714128,17900
2014-02-28,25.430000,25.440001,25.350000,25.410000,20.705984,24700
2014-03-03,25.420000,25.420000,25.330000,25.340000,20.648943,38500
2014-03-04,25.410000,25.440001,25.379999,25.440001,20.730425,14700
2014-03-05,25.410000,25.420000,25.370001,25.410000,20.705984,13900
2014-03-06,25.410000,25.420000,25.360001,25.400000,20.697836,22200
2014-03-07,25.309999,25.379999,25.280001,25.299999,20.616348,18300
2014-03-10,25.360001,25.360001,25.299999,25.360001,20.665249,9800
2014-03-11,25.330000,25.340000,25.230000,25.330000,20.640797,16300
2014-03-12,25.290001,25.370001,25.290001,25.370001,20.673395,16200
2014-03-13,25.290001,25.340000,25.270000,25.330000,20.640797,13900
2014-03-14,25.350000,25.360001,25.280001,25.299999,20.616348,11000
2014-03-17,25.350000,25.379999,25.299999,25.370001,20.673395,11800
2014-03-18,25.360001,25.400000,25.340000,25.389999,20.689690,43600
2014-03-19,25.400000,25.400000,25.280001,25.290001,20.608200,12900
2014-03-20,25.379999,25.430000,25.320000,25.340000,20.648943,14900
2014-03-21,25.370001,25.389999,25.309999,25.330000,20.640797,54700
2014-03-24,25.420000,25.430000,25.350000,25.420000,20.714128,25300
2014-03-25,25.410000,25.450001,25.370001,25.440001,20.730425,93700
2014-03-26,25.350000,25.350000,25.299999,25.330000,20.719046,15400
2014-03-27,25.290001,25.350000,25.280001,25.350000,20.735409,21200
2014-03-28,25.360001,25.370001,25.309999,25.350000,20.735409,11800
2014-03-31,25.370001,25.379999,25.330000,25.370001,20.751770,8900
2014-04-01,25.370001,25.370001,25.320000,25.370001,20.751770,18100
2014-04-02,25.370001,25.379999,25.250000,25.350000,20.735409,32600
2014-04-03,25.360001,25.360001,25.330000,25.360001,20.743593,11700
2014-04-04,25.350000,25.389999,25.330000,25.379999,20.759947,19900
2014-04-07,25.379999,25.400000,25.350000,25.389999,20.768126,17200
2014-04-08,25.400000,25.420000,25.350000,25.379999,20.759947,18800
2014-04-09,25.360001,25.430000,25.350000,25.430000,20.800840,16600
2014-04-10,25.430000,25.480000,25.370001,25.459999,20.825382,1743400
2014-04-11,25.440001,25.440001,25.350000,25.420000,20.792664,130900
2014-04-14,25.459999,25.480000,25.389999,25.459999,20.825382,19800
2014-04-15,25.400000,25.459999,25.400000,25.400000,20.776304,16600
2014-04-16,25.440001,25.490000,25.379999,25.440001,20.809013,32700
2014-04-17,25.430000,25.440001,25.379999,25.430000,20.800840,12100
2014-04-21,25.459999,25.500000,25.410000,25.480000,20.841743,57600
2014-04-22,25.500000,25.500000,25.430000,25.459999,20.825382,21900
2014-04-23,25.320000,25.400000,25.320000,25.400000,20.845907,16000
2014-04-24,25.330000,25.400000,25.320000,25.320000,20.780252,9000
2014-04-25,25.400000,25.420000,25.330000,25.420000,20.862322,16200
2014-04-28,25.410000,25.430000,25.370001,25.420000,20.862322,40200
2014-04-29,25.420000,25.480000,25.360001,25.410000,20.854113,26900
2014-04-30,25.410000,25.440001,25.350000,25.420000,20.862322,48300
