Date,Open,High,Low,Close,Adj Close,Volume
2006-11-07,34.092178,34.245811,34.092178,34.196930,15.010883,243700
2006-11-08,34.092178,34.259777,34.092178,34.217876,15.020079,8900
2006-11-09,34.071228,34.078213,34.001396,34.001396,14.925053,68700
2006-11-10,34.050278,34.092178,34.050278,34.071228,14.955709,67000
2006-11-13,34.336590,34.336590,34.308659,34.308659,15.059925,94500
2006-11-14,34.231842,34.231842,34.127094,34.196930,15.010883,53800
2006-11-15,34.434357,34.525139,34.434357,34.525139,15.154953,35100
2006-11-16,34.567039,34.748604,34.567039,34.748604,15.253043,155100
2006-11-17,34.748604,34.748604,34.748604,34.748604,15.253043,0
2006-11-20,34.860332,34.888268,34.853352,34.853352,15.299024,61600
2006-11-21,34.853352,34.853352,34.853352,34.853352,15.299024,43000
2006-11-22,34.881287,34.965084,34.881287,34.916203,15.326608,4300
2006-11-24,34.748604,34.748604,34.748604,34.748604,15.253043,100
2006-11-27,34.629887,34.629887,34.231842,34.231842,15.026207,75900
2006-11-28,34.203911,34.336590,34.127094,34.203911,15.013950,216500
2006-11-29,34.448326,34.581005,34.448326,34.581005,15.179477,86500
2006-11-30,34.581005,34.581005,34.560059,34.560059,15.170278,2900
2006-12-01,34.560059,34.560059,34.560059,34.560059,15.170278,0
2006-12-04,34.853352,34.979050,34.853352,34.979050,15.354196,26600
2006-12-05,35.020950,35.020950,35.020950,35.020950,15.372590,700
2006-12-06,35.069832,35.104748,35.069832,35.104748,15.409370,1900
2006-12-07,35.104748,35.104748,35.104748,35.104748,15.409370,0
2006-12-08,35.104748,35.104748,35.104748,35.104748,15.409370,0
2006-12-11,35.202515,35.202515,35.167599,35.167599,15.436966,90200
2006-12-12,35.188545,35.251396,35.188545,35.251396,15.473749,86300
2006-12-13,35.251396,35.251396,35.251396,35.251396,15.473749,0
2006-12-14,35.398045,35.446926,35.363129,35.405029,15.541185,3900
2006-12-15,35.579609,35.579609,35.530727,35.530727,15.596359,2700
2006-12-18,35.663406,35.663406,35.628490,35.649441,15.648468,2000
2006-12-19,35.481846,35.537708,35.481846,35.537708,15.599423,1900
2006-12-20,35.663406,35.663406,35.663406,35.663406,15.654598,100
2006-12-21,35.705307,35.705307,35.572624,35.572624,15.614752,1600
2006-12-22,35.384075,35.418995,35.384075,35.418995,15.547317,1300
2006-12-26,35.607544,35.607544,35.607544,35.607544,15.630076,6700
2006-12-27,35.705307,35.705307,35.705307,35.705307,15.748661,1400
2006-12-28,35.684357,35.684357,35.621506,35.621506,15.711697,8300
2006-12-29,35.453911,35.453911,35.453911,35.453911,15.637781,300
2007-01-03,35.831005,35.831005,35.649441,35.663406,15.730179,2100
2007-01-04,35.614525,35.621506,35.614525,35.621506,15.711697,1100
2007-01-05,35.621506,35.621506,35.621506,35.621506,15.711697,0
2007-01-08,35.328213,35.363129,35.328213,35.363129,15.597738,6200
2007-01-09,35.363129,35.363129,35.363129,35.363129,15.597738,0
2007-01-10,35.363129,35.363129,35.363129,35.363129,15.597738,0
2007-01-11,35.879890,35.879890,35.817039,35.817039,15.797940,11200
2007-01-12,35.803074,35.942738,35.803074,35.928772,15.847225,1300
2007-01-16,35.956703,36.019554,35.956703,35.998604,15.878025,900
2007-01-17,35.893856,35.914806,35.893856,35.907822,15.837985,1100
2007-01-18,35.865921,35.865921,35.837990,35.837990,15.807184,300
2007-01-19,35.768158,35.865921,35.768158,35.865921,15.819505,1300
2007-01-22,35.789104,35.789104,35.698322,35.698322,15.745585,1000
2007-01-23,35.698322,35.698322,35.698322,35.698322,15.745585,0
2007-01-24,36.075420,36.180168,36.075420,36.180168,15.958111,1000
2007-01-25,36.180168,36.180168,36.180168,36.180168,15.958111,0
2007-01-26,35.879890,35.879890,35.879890,35.879890,15.825668,2900
2007-01-29,35.879890,35.879890,35.879890,35.879890,15.825668,0
2007-01-30,35.879890,35.879890,35.879890,35.879890,15.825668,0
2007-01-31,35.998604,36.312851,35.998604,36.312851,16.016632,700
2007-02-01,36.361732,36.361732,36.361732,36.361732,16.038191,600
2007-02-02,36.655029,36.655029,36.655029,36.655029,16.167559,100
2007-02-05,36.592178,36.592178,36.592178,36.592178,16.139832,100
2007-02-06,36.592178,36.592178,36.592178,36.592178,16.139832,0
2007-02-07,36.592178,36.592178,36.592178,36.592178,16.139832,0
2007-02-08,36.878494,37.004192,36.878494,36.906422,16.278442,5300
2007-02-09,37.067039,37.067039,36.592178,36.592178,16.139832,1700
2007-02-12,36.592178,36.592178,36.592178,36.592178,16.139832,0
2007-02-13,36.717880,36.717880,36.717880,36.717880,16.195286,300
2007-02-14,37.018154,37.074024,36.997208,37.074024,16.352362,2000
2007-02-15,37.067039,37.101955,37.067039,37.094971,16.361610,400
2007-02-16,37.108936,37.108936,37.046089,37.067039,16.349285,1700
