Date,Open,High,Low,Close,Adj Close,Volume
2011-01-13,25.219999,25.219999,25.110001,25.150000,22.320204,12100
2011-01-14,25.150000,25.299999,25.139999,25.290001,22.444450,33100
2011-01-18,25.309999,25.459999,25.280001,25.459999,22.595318,28400
2011-01-19,25.510000,25.510000,25.059999,25.070000,22.249205,56000
2011-01-20,25.020000,25.020000,24.809999,24.889999,22.089455,16100
2011-01-21,25.090000,25.090000,24.870001,24.870001,22.071709,17200
2011-01-24,24.910000,25.129999,24.900000,25.100000,22.275824,39900
2011-01-25,25.010000,25.090000,24.910000,25.090000,22.266954,35900
2011-01-26,25.250000,25.410000,25.200001,25.379999,22.524330,40700
2011-01-27,25.360001,25.549999,25.360001,25.500000,22.630821,26800
2011-01-28,25.559999,25.590000,25.030001,25.049999,22.231459,111800
2011-01-31,25.219999,25.700001,25.150000,25.250000,22.408947,56700
2011-02-01,25.480000,25.670000,25.450001,25.660000,22.772818,140100
2011-02-02,25.590000,25.709999,25.570000,25.580000,22.701820,448200
2011-02-03,25.600000,25.709999,25.420000,25.680000,22.790569,32700
2011-02-04,25.740000,25.820000,25.660000,25.820000,22.914808,39800
2011-02-07,25.950001,26.120001,25.920000,26.040001,23.110065,100700
2011-02-08,26.090000,26.150000,25.980000,26.139999,23.198811,100800
2011-02-09,26.129999,26.150000,26.000000,26.049999,23.118935,55400
2011-02-10,25.969999,26.190001,25.930000,26.170000,23.225439,61500
2011-02-11,26.139999,26.469999,26.139999,26.450001,23.473934,77900
2011-02-14,26.520000,26.580000,26.459999,26.570000,23.580427,105100
2011-02-15,26.520000,26.540001,26.420000,26.440001,23.465057,84400
2011-02-16,26.570000,26.700001,26.570000,26.660000,23.660299,51900
2011-02-17,26.670000,26.840000,26.629999,26.799999,23.784550,68900
2011-02-18,26.889999,26.889999,26.719999,26.790001,23.775675,53400
2011-02-22,26.570000,26.600000,26.090000,26.129999,23.189932,77900
2011-02-23,26.150000,26.190001,25.520000,25.780001,22.879314,58200
2011-02-24,25.750000,25.950001,25.500000,25.790001,22.888187,75000
2011-02-25,25.969999,26.280001,25.959999,26.280001,23.323057,69400
2011-02-28,26.490000,26.490000,26.209999,26.350000,23.385181,44700
2011-03-01,26.500000,26.500000,25.870001,25.930000,23.012447,38000
2011-03-02,25.910000,26.170000,25.910000,26.070000,23.136681,20600
2011-03-03,26.370001,26.600000,26.370001,26.570000,23.580427,73600
2011-03-04,26.620001,26.620001,26.270000,26.430000,23.456184,49800
2011-03-07,26.650000,26.650000,25.980000,26.120001,23.181061,42900
2011-03-08,26.219999,26.469999,26.030001,26.379999,23.411808,24000
2011-03-09,26.370001,26.370001,26.200001,26.299999,23.340809,22100
2011-03-10,26.030001,26.030001,25.750000,25.840000,22.932564,97900
2011-03-11,25.600000,26.110001,25.600000,26.040001,23.110065,82400
2011-03-14,25.910000,25.930000,25.690001,25.870001,22.959192,37300
2011-03-15,25.320000,25.760000,25.070000,25.690001,22.799446,72900
2011-03-16,25.600000,25.750000,25.250000,25.330000,22.479948,98500
2011-03-17,25.730000,25.730000,25.420000,25.500000,22.630821,107200
2011-03-18,25.770000,25.770000,25.590000,25.620001,22.737322,97500
2011-03-21,25.940001,26.090000,25.889999,26.080000,23.197168,66800
2011-03-22,26.100000,26.129999,25.900000,25.930000,23.063761,36000
2011-03-23,25.920000,26.010000,25.719999,25.959999,23.090437,37800
2011-03-24,26.129999,26.240000,25.900000,26.209999,23.312798,44300
2011-03-25,26.320000,26.549999,26.230000,26.389999,23.472902,71100
2011-03-28,26.500000,26.500000,26.260000,26.270000,23.366169,223600
2011-03-29,26.270000,26.490000,26.150000,26.480000,23.552963,103700
2011-03-30,26.590000,26.809999,26.590000,26.770000,23.810904,82100
2011-03-31,26.770000,26.910000,26.730000,26.889999,23.917637,73400
2011-04-01,27.020000,27.110001,26.950001,27.020000,24.033270,62300
2011-04-04,27.150000,27.150000,27.030001,27.049999,24.059950,31600
2011-04-05,27.129999,27.340000,27.100000,27.219999,24.211155,29900
2011-04-06,27.440001,27.440001,27.150000,27.240000,24.228943,64500
2011-04-07,27.320000,27.320000,27.000000,27.100000,24.104424,78600
2011-04-08,27.270000,27.270000,26.770000,26.900000,23.926531,34300
2011-04-11,27.000000,27.000000,26.670000,26.719999,23.766426,25800
2011-04-12,26.600000,26.639999,26.400000,26.469999,23.544062,62400
2011-04-13,26.670000,26.700001,26.469999,26.559999,23.624113,28300
2011-04-14,26.410000,26.610001,26.370001,26.600000,23.659691,28200
2011-04-15,26.670000,26.830000,26.580000,26.799999,23.837584,27300
2011-04-18,26.540001,26.540001,26.240000,26.420000,23.499588,108100
2011-04-19,26.520000,26.559999,26.379999,26.559999,23.624113,50100
2011-04-20,27.030001,27.030001,26.900000,26.969999,23.988787,55100
2011-04-21,27.170000,27.190001,27.030001,27.190001,24.184479,55100
