Date,Open,High,Low,Close,Adj Close,Volume
2005-12-06,15.470000,15.690000,15.470000,15.600000,13.271982,343700
2005-12-07,15.600000,15.620000,15.420000,15.440000,13.135859,342800
2005-12-08,15.450000,15.580000,15.440000,15.520000,13.203923,354100
2005-12-09,15.590000,15.740000,15.470000,15.570000,13.246459,295000
2005-12-12,15.750000,15.800000,15.590000,15.670000,13.331534,315300
2005-12-13,15.670000,15.850000,15.650000,15.730000,13.382581,329600
2005-12-14,15.850000,15.850000,15.700000,15.810000,13.450645,299200
2005-12-15,15.840000,15.840000,15.690000,15.730000,13.382581,193100
2005-12-16,15.800000,15.810000,15.560000,15.580000,13.254969,205800
2005-12-19,15.590000,15.590000,15.360000,15.390000,13.093322,161200
2005-12-20,15.490000,15.500000,15.390000,15.460000,13.152872,130500
2005-12-21,15.510000,15.600000,15.500000,15.540000,13.220937,181800
2005-12-22,15.610000,15.660000,15.550000,15.650000,13.314523,112300
2005-12-23,15.680000,15.680000,15.560000,15.650000,13.314523,76200
2005-12-27,15.730000,15.730000,15.360000,15.430000,13.127351,229500
2005-12-28,15.440000,15.520000,15.380000,15.520000,13.203923,66600
2005-12-29,15.520000,15.520000,15.400000,15.410000,13.110334,62500
2005-12-30,15.300000,15.350000,15.250000,15.280000,12.999734,128300
2006-01-03,15.440000,15.710000,15.300000,15.670000,13.331534,206100
2006-01-04,15.750000,15.830000,15.650000,15.830000,13.467658,197900
2006-01-05,15.830000,15.950000,15.670000,15.750000,13.399596,145600
2006-01-06,15.960000,16.030001,15.850000,15.980000,13.595275,211600
2006-01-09,16.059999,16.110001,15.970000,16.049999,13.654829,153900
2006-01-10,15.990000,16.150000,15.960000,16.139999,13.731397,170700
2006-01-11,16.200001,16.209999,16.059999,16.150000,13.739902,194000
2006-01-12,16.180000,16.230000,16.010000,16.049999,13.654829,202100
2006-01-13,16.080000,16.110001,16.020000,16.090000,13.688857,163400
2006-01-17,16.110001,16.110001,15.980000,16.100000,13.697366,165000
2006-01-18,16.049999,16.049999,15.860000,15.990000,13.603784,140000
2006-01-19,16.150000,16.280001,16.049999,16.260000,13.833488,126800
2006-01-20,16.350000,16.389999,16.020000,16.020000,13.629304,219000
2006-01-23,16.080000,16.100000,15.970000,16.030001,13.637813,137100
2006-01-24,16.120001,16.200001,16.080000,16.170000,13.756921,99600
2006-01-25,16.299999,16.299999,15.910000,16.000000,13.612289,130800
2006-01-26,16.209999,16.340000,16.059999,16.320000,13.884537,207500
2006-01-27,16.450001,16.580000,16.330000,16.389999,13.944089,272900
2006-01-30,16.500000,16.620001,16.370001,16.570000,14.097227,224100
2006-01-31,16.650000,16.920000,16.469999,16.620001,14.139768,138000
2006-02-01,16.650000,16.730000,16.590000,16.629999,14.148275,145500
2006-02-02,16.629999,16.639999,16.260000,16.360001,13.918567,209000
2006-02-03,16.400000,16.400000,16.200001,16.280001,13.850504,174000
2006-02-06,16.450001,16.459999,16.320000,16.450001,13.995132,77400
2006-02-07,16.500000,16.500000,16.010000,16.020000,13.629304,148200
2006-02-08,16.090000,16.180000,15.850000,16.139999,13.731397,130600
2006-02-09,16.160000,16.260000,15.890000,15.920000,13.544228,121700
2006-02-10,15.960000,15.960000,15.560000,15.730000,13.382581,157100
2006-02-13,15.800000,15.800000,15.550000,15.620000,13.288998,125700
2006-02-14,15.530000,15.840000,15.500000,15.820000,13.459154,257500
2006-02-15,15.900000,15.970000,15.820000,15.910000,13.535719,495200
