Date,Open,High,Low,Close,Adj Close,Volume
2004-01-30,49.090000,49.299999,49.090000,49.200001,35.776081,1000
2004-02-02,49.450001,49.700001,49.000000,49.209999,35.783344,3100
2004-02-03,49.349998,49.490002,49.349998,49.450001,35.957867,2100
2004-02-04,49.150002,49.189999,48.400002,48.400002,35.194359,3100
2004-02-05,48.450001,48.849998,48.450001,48.560001,35.310699,1700
2004-02-06,49.240002,49.799999,49.240002,49.799999,36.212372,2900
2004-02-09,49.930000,50.020000,49.919998,49.919998,36.299633,7100
2004-02-10,49.950001,50.200001,49.849998,50.200001,36.503239,26000
2004-02-11,50.349998,50.730000,50.270000,50.730000,36.888630,6400
2004-02-12,50.650002,50.849998,50.549999,50.549999,36.757736,3500
2004-02-13,50.740002,50.740002,50.150002,50.200001,36.503239,10300
2004-02-17,50.549999,50.750000,50.410000,50.750000,36.903172,1700
2004-02-18,50.700001,50.799999,50.549999,50.549999,36.757736,6200
2004-02-19,50.770000,50.790001,50.000000,50.000000,36.357803,3200
2004-02-20,49.650002,50.150002,49.650002,50.150002,36.466881,1300
2004-02-23,50.000000,50.000000,49.330002,49.560001,36.037853,2100
2004-02-24,49.349998,49.610001,49.349998,49.570000,36.045124,800
2004-02-25,49.480000,49.900002,49.480000,49.900002,36.285088,4800
2004-02-26,50.290001,50.290001,50.180000,50.180000,36.488686,700
2004-02-27,50.290001,50.689999,50.290001,50.599998,36.794094,19300
2004-03-01,50.700001,51.259998,50.700001,51.259998,37.274014,8000
2004-03-02,51.330002,51.410000,51.139999,51.139999,37.186768,1800
2004-03-03,50.930000,51.020000,50.730000,51.020000,37.099499,1200
2004-03-04,51.250000,51.450001,51.119999,51.450001,37.412189,3900
2004-03-05,51.320000,51.939999,51.320000,51.790001,37.659416,2400
2004-03-08,51.919998,51.930000,51.369999,51.490002,37.441269,11500
2004-03-09,51.200001,51.200001,51.000000,51.000000,37.084965,1600
2004-03-10,51.000000,51.000000,50.209999,50.209999,36.510498,4700
2004-03-11,49.790001,50.459999,49.619999,49.619999,36.081478,3900
2004-03-12,49.919998,50.389999,49.919998,50.389999,36.641396,4300
2004-03-15,50.500000,50.500000,49.750000,49.750000,36.176018,4600
2004-03-16,50.070000,50.080002,49.360001,49.360001,35.892429,9300
2004-03-17,49.930000,50.509998,49.930000,50.459999,36.692303,2600
2004-03-18,50.220001,50.220001,50.160000,50.169998,36.481415,2700
2004-03-19,50.240002,50.450001,49.990002,49.990002,36.350525,2200
2004-03-22,49.630001,49.630001,49.250000,49.389999,35.914238,3900
2004-03-23,49.570000,49.709999,49.349998,49.650002,36.103298,6300
2004-03-24,49.480000,49.480000,49.110001,49.110001,35.710640,1500
2004-03-25,49.349998,49.880001,49.349998,49.880001,36.270535,3200
2004-03-26,49.849998,50.150002,49.849998,50.040001,36.386894,1200
2004-03-29,50.299999,50.669998,50.299999,50.610001,36.801369,2600
2004-03-30,50.730000,51.209999,50.730000,51.209999,37.237679,1200
2004-03-31,51.130001,51.410000,50.950001,51.410000,37.383095,3300
2004-04-01,51.869999,51.900002,51.650002,51.650002,37.557606,8000
2004-04-02,52.430000,52.430000,52.119999,52.290001,38.022995,12600
2004-04-05,52.220001,52.220001,51.639999,51.750000,37.630329,5800
2004-04-06,51.810001,51.810001,51.410000,51.599998,37.521255,5300
2004-04-07,51.450001,51.860001,51.450001,51.820000,37.681225,1500
2004-04-08,51.910000,51.910000,51.299999,51.419998,37.390354,4300
2004-04-12,51.400002,51.400002,50.889999,50.889999,37.004978,9600
2004-04-13,51.000000,51.000000,50.000000,50.000000,36.357803,5600
2004-04-14,49.619999,50.040001,49.340000,49.369999,35.899689,6000
2004-04-15,49.799999,49.980000,49.520000,49.700001,36.139668,2800
2004-04-16,49.950001,50.360001,49.740002,50.360001,36.619591,4900
2004-04-19,50.000000,50.340000,50.000000,50.340000,36.605038,2300
2004-04-20,50.580002,50.580002,49.549999,49.549999,36.030586,7200
2004-04-21,49.529999,49.860001,49.400002,49.860001,36.255997,3700
2004-04-22,50.070000,50.900002,50.070000,50.740002,36.895901,2800
2004-04-23,50.880001,50.880001,50.419998,50.580002,36.779564,5400
2004-04-26,50.750000,50.919998,50.549999,50.549999,36.757736,6700
2004-04-27,50.720001,50.740002,50.490002,50.529999,36.743191,6000
2004-04-28,50.250000,50.250000,49.619999,49.619999,36.081478,2400
2004-04-29,49.500000,49.500000,48.730000,48.730000,35.434311,3800
2004-04-30,49.200001,49.200001,48.500000,48.500000,35.267071,5600
2004-05-03,48.540001,49.020000,48.500000,48.869999,35.536106,4100
2004-05-04,49.150002,49.639999,49.130001,49.639999,36.096020,1400
2004-05-05,49.389999,49.560001,49.250000,49.250000,35.812435,3200
2004-05-06,48.779999,48.880001,48.400002,48.770000,35.463398,3000
2004-05-07,48.590000,48.590000,47.400002,47.400002,34.467201,5200
2004-05-10,46.360001,46.840000,46.230000,46.650002,33.921822,5400
2004-05-11,47.049999,47.270000,47.020000,47.040001,34.205414,2800
2004-05-12,47.049999,47.380001,46.389999,47.380001,34.452663,2000
2004-05-13,47.340000,47.490002,47.220001,47.250000,34.358139,4100
2004-05-14,47.200001,47.549999,47.099998,47.220001,34.336308,1200
2004-05-17,46.560001,46.750000,46.299999,46.639999,33.914558,4800
2004-05-18,46.810001,46.959999,46.810001,46.939999,34.132698,600
2004-05-19,47.770000,47.770000,46.900002,46.900002,34.103622,5200
2004-05-20,47.080002,47.080002,47.080002,47.080002,34.234505,400
2004-05-21,47.349998,47.430000,47.290001,47.430000,34.489010,900
2004-05-24,47.720001,47.910000,47.709999,47.910000,34.838043,1100
2004-05-25,47.900002,48.540001,47.900002,48.540001,35.296146,2500
2004-05-26,49.070000,49.209999,49.070000,49.130001,35.725182,7000
2004-05-27,49.500000,49.580002,49.099998,49.320000,35.863342,11100
2004-05-28,49.250000,49.560001,49.250000,49.500000,35.994228,6100
2004-06-01,49.500000,49.509998,49.279999,49.299999,35.848808,7400
2004-06-02,49.500000,49.700001,49.500000,49.700001,36.139668,2300
2004-06-03,49.500000,49.639999,49.250000,49.250000,35.812435,1900
2004-06-04,49.360001,49.660000,49.360001,49.419998,35.936047,2800
2004-06-07,49.599998,50.099998,49.599998,50.099998,36.430519,2100
2004-06-08,50.130001,50.230000,50.080002,50.220001,36.517788,2300
2004-06-09,50.270000,50.290001,49.750000,49.779999,36.197826,4500
2004-06-10,49.900002,49.900002,49.720001,49.770000,36.190556,2400
2004-06-14,49.750000,49.750000,49.139999,49.139999,35.732445,3500
2004-06-15,49.520000,49.910000,49.520000,49.910000,36.292358,5300
2004-06-16,49.799999,49.939999,49.799999,49.939999,36.314182,1100
2004-06-17,49.799999,50.009998,49.799999,50.009998,36.365067,2400
2004-06-18,50.299999,50.310001,50.299999,50.310001,36.583214,1200
2004-06-21,50.200001,50.509998,50.200001,50.349998,36.612316,2100
2004-06-22,50.480000,50.570000,50.480000,50.549999,36.757736,5700
2004-06-23,50.639999,50.939999,50.639999,50.939999,37.041328,3200
2004-06-24,51.220001,51.320000,51.000000,51.000000,37.084965,4500
2004-06-25,51.060001,51.380001,51.060001,51.070000,37.135872,2800
2004-06-28,51.549999,51.630001,51.360001,51.360001,37.346725,6000
2004-06-29,51.500000,51.639999,51.500000,51.570000,37.499439,2600
2004-06-30,51.810001,51.869999,51.610001,51.869999,37.717579,10500
2004-07-01,52.060001,52.060001,51.360001,51.520000,37.463078,23400
2004-07-02,51.439999,51.610001,51.439999,51.599998,37.521255,1600
2004-07-06,51.439999,51.439999,51.020000,51.160000,37.201298,25900
2004-07-07,51.240002,51.299999,51.200001,51.290001,37.295830,23000
2004-07-08,51.150002,51.150002,50.570000,50.570000,36.772282,4700
2004-07-09,50.700001,50.700001,50.520000,50.580002,36.779564,2800
2004-07-12,50.580002,50.669998,50.240002,50.669998,36.844994,5600
2004-07-13,50.790001,50.849998,50.700001,50.770000,36.917725,31400
2004-07-14,50.509998,50.919998,50.509998,50.580002,36.779564,10500
2004-07-15,50.689999,50.939999,50.689999,50.860001,36.983154,3200
2004-07-16,50.980000,50.980000,50.430000,50.430000,36.670479,4300
2004-07-19,50.450001,50.680000,50.360001,50.680000,36.852276,2100
2004-07-20,50.650002,51.029999,50.630001,51.029999,37.106758,14400
2004-07-21,51.150002,51.209999,50.090000,50.090000,36.423248,6300
2004-07-22,50.020000,50.020000,49.450001,49.860001,36.255997,6000
2004-07-23,49.439999,49.529999,49.320000,49.439999,35.950588,3800
2004-07-26,49.439999,49.439999,48.709999,48.820000,35.499760,7100
2004-07-27,49.090000,49.580002,49.049999,49.549999,36.030586,1900
2004-07-28,49.299999,49.410000,48.910000,48.910000,35.565208,1800
2004-07-29,49.779999,49.869999,49.680000,49.869999,36.263268,8100
2004-07-30,49.970001,50.139999,49.919998,50.049999,36.394161,6200
2004-08-02,49.959999,50.270000,49.959999,50.270000,36.554138,7300
2004-08-03,50.099998,50.139999,50.080002,50.080002,36.415989,5000
2004-08-04,49.520000,49.980000,49.459999,49.980000,36.343254,1800
2004-08-05,49.900002,49.900002,49.110001,49.110001,35.710640,6800
2004-08-06,48.509998,48.740002,48.250000,48.270000,35.099823,8200
2004-08-09,48.500000,48.500000,48.150002,48.150002,35.012566,2600
2004-08-10,48.840000,49.110001,48.840000,49.099998,35.703369,5600
2004-08-11,48.349998,48.939999,48.349998,48.939999,35.587025,8700
2004-08-12,48.400002,48.580002,48.310001,48.310001,35.128906,1400
2004-08-13,48.490002,48.490002,48.230000,48.250000,35.085281,3200
2004-08-16,48.419998,49.169998,48.419998,49.169998,35.754257,5700
2004-08-17,49.419998,49.419998,49.230000,49.230000,35.797901,4700
2004-08-18,49.560001,49.860001,49.560001,49.860001,36.255997,7900
2004-08-19,49.939999,49.959999,49.720001,49.720001,36.154198,600
2004-08-20,50.020000,50.290001,49.990002,50.290001,36.568680,2000
2004-08-23,50.599998,50.599998,50.240002,50.340000,36.605038,6900
2004-08-24,50.500000,50.500000,50.150002,50.320000,36.590500,2600
2004-08-25,50.320000,50.630001,50.320000,50.590000,36.786827,2100
2004-08-26,50.619999,50.639999,50.590000,50.639999,36.823181,1000
2004-08-27,50.750000,50.790001,50.730000,50.779999,36.924984,6400
2004-08-30,50.750000,50.810001,50.480000,50.490002,36.714111,2400
2004-08-31,50.560001,50.669998,50.340000,50.669998,36.844994,5600
2004-09-01,51.099998,51.099998,50.889999,50.910000,37.019501,2900
2004-09-02,51.169998,51.500000,51.080002,51.500000,37.448547,13800
2004-09-03,51.639999,51.639999,51.400002,51.570000,37.499439,6000
2004-09-07,51.950001,52.099998,51.849998,52.020000,37.826653,13800
2004-09-08,52.060001,52.180000,51.869999,51.889999,37.732128,4700
2004-09-09,51.880001,52.310001,51.880001,52.049999,37.848476,7700
2004-09-10,52.049999,52.259998,51.980000,52.180000,37.943008,4200
2004-09-13,52.400002,52.490002,52.220001,52.220001,37.972092,18200
2004-09-14,52.090000,52.090000,51.889999,52.080002,37.870281,8600
2004-09-15,51.910000,51.980000,51.910000,51.980000,37.797565,1400
2004-09-16,52.169998,52.490002,52.169998,52.490002,38.168430,18100
2004-09-17,52.480000,52.540001,52.320000,52.509998,38.182961,3500
2004-09-20,52.349998,52.439999,52.250000,52.310001,38.037540,5100
2004-09-21,52.400002,52.720001,52.400002,52.669998,38.299309,2600
2004-09-22,52.220001,52.220001,51.930000,51.970001,37.790295,6500
2004-09-23,51.930000,51.980000,51.709999,51.980000,37.797565,14500
2004-09-24,51.860001,52.009998,51.860001,51.919998,37.753941,3300
2004-09-27,51.650002,51.650002,51.279999,51.279999,37.288555,1500
2004-09-28,51.360001,51.580002,51.310001,51.580002,37.506710,10400
2004-09-29,52.070000,52.139999,52.000000,52.000000,37.812107,3200
2004-09-30,52.130001,52.470001,52.130001,52.439999,38.132072,5800
2004-10-01,52.709999,53.270000,52.660000,53.270000,38.735607,5200
2004-10-04,53.689999,53.900002,53.540001,53.590000,38.968285,8300
2004-10-05,53.599998,53.660000,53.470001,53.500000,38.902840,7300
2004-10-06,53.599998,54.000000,53.599998,54.000000,39.266426,6700
2004-10-07,53.759998,53.770000,53.310001,53.310001,38.764687,4400
2004-10-08,53.349998,53.349998,52.910000,52.910000,38.473843,6900
2004-10-11,52.930000,52.930000,52.759998,52.849998,38.430199,4600
2004-10-12,52.520000,53.009998,52.520000,53.009998,38.546547,4300
2004-10-13,53.200001,53.200001,52.290001,52.340000,38.059357,6000
2004-10-14,52.009998,52.110001,51.939999,51.990002,37.804863,3400
2004-10-15,52.099998,52.459999,52.099998,52.430000,38.124790,2600
2004-10-18,52.290001,52.520000,52.099998,52.520000,38.190235,8400
