Date,Open,High,Low,Close,Adj Close,Volume
2004-01-30,49.520000,49.959999,49.520000,49.869999,36.214241,416600
2004-02-02,49.980000,50.380001,49.889999,50.090000,36.373989,2300
2004-02-03,50.049999,50.169998,50.009998,50.139999,36.410309,1400
2004-02-04,49.919998,49.919998,49.680000,49.680000,36.076271,3400
2004-02-05,49.660000,49.770000,49.490002,49.770000,36.141636,1000
2004-02-06,49.900002,50.470001,49.900002,50.430000,36.620907,2700
2004-02-09,50.509998,50.580002,50.509998,50.509998,36.678997,16700
2004-02-10,50.529999,50.529999,50.419998,50.529999,36.693512,800
2004-02-11,50.880001,51.169998,50.880001,51.150002,37.143742,3900
2004-02-12,51.119999,51.130001,50.950001,50.950001,36.998520,2200
2004-02-13,51.209999,51.310001,50.980000,51.020000,37.049328,1500
2004-02-17,51.270000,51.459999,51.270000,51.380001,37.310768,9400
2004-02-18,51.349998,51.389999,51.150002,51.180000,37.165535,2500
2004-02-19,51.290001,51.330002,51.119999,51.119999,37.121971,3000
2004-02-20,51.000000,51.139999,50.750000,51.139999,37.136486,1200
2004-02-23,51.020000,51.020000,50.910000,51.000000,37.034824,2400
2004-02-24,50.849998,50.910000,50.730000,50.730000,36.838749,600
2004-02-25,50.750000,50.930000,50.750000,50.930000,36.983990,500
2004-02-26,50.900002,50.900002,50.900002,50.900002,36.962204,100
2004-02-27,51.150002,51.320000,51.150002,51.320000,37.267189,2400
2004-03-01,51.450001,51.650002,51.450001,51.630001,37.492306,800
2004-03-02,51.619999,51.619999,51.500000,51.500000,37.397903,1700
2004-03-03,51.410000,51.730000,51.389999,51.650002,37.506828,2200
2004-03-04,51.630001,51.630001,51.630001,51.630001,37.492306,200
2004-03-05,51.680000,52.250000,51.680000,52.250000,37.942535,1000
2004-03-08,52.180000,52.259998,52.000000,52.000000,37.760986,4900
2004-03-09,51.599998,51.599998,51.470001,51.590000,37.463272,900
2004-03-10,51.529999,51.529999,51.320000,51.320000,37.267189,2600
2004-03-11,50.750000,51.009998,50.169998,50.169998,36.432083,2600
2004-03-12,50.660000,50.660000,50.570000,50.570000,36.722569,700
2004-03-15,50.610001,50.610001,50.000000,50.049999,36.344963,2000
2004-03-16,50.349998,50.360001,50.330002,50.330002,36.548279,1300
2004-03-17,50.790001,51.139999,50.790001,51.139999,37.136486,3300
2004-03-18,50.950001,51.169998,50.700001,51.169998,37.158257,1400
2004-03-19,50.669998,50.669998,50.669998,50.669998,36.795181,100
2004-03-22,50.290001,50.290001,49.880001,49.990002,36.301395,2400
2004-03-23,50.220001,50.250000,50.040001,50.150002,36.417580,1700
2004-03-24,49.750000,49.750000,49.750000,49.750000,36.127113,100
2004-03-25,49.869999,50.279999,49.799999,50.279999,36.511990,5000
2004-03-26,50.150002,50.290001,50.150002,50.290001,36.519238,700
2004-03-29,50.450001,50.770000,50.439999,50.759998,36.860538,800
2004-03-30,51.009998,51.060001,51.000000,51.000000,37.034824,800
2004-03-31,50.810001,51.040001,50.810001,51.040001,37.063858,7900
2004-04-01,51.450001,51.590000,51.450001,51.580002,37.456009,2400
2004-04-02,51.889999,51.889999,51.060001,51.060001,37.078400,3300
2004-04-05,50.900002,51.130001,50.900002,51.130001,37.129211,3400
2004-04-06,51.009998,51.009998,51.009998,51.009998,37.042065,100
2004-04-07,50.830002,50.830002,50.810001,50.810001,36.896843,600
2004-04-08,51.189999,51.189999,50.799999,50.799999,36.889595,300
2004-04-12,51.060001,51.090000,50.730000,50.730000,36.838749,9000
2004-04-13,50.790001,50.790001,50.070000,50.070000,36.359470,1800
2004-04-14,49.580002,49.750000,48.980000,48.980000,35.567951,2700
2004-04-15,49.299999,49.299999,49.020000,49.020000,35.596996,2300
2004-04-16,49.410000,49.410000,49.410000,49.410000,35.880199,200
2004-04-19,49.549999,49.549999,49.160000,49.419998,35.887470,1500
2004-04-20,49.580002,49.580002,48.759998,48.759998,35.408188,2700
2004-04-21,48.320000,48.619999,48.320000,48.619999,35.306530,1200
2004-04-22,48.549999,48.799999,48.549999,48.799999,35.437237,300
2004-04-23,49.049999,49.189999,49.049999,49.180000,35.713177,4900
2004-04-26,49.150002,49.150002,49.020000,49.020000,35.596996,1700
2004-04-27,49.009998,49.310001,49.009998,49.209999,35.734962,1600
2004-04-28,48.619999,48.619999,48.500000,48.500000,35.219387,900
2004-04-29,48.599998,48.689999,48.400002,48.430000,35.168560,1000
2004-04-30,48.000000,48.000000,48.000000,48.000000,34.856293,300
2004-05-03,48.360001,48.450001,48.360001,48.450001,35.183071,2300
2004-05-04,48.439999,49.160000,48.439999,49.160000,35.698669,700
2004-05-05,49.160000,49.160000,49.160000,49.160000,35.698669,0
2004-05-06,48.459999,48.459999,48.220001,48.220001,35.016048,1500
2004-05-07,48.000000,48.000000,47.630001,47.630001,34.587624,300
2004-05-10,46.759998,46.759998,46.209999,46.619999,33.854179,9700
2004-05-11,46.680000,47.080002,46.680000,46.959999,34.101078,26200
2004-05-12,46.959999,46.959999,46.959999,46.959999,34.101078,0
2004-05-13,47.380001,47.959999,47.380001,47.959999,34.827263,200
2004-05-14,47.770000,47.770000,47.529999,47.730000,34.660233,1900
2004-05-17,47.139999,47.139999,46.730000,47.099998,34.202747,1800
2004-05-18,47.480000,47.540001,47.480000,47.540001,34.522255,300
2004-05-19,47.869999,48.099998,47.669998,47.669998,34.616657,2100
