Date,Open,High,Low,Close,Adj Close,Volume
2009-11-23,50.110001,50.150002,50.099998,50.150002,40.740715,2000
2009-11-24,50.189999,50.230000,50.180000,50.220001,40.797573,11400
2009-11-25,50.250000,50.250000,50.220001,50.230000,40.805695,15600
2009-11-27,50.290001,50.310001,50.290001,50.310001,40.870670,600
2009-11-30,50.320000,50.389999,50.320000,50.389999,40.935665,2400
2009-12-01,50.380001,50.380001,50.299999,50.299999,40.862568,4400
2009-12-02,50.270000,50.299999,50.250000,50.250000,40.821941,4900
2009-12-03,50.200001,50.310001,50.189999,50.200001,40.781307,57400
2009-12-04,50.110001,50.150002,50.060001,50.150002,40.740715,2500
2009-12-07,50.189999,50.250000,50.189999,50.250000,40.821941,3700
2009-12-08,50.270000,50.290001,50.259998,50.290001,40.854427,24900
2009-12-09,50.259998,50.299999,50.259998,50.259998,40.830051,27200
2009-12-10,50.200001,50.240002,50.200001,50.220001,40.797573,2000
2009-12-11,50.150002,50.189999,50.150002,50.189999,40.773197,700
2009-12-14,50.180000,50.209999,50.169998,50.169998,40.756966,2300
2009-12-15,50.090000,50.110001,50.009998,50.090000,40.691944,6100
2009-12-16,50.130001,50.130001,50.060001,50.119999,40.716324,5000
2009-12-17,50.209999,50.279999,50.209999,50.279999,40.846313,2900
2009-12-18,50.139999,50.150002,50.139999,50.150002,40.740715,16200
2009-12-21,50.220001,50.220001,49.950001,49.950001,40.578228,7900
2009-12-22,49.869999,49.889999,49.810001,49.810001,40.464485,5500
2009-12-23,49.810001,49.880001,49.810001,49.880001,40.521355,1400
2009-12-24,49.709999,49.720001,49.650002,49.689999,40.446468,3300
2009-12-28,49.689999,49.689999,49.560001,49.570000,40.348797,400
2009-12-29,49.650002,49.660000,49.650002,49.660000,40.422047,900
2009-12-30,49.669998,49.680000,49.669998,49.680000,40.438332,400
2009-12-31,49.570000,49.590000,49.549999,49.549999,40.332508,3000
2010-01-04,49.689999,49.700001,49.689999,49.700001,40.454594,800
