Date,Open,High,Low,Close,Adj Close,Volume
2004-01-30,49.099998,49.389999,49.099998,49.349998,39.908825,10700
2004-02-02,49.529999,49.790001,49.250000,49.709999,40.199959,8100
2004-02-03,49.480000,49.599998,49.439999,49.509998,40.038219,4100
2004-02-04,49.299999,49.299999,48.959999,48.959999,39.593433,2600
2004-02-05,49.000000,49.150002,49.000000,49.090000,39.698566,700
2004-02-06,49.389999,49.939999,49.389999,49.939999,40.385956,5400
2004-02-09,50.099998,50.110001,50.000000,50.020000,40.450661,11400
2004-02-10,50.130001,50.240002,50.099998,50.139999,40.547691,2400
2004-02-11,50.220001,50.700001,50.150002,50.700001,41.000561,3800
2004-02-12,50.700001,50.740002,50.610001,50.639999,40.952038,7700
2004-02-13,50.680000,50.680000,50.119999,50.119999,40.531513,9100
2004-02-17,50.419998,50.860001,50.419998,50.840000,41.113777,4600
2004-02-18,50.860001,50.860001,50.500000,50.500000,40.838810,5400
2004-02-19,50.919998,50.919998,50.299999,50.299999,40.677078,5400
2004-02-20,49.869999,50.000000,49.680000,50.000000,40.434467,5100
2004-02-23,50.080002,50.080002,49.590000,49.590000,40.102921,2700
2004-02-24,49.349998,49.660000,49.290001,49.500000,40.030140,5000
2004-02-25,49.680000,49.939999,49.680000,49.939999,40.385956,2700
2004-02-26,49.810001,50.279999,49.810001,50.220001,40.612396,2000
2004-02-27,50.430000,50.669998,50.250000,50.669998,40.976299,5300
2004-03-01,50.919998,51.250000,50.830002,51.200001,41.404911,123100
2004-03-02,51.270000,51.310001,51.000000,51.000000,41.243176,6400
2004-03-03,50.959999,50.959999,50.869999,50.869999,41.138035,1800
2004-03-04,51.009998,51.230000,51.009998,51.200001,41.404911,4300
2004-03-05,51.020000,51.470001,51.000000,51.470001,41.623253,2900
2004-03-08,51.450001,51.450001,50.750000,50.750000,41.041000,7500
2004-03-09,50.820000,50.820000,50.340000,50.340000,40.709427,7100
2004-03-10,50.410000,50.410000,49.450001,49.450001,39.989712,4000
2004-03-11,49.439999,49.669998,48.919998,48.919998,39.561092,5100
2004-03-12,49.090000,49.529999,49.070000,49.520000,40.046310,3900
2004-03-15,49.580002,49.580002,48.900002,48.900002,39.544926,5300
2004-03-16,49.160000,49.230000,48.770000,49.070000,39.682392,4200
2004-03-17,49.430000,49.849998,49.430000,49.840000,40.305096,4600
2004-03-18,49.700001,49.720001,49.470001,49.500000,40.030140,2500
2004-03-19,49.700001,49.790001,49.349998,49.349998,39.908825,2500
2004-03-22,48.919998,48.919998,48.500000,48.549999,39.261879,5200
2004-03-23,48.799999,48.799999,48.470001,48.680000,39.367012,2300
2004-03-24,48.599998,48.630001,48.340000,48.340000,39.092045,3200
2004-03-25,48.689999,49.200001,48.689999,49.200001,39.787529,600
2004-03-26,49.380001,49.610001,49.380001,49.419998,39.965435,3600
2004-03-29,49.650002,50.020000,49.650002,49.830002,40.296997,5400
2004-03-30,49.930000,50.320000,49.900002,50.320000,40.693260,2900
2004-03-31,50.320000,50.540001,50.220001,50.540001,40.871166,5800
2004-04-01,50.669998,50.770000,50.590000,50.639999,40.952038,1800
2004-04-02,51.299999,51.299999,51.070000,51.150002,41.364483,4800
2004-04-05,51.180000,51.240002,51.110001,51.200001,41.404911,4800
2004-04-06,51.099998,51.230000,51.000000,51.049999,41.283604,5900
2004-04-07,50.860001,50.910000,50.849998,50.910000,41.170399,1500
2004-04-08,51.340000,51.340000,50.799999,50.869999,41.138035,3900
2004-04-12,51.029999,51.049999,50.750000,50.869999,41.138035,4000
2004-04-13,51.060001,51.060001,50.000000,50.060001,40.483006,4900
2004-04-14,49.880001,50.169998,49.619999,49.849998,40.313179,3800
2004-04-15,49.580002,49.810001,49.580002,49.810001,40.280834,700
2004-04-16,49.799999,50.060001,49.540001,50.020000,40.450661,2800
2004-04-19,49.799999,49.889999,49.799999,49.830002,40.296997,1900
2004-04-20,50.209999,50.369999,49.500000,49.520000,40.046310,5800
2004-04-21,49.360001,49.740002,49.330002,49.740002,40.224220,4000
2004-04-22,49.919998,50.630001,49.919998,50.580002,40.903519,2900
2004-04-23,50.560001,50.630001,50.349998,50.509998,40.846912,4300
2004-04-26,50.560001,50.750000,50.450001,50.450001,40.798386,21700
2004-04-27,50.500000,50.580002,50.320000,50.320000,40.693260,3000
2004-04-28,50.200001,50.200001,49.590000,49.630001,40.135262,6000
2004-04-29,49.000000,49.000000,48.599998,48.759998,39.431709,2000
2004-04-30,48.880001,48.880001,48.330002,48.389999,39.132481,1800
2004-05-03,48.400002,48.860001,48.400002,48.700001,39.383183,3900
2004-05-04,48.799999,49.180000,48.799999,48.939999,39.577271,2200
2004-05-05,48.980000,49.160000,48.980000,49.160000,39.755177,1700
2004-05-06,48.799999,48.860001,48.369999,48.490002,39.213360,2900
2004-05-07,48.570000,48.759998,47.770000,47.889999,38.728130,3900
2004-05-10,47.500000,47.500000,46.740002,46.860001,37.895199,7300
2004-05-11,47.130001,47.590000,47.130001,47.459999,38.380398,2200
2004-05-12,47.439999,47.619999,46.630001,47.619999,38.509796,2700
2004-05-13,47.610001,47.669998,47.610001,47.660000,38.542137,700
2004-05-14,47.689999,47.740002,47.689999,47.740002,38.606842,300
2004-05-17,47.020000,47.189999,46.919998,46.930000,37.951805,2100
2004-05-18,47.200001,47.419998,47.200001,47.340000,38.283363,1800
2004-05-19,47.970001,48.169998,47.630001,47.630001,38.517887,3200
2004-05-20,47.369999,47.369999,47.270000,47.299999,38.251019,700
2004-05-21,47.529999,47.700001,47.419998,47.529999,38.437016,11700
2004-05-24,47.959999,47.959999,47.820000,47.930000,38.760487,5900
2004-05-25,47.910000,48.799999,47.910000,48.799999,39.464039,2400
2004-05-26,49.020000,49.160000,49.020000,49.040001,39.658134,1000
2004-05-27,49.470001,49.540001,49.090000,49.279999,39.852222,2800
2004-05-28,49.419998,49.639999,49.419998,49.639999,40.143349,2600
2004-06-01,49.630001,49.650002,49.520000,49.549999,40.070564,1900
2004-06-02,49.840000,49.869999,49.560001,49.799999,40.272739,7400
2004-06-03,49.520000,49.560001,49.360001,49.360001,39.916916,2100
2004-06-04,49.529999,49.700001,49.480000,49.660000,40.159531,6200
2004-06-07,49.779999,50.180000,49.779999,50.180000,40.580044,1500
2004-06-08,50.220001,50.279999,50.139999,50.259998,40.644730,1700
2004-06-09,50.259998,50.259998,49.869999,49.869999,40.329361,800
2004-06-10,49.740002,49.959999,49.740002,49.849998,40.313179,4600
2004-06-14,49.779999,49.779999,49.320000,49.349998,39.908825,4500
2004-06-15,49.650002,49.930000,49.599998,49.669998,40.167599,5500
2004-06-16,49.669998,49.669998,49.669998,49.669998,40.167599,0
2004-06-17,49.590000,49.750000,49.590000,49.750000,40.232307,400
2004-06-18,49.840000,50.009998,49.840000,49.919998,40.369781,2100
2004-06-21,49.990002,50.029999,49.900002,49.900002,40.353611,12900
2004-06-22,49.770000,50.119999,49.689999,50.119999,40.531513,16600
2004-06-23,49.950001,50.480000,49.950001,50.480000,40.822651,4100
2004-06-24,50.619999,50.799999,50.619999,50.799999,41.081425,2300
2004-06-25,50.750000,50.750000,50.549999,50.619999,40.935875,2300
2004-06-28,50.939999,50.939999,50.709999,50.709999,41.008644,2600
2004-06-29,50.709999,50.709999,50.709999,50.709999,41.008644,0
2004-06-30,50.619999,50.630001,50.549999,50.630001,40.943954,1500
2004-07-01,50.630001,50.630001,50.279999,50.450001,40.798386,5800
2004-07-02,50.250000,50.290001,50.250000,50.259998,40.644730,900
2004-07-06,50.029999,50.029999,49.669998,49.680000,40.175682,3900
2004-07-07,49.480000,49.919998,49.480000,49.660000,40.159531,2300
2004-07-08,49.500000,49.560001,49.250000,49.250000,39.827953,900
2004-07-09,49.380001,49.380001,49.160000,49.160000,39.755177,700
2004-07-12,49.380001,49.380001,48.939999,49.250000,39.827953,2400
2004-07-13,49.250000,49.250000,49.250000,49.250000,39.827953,0
2004-07-14,49.099998,49.099998,49.099998,49.099998,39.706657,200
2004-07-15,49.290001,49.349998,49.240002,49.349998,39.908825,3700
2004-07-16,49.410000,49.490002,49.080002,49.080002,39.690495,5600
2004-07-19,49.090000,49.090000,48.910000,49.040001,39.658134,3900
2004-07-20,49.090000,49.279999,48.959999,49.279999,39.852222,2200
2004-07-21,49.700001,49.700001,48.450001,48.450001,39.181007,4900
2004-07-22,48.439999,48.549999,48.230000,48.369999,39.116325,3100
2004-07-23,48.000000,48.189999,47.900002,48.090000,38.889874,5800
2004-07-26,48.130001,48.130001,47.560001,47.580002,38.477451,3500
2004-07-27,47.630001,47.860001,47.630001,47.860001,38.703888,1700
2004-07-28,47.709999,47.709999,47.500000,47.500000,38.412754,1000
2004-07-29,48.290001,48.570000,48.230000,48.570000,39.278042,1800
2004-07-30,48.480000,48.669998,48.480000,48.669998,39.358913,2000
2004-08-02,48.330002,48.669998,48.279999,48.669998,39.358913,5600
2004-08-03,48.580002,48.590000,48.340000,48.340000,39.092045,1000
2004-08-04,48.099998,48.259998,47.930000,48.169998,38.954578,2000
2004-08-05,48.169998,48.180000,47.330002,47.410000,38.339977,2600
2004-08-06,47.000000,47.000000,46.509998,46.549999,37.644501,12200
2004-08-09,46.759998,46.759998,46.630001,46.630001,37.709206,5200
2004-08-10,46.820000,47.150002,46.820000,47.029999,38.032669,9000
2004-08-11,46.900002,46.990002,46.869999,46.869999,37.903278,2200
2004-08-12,46.630001,46.630001,46.380001,46.380001,37.507030,5700
2004-08-13,46.400002,46.470001,46.290001,46.290001,37.434242,1400
2004-08-16,46.599998,46.599998,46.599998,46.599998,37.684929,5100
2004-08-17,47.389999,47.450001,47.389999,47.400002,38.331890,1900
2004-08-18,47.330002,48.040001,47.330002,48.040001,38.849442,14500
2004-08-19,47.840000,47.970001,47.740002,47.740002,38.606842,4900
2004-08-20,47.740002,48.340000,47.740002,48.340000,39.092045,1200
2004-08-23,48.450001,48.450001,48.209999,48.209999,38.986919,5600
2004-08-24,48.450001,48.450001,48.029999,48.130001,38.922230,2000
2004-08-25,48.209999,48.560001,48.200001,48.560001,39.269974,1100
2004-08-26,48.590000,48.660000,48.490002,48.660000,39.350842,2600
2004-08-27,48.709999,48.889999,48.709999,48.889999,39.536831,1600
2004-08-30,48.799999,48.799999,48.490002,48.570000,39.278042,1300
2004-08-31,48.500000,48.549999,48.360001,48.360001,39.108219,3700
2004-09-01,48.889999,48.930000,48.740002,48.869999,39.520653,3000
2004-09-02,48.990002,49.380001,48.990002,49.380001,39.933105,1300
2004-09-03,49.259998,49.279999,49.189999,49.279999,39.852222,900
2004-09-07,49.619999,49.740002,49.560001,49.590000,40.102921,2900
2004-09-08,49.599998,49.599998,49.360001,49.360001,39.916916,1300
2004-09-09,49.369999,49.560001,49.340000,49.560001,40.078655,1200
2004-09-10,49.660000,49.830002,49.660000,49.830002,40.296997,500
2004-09-13,49.930000,50.200001,49.930000,49.980000,40.418304,13400
2004-09-14,50.160000,50.160000,49.980000,50.090000,40.507256,2700
2004-09-15,49.900002,49.900002,49.779999,49.779999,40.256557,1800
2004-09-16,49.950001,50.200001,49.950001,50.080002,40.499176,1500
2004-09-17,50.279999,50.320000,50.240002,50.240002,40.628563,800
2004-09-20,50.150002,50.290001,50.110001,50.110001,40.523441,900
2004-09-21,50.220001,50.490002,50.189999,50.490002,40.830742,5100
2004-09-22,50.279999,50.279999,50.000000,50.009998,40.442566,5300
2004-09-23,50.000000,50.000000,49.799999,49.939999,40.385956,3500
2004-09-24,49.959999,50.070000,49.950001,49.990002,40.426384,2300
2004-09-27,49.639999,49.790001,49.639999,49.750000,40.232307,6300
2004-09-28,49.750000,49.950001,49.750000,49.950001,40.394047,700
2004-09-29,50.090000,50.130001,50.009998,50.130001,40.539604,7700
2004-09-30,50.270000,50.400002,50.160000,50.400002,40.757969,400
2004-10-01,50.990002,51.259998,50.990002,51.200001,41.404911,3500
2004-10-04,51.580002,51.759998,51.520000,51.590000,41.720287,14600
2004-10-05,51.400002,51.470001,51.250000,51.340000,41.518135,3100
