Date,Open,High,Low,Close,Adj Close,Volume
2004-01-30,49.459999,49.459999,49.340000,49.450001,36.734909,117500
2004-02-02,49.619999,49.950001,49.439999,49.500000,36.772068,6600
2004-02-03,49.619999,49.709999,49.610001,49.660000,36.890930,5800
2004-02-04,49.450001,49.500000,49.200001,49.330002,36.645775,4400
2004-02-05,49.360001,49.450001,49.150002,49.380001,36.682922,7500
2004-02-06,49.349998,49.950001,49.349998,49.950001,37.106377,23600
2004-02-09,49.950001,50.009998,49.880001,49.880001,37.054352,7000
2004-02-10,49.849998,50.119999,49.849998,50.090000,37.210365,23700
2004-02-11,50.080002,50.660000,49.990002,50.639999,37.618942,96400
2004-02-12,50.560001,50.610001,50.400002,50.419998,37.455524,405200
2004-02-13,50.549999,50.610001,50.099998,50.130001,37.240086,203600
2004-02-17,50.570000,50.650002,50.509998,50.650002,37.626362,4900
2004-02-18,50.650002,50.650002,50.400002,50.470001,37.492664,8500
2004-02-19,50.750000,50.750000,50.500000,50.500000,37.514938,2800
2004-02-20,50.000000,50.040001,49.880001,50.040001,37.173210,3000
2004-02-23,50.200001,50.200001,49.750000,49.820000,37.009792,5800
2004-02-24,49.840000,50.020000,49.709999,49.830002,37.017220,3500
2004-02-25,49.900002,49.990002,49.830002,49.990002,37.136078,2500
2004-02-26,49.880001,50.080002,49.880001,50.080002,37.202927,6200
2004-02-27,50.200001,50.330002,50.180000,50.180000,37.277225,2800
2004-03-01,50.389999,50.660000,50.340000,50.660000,37.633793,2400
2004-03-02,50.650002,50.650002,50.389999,50.490002,37.507511,2200
2004-03-03,50.169998,50.330002,50.169998,50.330002,37.388657,1300
2004-03-04,50.500000,50.630001,50.450001,50.590000,37.581814,11700
2004-03-05,50.400002,50.919998,50.400002,50.799999,37.737820,2600
2004-03-08,50.790001,50.790001,50.430000,50.430000,37.462940,6700
2004-03-09,50.150002,50.150002,50.000000,50.070000,37.195503,8400
2004-03-10,50.049999,50.049999,49.299999,49.360001,36.668079,6600
2004-03-11,49.330002,49.349998,48.750000,48.790001,36.244625,3700
2004-03-12,48.860001,49.110001,48.790001,49.000000,36.400642,3400
2004-03-15,49.049999,49.049999,48.430000,48.450001,35.992046,14000
2004-03-16,48.799999,48.799999,48.450001,48.470001,36.006912,5500
2004-03-17,49.070000,49.389999,49.070000,49.389999,36.690365,24300
2004-03-18,49.150002,49.209999,48.860001,49.209999,36.556633,9100
2004-03-19,49.209999,49.209999,48.750000,48.750000,36.214924,19200
2004-03-22,48.400002,48.400002,47.740002,48.080002,35.717209,17100
2004-03-23,48.160000,48.250000,47.950001,48.180000,35.791477,11500
2004-03-24,47.799999,48.009998,47.799999,48.000000,35.657772,19800
2004-03-25,48.099998,48.610001,48.080002,48.540001,36.058929,47700
2004-03-26,48.599998,48.750000,48.599998,48.669998,36.155479,60800
2004-03-29,48.900002,49.070000,48.779999,48.980000,36.490734,99700
2004-03-30,49.090000,49.220001,48.980000,49.220001,36.669552,32500
2004-03-31,49.169998,49.419998,49.169998,49.200001,36.654655,49000
2004-04-01,49.450001,49.639999,49.450001,49.549999,36.915413,62000
2004-04-02,49.950001,50.099998,49.790001,49.930000,37.198505,34000
2004-04-05,50.049999,50.220001,49.910000,50.220001,37.414558,31500
2004-04-06,50.000000,50.180000,49.980000,50.160000,37.369854,24900
2004-04-07,49.849998,49.910000,49.810001,49.889999,37.168705,25500
2004-04-08,49.889999,50.049999,49.770000,49.860001,37.146362,37800
2004-04-12,50.099998,50.099998,50.009998,50.009998,37.258102,4500
2004-04-13,50.299999,50.299999,49.299999,49.400002,36.803650,6100
2004-04-14,49.180000,49.490002,49.009998,49.009998,36.513096,24600
