ticker,error
AIA,Quotes not downloaded.
ANGL,Quotes not downloaded.
AOA,Quotes not downloaded.
AOM,Quotes not downloaded.
ARKG,Quotes not downloaded.
ARKK,Quotes not downloaded.
ARKW,Quotes not downloaded.
ASHR,Quotes not downloaded.
ATMP,Quotes not downloaded.
AUSE,Quotes not downloaded.
BAB,Quotes not downloaded.
BICK,Quotes not downloaded.
BIV,Quotes not downloaded.
BNDX,Quotes not downloaded.
BOND,Quotes not downloaded.
BSCJ,Quotes not downloaded.
BSCN,Quotes not downloaded.
BSCO,Quotes not downloaded.
BSJL,Quotes not downloaded.
BSJM,Quotes not downloaded.
BYLD,Quotes not downloaded.
CAPE,Quotes not downloaded.
CDC,Quotes not downloaded.
CFA,Quotes not downloaded.
CFO,Quotes not downloaded.
CJNK,Quotes not downloaded.
CMF,Quotes not downloaded.
CN,Quotes not downloaded.
CQQQ,Quotes not downloaded.
CUT,Quotes not downloaded.
CWB,Quotes not downloaded.
CXSE,Quotes not downloaded.
CZA,Quotes not downloaded.
DBAW,Quotes not downloaded.
DBEF,Quotes not downloaded.
DBEU,Quotes not downloaded.
DBJP,Quotes not downloaded.
DES,Quotes not downloaded.
DFE,Quotes not downloaded.
DFJ,Quotes not downloaded.
DGRO,Quotes not downloaded.
DGRW,Quotes not downloaded.
DGS,Quotes not downloaded.
DI,Quotes not downloaded.
DIA,Quotes not downloaded.
DLN,Quotes not downloaded.
DLS,Quotes not downloaded.
DOD,Quotes not downloaded.
DON,Quotes not downloaded.
DRW,Quotes not downloaded.
DTD,Quotes not downloaded.
DTN,Quotes not downloaded.
DWAQ,Quotes not downloaded.
DWM,Quotes not downloaded.
DXJS,Quotes not downloaded.
EBND,Quotes not downloaded.
EDV,Quotes not downloaded.
EES,Quotes not downloaded.
EMLP,Quotes not downloaded.
ENFR,Quotes not downloaded.
EPS,Quotes not downloaded.
EPU,Quotes not downloaded.
EQLT,Quotes not downloaded.
EQWL,Quotes not downloaded.
EWC,Quotes not downloaded.
EWD,Quotes not downloaded.
EWH,Quotes not downloaded.
EWL,Quotes not downloaded.
EWM,Quotes not downloaded.
EWT,Quotes not downloaded.
EWW,Quotes not downloaded.
EWX,Quotes not downloaded.
EXT,Quotes not downloaded.
EZA,Quotes not downloaded.
